ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000001.SZ,20260515,10.99,0.5023,1.07,5.0025,4.9529,0.4596,21327104.0996,21326755.1176
000001.SZ,20260514,11.05,0.4094,0.84,5.0298,4.9799,0.4621,21443539.6088,21443188.7216
000001.SZ,20260513,11.14,0.5246,1.04,5.0708,5.0205,0.4658,21618192.8726,21617839.1274
000001.SZ,20260512,11.25,0.5303,1.02,5.1208,5.0701,0.4704,21831657.9728,21831300.7346
000001.SZ,20260511,11.28,0.4802,0.85,5.1345,5.0836,0.4717,21889875.7273,21889517.5366
000001.SZ,20260508,11.3,0.4116,0.63,5.1436,5.0926,0.4725,21928687.5637,21928328.7379
000001.SZ,20260507,11.37,0.4828,0.53,5.1755,5.1241,0.4754,22064528.9911,22064167.9425
000001.SZ,20260506,11.36,0.6268,0.74,5.1709,5.1196,0.475,22045123.0729,22044762.3418
000001.SZ,20260430,11.49,0.5871,0.74,5.2301,5.1782,0.4805,22297400.0095,22297035.1503
000001.SZ,20260429,11.52,0.7103,0.96,5.2437,5.1917,0.4817,22355617.7641,22355251.9523
000001.SZ,20260428,11.46,0.8628,1.33,5.2164,5.1647,0.4792,22239182.2549,22238818.3483
000001.SZ,20260427,11.38,1.7527,4.85,5.18,5.1286,0.4759,22083934.9093,22083573.5431
000001.SZ,20260424,11.0,0.3003,0.8,5.007,5.007,0.4731,21346510.0178,21346160.7183
000001.SZ,20260423,11.0,0.334,0.88,5.007,5.007,0.4731,21346510.0178,21346160.7183
000001.SZ,20260422,10.98,0.4324,1.25,4.9979,4.9979,0.4722,21307698.1814,21307349.517
000001.SZ,20260421,11.08,0.4158,1.33,5.0435,5.0435,0.4765,21501757.3634,21501405.5235
000001.SZ,20260420,11.06,0.3247,1.12,5.0344,5.0344,0.4757,21462945.527,21462594.3222
000001.SZ,20260417,11.01,0.3723,1.41,5.0116,5.0116,0.4735,21365915.936,21365566.319
000001.SZ,20260416,11.09,0.3509,1.37,5.048,5.048,0.4769,21521163.2816,21520811.1242
000001.SZ,20260415,11.21,0.2597,0.9,5.1026,5.1026,0.4821,21754034.3,21753678.332
000001.SZ,20260414,11.17,0.2557,0.85,5.0844,5.0844,0.4804,21676410.6272,21676055.9294
000001.SZ,20260413,11.07,0.2093,0.62,5.0389,5.0389,0.4761,21482351.4452,21481999.9229
000001.SZ,20260410,11.09,0.2479,0.61,5.048,5.048,0.4769,21521163.2816,21520811.1242
000001.SZ,20260409,11.1,0.3104,0.71,5.0526,5.0526,0.4774,21540569.1998,21540216.7248
000001.SZ,20260408,11.22,0.4189,0.88,5.1072,5.1072,0.4825,21773440.2182,21773083.9327
000001.SZ,20260407,11.03,0.3133,0.66,5.0207,5.0207,0.4744,21404727.7724,21404377.5203
000001.SZ,20260403,11.12,0.3905,0.8,5.0617,5.0617,0.4782,21579381.0362,21579027.9261
000001.SZ,20260402,11.27,0.592,1.3,5.1299,5.1299,0.4847,21870469.8091,21870111.9359
000001.SZ,20260401,11.15,0.4735,1.08,5.0753,5.0753,0.4795,21637598.7908,21637244.7281
000001.SZ,20260331,11.08,0.6001,1.24,5.0435,5.0435,0.4765,21501757.3634,21501405.5235
000001.SZ,20260330,10.99,0.3259,0.56,5.0025,5.0025,0.4726,21327104.0996,21326755.1176
000001.SZ,20260327,11.02,0.4556,0.79,5.0161,5.0161,0.4739,21385321.8542,21384971.9196
000001.SZ,20260326,10.94,0.4265,0.77,4.9797,4.9797,0.4705,21230074.5086,21229727.1144
000001.SZ,20260325,10.94,0.3838,0.68,4.9797,4.9797,0.4705,21230074.5086,21229727.1144
000001.SZ,20260324,10.88,0.836,1.65,4.9524,4.9524,0.4679,21113638.9994,21113293.5105
000001.SZ,20260323,10.45,0.8142,1.95,4.7567,4.7567,0.4494,20279184.5169,20278852.6824
000001.SZ,20260320,10.77,0.4298,1.03,4.6958,4.8472,0.4714,20900173.8992,20899831.9033
000001.SZ,20260319,10.88,0.3217,0.75,4.7438,4.8967,0.4762,21113638.9994,21113293.5105
000001.SZ,20260318,10.96,0.4077,0.96,4.7787,4.9327,0.4797,21268886.345,21268538.3157
000001.SZ,20260317,11.03,0.5548,1.41,4.8092,4.9642,0.4827,21404727.7724,21404377.5203
000001.SZ,20260316,10.92,0.3688,0.91,4.7612,4.9147,0.4779,21191262.6722,21190915.9131
000001.SZ,20260313,10.93,0.4339,1.18,4.7656,4.9192,0.4784,21210668.5904,21210321.5137
000001.SZ,20260312,10.94,0.389,1.07,4.7699,4.9237,0.4788,21230074.5086,21229727.1144
000001.SZ,20260311,10.89,0.3713,0.92,4.7481,4.9012,0.4766,21133044.9176,21132699.1111
000001.SZ,20260310,10.81,0.4072,0.95,4.7133,4.8652,0.4731,20977797.572,20977454.3059
000001.SZ,20260309,10.76,0.4307,1.01,4.6915,4.8427,0.4709,20880767.981,20880426.3026
000001.SZ,20260306,10.82,0.2456,0.56,4.7176,4.8697,0.4736,20997203.4902,20996859.9065
000001.SZ,20260305,10.81,0.3672,0.83,4.7133,4.8652,0.4731,20977797.572,20977454.3059
