ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000036.SZ,20260515,5.71,3.1563,0.5,114.2741,88.622,1.5586,801580.492,801102.2829
000036.SZ,20260514,5.78,3.8978,0.63,115.675,89.7085,1.5777,811407.2231,810923.1515
000036.SZ,20260513,6.09,3.5578,0.58,121.8791,94.5198,1.6623,854925.6035,854415.5697
000036.SZ,20260512,6.17,5.5824,0.92,123.4801,95.7615,1.6841,866156.1533,865639.4195
000036.SZ,20260511,6.33,11.5269,2.48,126.6822,98.2448,1.7278,888617.2529,888087.1192
000036.SZ,20260508,6.07,7.0343,1.92,121.4788,94.2094,1.6568,852117.9661,851609.6072
000036.SZ,20260507,5.52,3.2073,0.88,110.4717,85.6732,1.5067,774907.9362,774445.6395
000036.SZ,20260506,5.59,3.406,0.96,111.8726,86.7596,1.5258,784734.6673,784266.5081
000036.SZ,20260430,5.59,5.0901,1.72,111.8726,86.7596,1.5258,784734.6673,784266.5081
000036.SZ,20260429,5.44,4.481,1.89,108.8706,108.8706,1.4924,763677.3864,763221.7897
000036.SZ,20260428,5.11,2.0969,0.88,177.0714,185.1729,1.4114,717351.3685,715988.1523
000036.SZ,20260427,5.26,3.0643,1.39,182.2692,190.6085,1.4528,738408.6494,737005.4171
000036.SZ,20260424,5.18,3.0333,1.27,179.497,187.7095,1.4307,727178.0996,725796.2092
000036.SZ,20260423,5.05,2.1527,0.84,174.9923,182.9987,1.3948,708928.4561,707581.2464
000036.SZ,20260422,5.12,1.5507,0.51,177.4179,185.5353,1.4142,718755.1872,717389.3033
000036.SZ,20260421,5.1,2.1397,0.64,176.7249,184.8105,1.4086,715947.5498,714587.0013
000036.SZ,20260420,5.1,2.1321,0.55,176.7249,184.8105,1.4086,715947.5498,714587.0013
000036.SZ,20260417,5.17,3.9781,1.09,179.1505,187.3471,1.428,725774.2808,724395.0582
000036.SZ,20260416,5.03,3.0213,0.85,174.2992,182.2739,1.3893,706120.8187,704778.9444
000036.SZ,20260415,4.89,3.9786,1.25,169.448,177.2007,1.3506,686467.3565,685162.8307
000036.SZ,20260414,5.15,3.6362,1.33,178.4575,186.6224,1.4225,722966.6434,721592.7562
000036.SZ,20260413,5.14,4.8233,2.29,178.1109,186.26,1.4197,721562.8247,720191.6053
000036.SZ,20260410,4.92,2.7584,1.4,170.4875,178.2878,1.3589,690678.8127,689366.2836
000036.SZ,20260409,4.79,2.6228,1.36,165.9828,173.5769,1.323,672429.1693,671151.3209
000036.SZ,20260408,4.87,2.0816,0.99,168.7549,176.4759,1.3451,683659.7191,682360.5287
000036.SZ,20260407,4.7,1.3823,0.48,162.8641,170.3156,1.2982,659794.8008,658540.962
