ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000029.SZ,20260515,28.91,1.6453,0.81,292.5996,1238.8654,8.094,2924709.06,2577789.06
000029.SZ,20260514,28.01,2.1548,1.26,283.4907,1200.2982,7.842,2833659.66,2497539.66
000029.SZ,20260513,26.7,2.9151,2.17,270.2321,1144.1614,7.4752,2701132.2,2380732.2
000029.SZ,20260512,26.49,2.865,2.97,268.1067,1135.1624,7.4165,2679887.34,2362007.34
000029.SZ,20260511,24.08,1.4859,1.86,243.715,1031.8879,6.7417,2436077.28,2147117.28
000029.SZ,20260508,21.89,0.7025,0.91,221.5498,938.0409,6.1286,2214523.74,1951843.74
000029.SZ,20260507,21.39,0.5862,0.77,216.4893,916.6147,5.9886,2163940.74,1907260.74
000029.SZ,20260506,21.14,1.0797,1.73,213.9591,905.9016,5.9186,2138649.24,1884969.24
000029.SZ,20260430,21.26,0.9617,1.83,215.1736,911.0439,5.9522,2150789.16,1895669.16
000029.SZ,20260429,20.95,0.6575,1.41,212.0361,212.0361,5.8672,2119427.7,1868027.7
000029.SZ,20260428,20.35,0.5813,1.35,205.9634,205.9634,5.6992,2058728.1,1814528.1
000029.SZ,20260427,20.74,0.5454,1.35,209.9106,209.9106,5.8084,2098182.84,1849302.84
000029.SZ,20260424,20.17,0.3681,0.86,204.1416,204.1416,5.6488,2040518.22,1798478.22
000029.SZ,20260423,20.33,0.4724,1.14,205.761,205.761,5.6936,2056704.78,1812744.78
000029.SZ,20260422,20.14,0.3712,0.92,203.838,203.838,5.6404,2037483.24,1795803.24
000029.SZ,20260421,19.93,0.3892,0.91,201.7126,201.7126,5.5816,2016238.38,1777078.38
000029.SZ,20260420,19.96,0.4251,0.96,202.0162,202.0162,5.59,2019273.36,1779753.36
000029.SZ,20260417,20.37,0.4717,1.11,206.1658,206.1658,5.7048,2060751.42,1816311.42
000029.SZ,20260416,20.16,0.409,0.97,204.0404,204.0404,5.646,2039506.56,1797586.56
000029.SZ,20260415,19.73,0.3211,0.64,199.6884,199.6884,5.5255,1996005.18,1759245.18
000029.SZ,20260414,19.96,0.5202,1.08,202.0162,202.0162,5.59,2019273.36,1779753.36
000029.SZ,20260413,19.86,0.4925,1.03,201.0041,201.0041,5.562,2009156.76,1770836.76
000029.SZ,20260410,20.37,0.3773,0.74,206.1658,206.1658,5.7048,2060751.42,1816311.42
000029.SZ,20260409,20.01,0.3943,0.8,202.5223,202.5223,5.604,2024331.66,1784211.66
000029.SZ,20260408,20.15,0.7349,1.77,203.9392,203.9392,5.6432,2038494.9,1796694.9
000029.SZ,20260407,19.08,0.4197,0.98,193.1097,193.1097,5.3435,1930247.28,1701287.28
000029.SZ,20260403,19.27,0.4677,1.19,195.0327,195.0327,5.3967,1949468.82,1718228.82
000029.SZ,20260402,19.52,0.537,1.48,197.563,197.563,5.4667,1974760.32,1740520.32
000029.SZ,20260401,19.42,0.2905,0.67,196.5508,196.5508,5.4387,1964643.72,1731603.72
000029.SZ,20260331,19.12,0.3664,0.71,193.5145,193.5145,5.3547,1934293.92,1704853.92
000029.SZ,20260330,19.44,0.4869,0.82,196.7533,196.7533,5.4443,1966667.04,1733387.04
000029.SZ,20260327,19.21,0.2913,0.44,194.4254,194.4254,5.3799,1943398.86,1712878.86
000029.SZ,20260326,19.04,0.3751,0.54,192.7048,192.7048,5.3323,1926200.64,1697720.64
000029.SZ,20260325,19.66,0.6639,1.06,198.9799,198.9799,5.5059,1988923.56,1753003.56
000029.SZ,20260324,19.29,0.7759,1.39,195.2351,195.2351,5.4023,1951492.14,1720012.14
000029.SZ,20260323,18.6,0.8591,1.77,188.2516,188.2516,5.2091,1881687.6,1658487.6
000029.SZ,20260320,19.64,0.6399,1.48,198.7775,198.7775,5.5003,1986900.24,1751220.24
000029.SZ,20260319,20.25,0.5094,1.15,,,5.5922,2048611.5,1805611.5
000029.SZ,20260318,20.92,0.352,0.78,,,5.7772,2116392.72,1865352.72
000029.SZ,20260317,20.8,0.4277,0.94,,,5.744,2104252.8,1854652.8
000029.SZ,20260316,21.04,0.5037,1.02,,,5.8103,2128532.64,1876052.64
000029.SZ,20260313,20.63,0.3642,0.7,,,5.6971,2087054.58,1839494.58
000029.SZ,20260312,20.87,0.5693,1.1,,,5.7634,2111334.42,1860894.42
000029.SZ,20260311,21.76,0.3907,0.64,,,6.0091,2201372.16,1940252.16
000029.SZ,20260310,21.99,0.4356,0.63,,,6.0727,2224640.34,1960760.34
000029.SZ,20260309,21.32,0.7071,0.99,,,5.8876,2156859.12,1901019.12
000029.SZ,20260306,21.78,0.5,0.69,,,6.0147,2203395.48,1942035.48
000029.SZ,20260305,21.2,0.5649,0.75,,,5.8545,2144719.2,1890319.2
000029.SZ,20260304,21.12,0.8543,1.11,,,5.8324,2136625.92,1883185.92
000029.SZ,20260303,21.85,0.8293,1.08,,,6.034,2210477.1,1948277.1
000029.SZ,20260302,22.8,0.8269,1.06,,,6.2963,2306584.8,2032984.8
