ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000009.SZ,20260413,8.94,0.819,1.05,133.5736,327.1671,2.2879,2305817.2847,2302962.2957
000009.SZ,20260410,8.89,1.1022,1.57,132.8266,325.3373,2.2751,2292921.2149,2290082.1934
000009.SZ,20260409,8.67,0.7025,0.98,129.5395,317.2862,2.2188,2236178.5077,2233409.7432
000009.SZ,20260408,8.85,0.9901,1.49,132.2289,323.8735,2.2649,2282604.359,2279778.1115
000009.SZ,20260407,8.5,0.4848,0.66,126.9995,311.0649,2.1753,2192331.8703,2189617.3953
000009.SZ,20260403,8.43,0.6362,0.78,125.9536,308.5032,2.1574,2174277.3725,2171585.252
000009.SZ,20260402,8.66,0.7037,0.82,129.3901,316.9203,2.2163,2233599.2937,2230833.7227
000009.SZ,20260401,8.82,0.776,0.87,131.7807,322.7756,2.2572,2274866.7171,2272050.0501
000009.SZ,20260331,8.81,0.7305,0.76,131.6313,322.4097,2.2547,2272287.5032,2269474.0297
000009.SZ,20260330,9.03,0.8326,0.78,134.9183,330.4608,2.311,2329030.2104,2326146.4799
000009.SZ,20260327,9.1,1.0094,0.92,135.9642,333.0225,2.3289,2347084.7082,2344178.6232
000009.SZ,20260326,8.87,0.9516,0.85,132.5277,324.6054,2.27,2287762.787,2284930.1525
000009.SZ,20260325,8.88,0.9353,0.83,132.6771,324.9714,2.2726,2290342.0009,2287506.1729
000009.SZ,20260324,8.74,1.0489,0.95,130.5854,319.8479,2.2367,2254233.0054,2251441.8864
000009.SZ,20260323,8.57,1.4068,1.29,128.0454,313.6266,2.1932,2210386.368,2207649.5385
000009.SZ,20260320,8.89,1.134,0.83,132.8266,325.3373,2.2751,2292921.2149,2290082.1934
000009.SZ,20260319,8.92,1.0887,0.82,133.2748,326.4352,2.2828,2300658.8568,2297810.2548
000009.SZ,20260318,9.06,0.9878,0.7,135.3665,331.5586,2.3186,2336767.8523,2333874.5413
000009.SZ,20260317,9.21,0.9146,0.67,137.6077,337.048,2.357,2375456.0618,2372514.8483
000009.SZ,20260316,9.38,1.3309,0.99,140.1477,343.2693,2.4005,2419302.6992,2416307.1962
000009.SZ,20260313,9.47,2.4741,2.22,141.4924,346.5629,2.4236,2442515.6249,2439491.3804
000009.SZ,20260312,9.19,0.9605,0.85,137.3089,336.3161,2.3519,2370297.6338,2367362.8073
000009.SZ,20260311,9.29,1.3626,1.3,138.803,339.9757,2.3775,2396089.7735,2393123.012
000009.SZ,20260310,9.18,0.7475,0.6,137.1595,335.9501,2.3494,2367718.4199,2364786.7869
000009.SZ,20260309,9.08,1.1581,0.91,135.6654,332.2905,2.3238,2341926.2802,2339026.5822
000009.SZ,20260306,9.13,1.3401,1.16,136.4124,334.1203,2.3366,2354822.35,2351906.6845
000009.SZ,20260305,8.95,1.0528,0.91,133.723,327.5331,2.2905,2308396.4987,2305538.3162
000009.SZ,20260304,8.84,0.9582,0.76,132.0795,323.5075,2.2623,2280025.1451,2277202.0911
000009.SZ,20260303,8.95,1.7151,1.6,133.723,327.5331,2.2905,2308396.4987,2305538.3162
000009.SZ,20260302,9.35,1.2643,1.3,139.6995,342.1714,2.3929,2411565.0573,2408579.1348
000009.SZ,20260227,9.55,0.7852,0.86,142.6877,349.4906,2.444,2463149.3366,2460099.5441
000009.SZ,20260226,9.5,1.0526,1.3,141.9406,347.6608,2.4312,2450253.2668,2447219.4418
000009.SZ,20260225,9.59,1.5086,2.38,143.2853,350.9544,2.4543,2473466.1924,2470403.6259
000009.SZ,20260224,9.54,0.7505,1.02,142.5383,349.1246,2.4415,2460570.1226,2457523.5236
000009.SZ,20260213,9.33,0.7549,0.97,139.4006,341.4395,2.3877,2406406.6293,2403427.0938
000009.SZ,20260212,9.5,0.4967,0.59,141.9406,347.6608,2.4312,2450253.2668,2447219.4418
000009.SZ,20260211,9.54,0.5311,0.59,142.5383,349.1246,2.4415,2460570.1226,2457523.5236
000009.SZ,20260210,9.57,0.6423,0.7,142.9865,350.2225,2.4492,2468307.7645,2465251.585
000009.SZ,20260209,9.66,1.2546,1.34,144.3312,353.5162,2.4722,2491520.6902,2488435.7692
000009.SZ,20260206,9.45,0.9586,0.78,141.1936,345.831,2.4185,2437357.1969,2434339.3394
000009.SZ,20260205,9.38,0.7971,0.55,140.1477,343.2693,2.4005,2419302.6992,2416307.1962
000009.SZ,20260204,9.52,0.845,0.49,142.2395,348.3927,2.4364,2455411.6947,2452371.4827
000009.SZ,20260203,9.45,0.7205,0.34,141.1936,345.831,2.4185,2437357.1969,2434339.3394
000009.SZ,20260202,9.28,1.3724,0.63,138.6536,339.6097,2.3749,2393510.5595,2390546.9915
000009.SZ,20260130,9.61,2.4182,1.13,143.5842,351.6864,2.4594,2478624.6204,2475555.6669
000009.SZ,20260129,10.04,1.9039,0.96,150.0088,367.4226,2.5694,2589530.8209,2586324.5469
000009.SZ,20260128,10.12,2.2203,1.2,151.2041,370.3503,2.5899,2610164.5326,2606932.7106
000009.SZ,20260127,9.92,2.7745,1.68,148.2159,363.0311,2.5387,2558580.2533,2555412.3013
000009.SZ,20260126,10.25,1.5492,0.99,153.1465,375.1077,2.6232,2643694.3141,2640420.9766
000009.SZ,20260123,10.41,2.2622,1.58,155.5371,380.9631,2.6641,2684961.7376,2681637.3041
000009.SZ,20260122,10.15,1.0661,0.7,151.6524,371.4481,2.5976,2617902.1745,2614660.772
000009.SZ,20260121,10.18,1.6367,1.01,152.1006,372.546,2.6053,2625639.8164,2622388.8334
000009.SZ,20260120,10.0,1.7285,1.07,149.4112,365.9587,2.5592,2579213.965,2576020.465
000009.SZ,20260119,10.15,1.1573,0.65,151.6524,371.4481,2.5976,2617902.1745,2614660.772
000009.SZ,20260116,10.18,1.5494,0.88,152.1006,372.546,2.6053,2625639.8164,2622388.8334
000009.SZ,20260115,10.1,1.5035,0.86,150.9053,369.6183,2.5848,2605006.1047,2601780.6697
000009.SZ,20260114,10.08,2.1445,1.37,150.6065,368.8864,2.5797,2599847.6767,2596628.6287
000009.SZ,20260113,10.06,1.7492,1.2,150.3077,368.1545,2.5746,2594689.2488,2591476.5878
000009.SZ,20260112,10.26,1.9021,1.45,153.2959,375.4737,2.6257,2646273.5281,2642996.9971
000009.SZ,20260109,10.25,1.52,1.33,153.1465,375.1077,2.6232,2643694.3141,2640420.9766
000009.SZ,20260108,10.17,1.4564,1.42,151.9512,372.18,2.6027,2623060.6024,2619812.8129
000009.SZ,20260107,10.11,1.2172,1.25,151.0547,369.9843,2.5874,2607585.3186,2604356.6901
000009.SZ,20260106,10.17,1.1716,1.22,151.9512,372.18,2.6027,2623060.6024,2619812.8129
000009.SZ,20260105,10.08,1.1882,1.38,150.6065,368.8864,2.5797,2599847.6767,2596628.6287
000009.SZ,20251231,9.85,0.6891,0.74,147.17,360.4694,2.5208,2540525.7555,2537380.158
000009.SZ,20251230,9.95,0.8604,0.92,148.6641,364.129,2.5464,2566317.8952,2563140.3627
000009.SZ,20251229,9.97,0.9568,1.06,148.963,364.8609,2.5515,2571476.3231,2568292.4036
000009.SZ,20251226,10.16,1.1159,1.36,151.8018,371.8141,2.6002,2620481.3884,2617236.7924
000009.SZ,20251225,10.12,0.6845,0.82,151.2041,370.3503,2.5899,2610164.5326,2606932.7106
000009.SZ,20251224,10.14,1.0273,1.26,151.503,371.0822,2.595,2615322.9605,2612084.7515
000009.SZ,20251223,10.03,0.8836,0.97,149.8594,367.0566,2.5669,2586951.6069,2583748.5264
000009.SZ,20251222,10.03,0.792,0.76,149.8594,367.0566,2.5669,2586951.6069,2583748.5264
000009.SZ,20251219,9.94,0.7151,0.63,148.5147,363.763,2.5439,2563738.6812,2560564.3422
