ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000007.SZ,20260515,12.69,4.5736,0.61,2281.2231,,24.5484,439642.5678,439642.5678
000007.SZ,20260514,12.86,6.5704,0.94,2311.7832,,24.8772,445532.1846,445532.1846
000007.SZ,20260513,13.52,10.6273,1.8,2430.4283,,26.154,468397.7555,468397.7555
000007.SZ,20260512,14.85,7.5556,1.49,2669.5163,,28.7268,514475.3453,514475.3453
000007.SZ,20260511,16.5,7.1466,1.65,2966.1293,,31.9187,571639.2726,571639.2726
000007.SZ,20260508,17.21,5.6093,1.51,3093.7627,,33.2921,596237.0837,596237.0837
000007.SZ,20260507,17.02,4.0913,1.28,3059.6073,,32.9246,589654.5709,589654.5709
000007.SZ,20260506,15.97,5.1275,2.14,2870.8536,,30.8934,553277.5263,553277.5263
000007.SZ,20260430,15.51,3.3466,1.72,2788.1615,,30.0035,537340.9162,537340.9162
000007.SZ,20260429,14.1,3.4375,2.26,2534.6923,,27.276,488491.742,488491.742
000007.SZ,20260428,14.53,2.5938,2.01,89.2191,88.8383,27.5569,503389.0079,503389.0079
000007.SZ,20260427,13.97,1.4492,0.99,85.7805,85.4144,26.4948,483987.9175,483987.9175
000007.SZ,20260424,13.85,1.1479,0.72,85.0437,84.6807,26.2672,479830.5409,479830.5409
000007.SZ,20260423,13.68,1.1246,0.63,83.9998,83.6413,25.9448,473940.9242,473940.9242
000007.SZ,20260422,13.84,1.2897,0.7,84.9823,84.6195,26.2483,479484.0929,479484.0929
000007.SZ,20260421,13.73,1.4502,0.79,84.3068,83.947,26.0397,475673.1644,475673.1644
000007.SZ,20260420,13.83,2.2972,1.22,84.9209,84.5584,26.2293,479137.6449,479137.6449
000007.SZ,20260417,13.59,1.7696,0.9,83.4472,83.091,25.7741,470822.8918,470822.8918
000007.SZ,20260416,13.69,2.1726,1.05,84.0612,83.7024,25.9638,474287.3722,474287.3722
000007.SZ,20260415,13.39,1.571,0.73,82.2191,81.8682,25.3948,463893.9309,463893.9309
000007.SZ,20260414,13.36,1.4032,0.64,82.0349,81.6848,25.3379,462854.5868,462854.5868
000007.SZ,20260413,13.32,2.5162,1.22,81.7893,81.4402,25.2621,461468.7946,461468.7946
000007.SZ,20260410,13.68,2.1238,1.09,83.9998,83.6413,25.9448,473940.9242,473940.9242
000007.SZ,20260409,13.4,2.7416,1.59,82.2805,81.9293,25.4138,464240.379,464240.379
