ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000031.SZ,20260515,2.86,0.7117,1.02,,,1.1987,1225885.615,1225883.1445
000031.SZ,20260514,2.89,0.5977,0.85,,,1.2112,1238744.555,1238742.0586
000031.SZ,20260513,3.0,0.7274,1.06,,,1.2573,1285894.0017,1285891.4103
000031.SZ,20260512,3.11,0.835,1.18,,,1.3034,1333043.4484,1333040.762
000031.SZ,20260511,3.12,0.7117,1.02,,,1.3076,1337329.7618,1337327.0667
000031.SZ,20260508,3.09,0.6075,0.91,,,1.2951,1324470.8218,1324468.1526
000031.SZ,20260507,3.02,0.648,0.99,,,1.2657,1294466.6284,1294464.0197
000031.SZ,20260506,3.09,0.6137,0.97,,,1.2951,1324470.8218,1324468.1526
000031.SZ,20260430,3.06,0.9571,1.8,,,1.2825,1311611.8817,1311609.2385
000031.SZ,20260429,2.97,0.6617,1.41,,,1.2382,1273035.0617,1273032.4962
000031.SZ,20260428,2.87,0.4579,0.98,,,1.1965,1230171.9283,1230169.4492
000031.SZ,20260427,2.9,0.5785,1.26,,,1.209,1243030.8683,1243028.3633
000031.SZ,20260424,2.89,0.5049,0.99,,,1.2224,1238744.555,1238742.0586
000031.SZ,20260423,2.89,0.457,0.84,,,1.2224,1238744.555,1238742.0586
000031.SZ,20260422,2.9,0.3458,0.56,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20260421,2.9,0.4459,0.67,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20260420,2.92,0.5374,0.81,,,1.2351,1251603.495,1251600.9727
000031.SZ,20260417,2.92,0.7738,1.32,,,1.2351,1251603.495,1251600.9727
000031.SZ,20260416,2.9,0.6164,1.17,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20260415,2.91,0.7208,1.5,,,1.2309,1247317.1816,1247314.668
000031.SZ,20260414,3.04,0.6652,1.63,,,1.2859,1303039.2551,1303036.6291
000031.SZ,20260413,2.97,0.5225,1.39,,,1.2563,1273035.0617,1273032.4962
000031.SZ,20260410,2.94,0.4147,1.08,,,1.2436,1260176.1217,1260173.5821
000031.SZ,20260409,2.89,0.3093,0.81,,,1.2224,1238744.555,1238742.0586
000031.SZ,20260408,2.95,0.4836,1.33,,,1.2478,1264462.435,1264459.8868
000031.SZ,20260407,2.83,0.312,0.86,,,1.197,1213026.6749,1213024.2304
000031.SZ,20260403,2.8,0.3593,0.99,,,1.1844,1200167.7349,1200165.3163
000031.SZ,20260402,2.86,0.4577,1.32,,,1.2097,1225885.615,1225883.1445
000031.SZ,20260401,2.95,0.285,0.72,,,1.2478,1264462.435,1264459.8868
000031.SZ,20260331,2.91,0.4071,0.91,,,1.2309,1247317.1816,1247314.668
000031.SZ,20260330,2.96,0.3112,0.56,,,1.252,1268748.7483,1268746.1915
000031.SZ,20260327,2.94,0.3511,0.59,,,1.2436,1260176.1217,1260173.5821
000031.SZ,20260326,2.91,0.3775,0.59,,,1.2309,1247317.1816,1247314.668
000031.SZ,20260325,2.94,0.5195,0.78,,,1.2436,1260176.1217,1260173.5821
000031.SZ,20260324,2.91,0.6866,1.0,,,1.2309,1247317.1816,1247314.668
000031.SZ,20260323,2.79,0.8344,1.26,,,1.1801,1195881.4216,1195879.0116
000031.SZ,20260320,2.97,0.5802,0.86,,,1.2563,1273035.0617,1273032.4962
000031.SZ,20260319,3.02,0.6053,0.94,,,1.2774,1294466.6284,1294464.0197
000031.SZ,20260318,3.16,0.6113,1.01,,,1.3366,1354475.0151,1354472.2855
000031.SZ,20260317,3.25,0.7856,1.43,,,1.3747,1393051.8352,1393049.0278
000031.SZ,20260316,3.25,0.7166,1.31,,,1.3747,1393051.8352,1393049.0278
000031.SZ,20260313,3.22,0.6633,1.22,,,1.362,1380192.8952,1380190.1137
000031.SZ,20260312,3.23,0.4427,0.77,,,1.3662,1384479.2085,1384476.4184
000031.SZ,20260311,3.25,0.4045,0.62,,,1.3747,1393051.8352,1393049.0278
000031.SZ,20260310,3.27,0.5143,0.71,,,1.3832,1401624.4619,1401621.6372
000031.SZ,20260309,3.28,0.7028,0.98,,,1.3874,1405910.7752,1405907.9419
000031.SZ,20260306,3.34,0.6517,0.91,,,1.4128,1431628.6552,1431625.7701
000031.SZ,20260305,3.33,0.6063,0.79,,,1.4085,1427342.3419,1427339.4654
000031.SZ,20260304,3.29,0.8104,1.05,,,1.3916,1410197.0885,1410194.2466
000031.SZ,20260303,3.42,0.8712,1.22,,,1.4466,1465919.1619,1465916.2077
000031.SZ,20260302,3.44,0.6552,0.93,,,1.4551,1474491.7886,1474488.8171
000031.SZ,20260227,3.46,0.6189,0.8,,,1.4635,1483064.4153,1483061.4265
000031.SZ,20260226,3.47,0.8778,1.11,,,1.4678,1487350.7286,1487347.7312
000031.SZ,20260225,3.61,0.8296,0.94,,,1.527,1547359.1154,1547355.9971
000031.SZ,20260224,3.51,0.5931,0.59,,,1.4847,1504495.982,1504492.9501
000031.SZ,20260213,3.57,0.6139,0.53,,,1.5101,1530213.862,1530210.7783
000031.SZ,20260212,3.64,0.963,0.75,,,1.5397,1560218.0554,1560214.9112
000031.SZ,20260211,3.58,0.9423,0.62,,,1.5143,1534500.1754,1534497.083
000031.SZ,20260210,3.53,1.279,0.72,,,1.4931,1513068.6087,1513065.5595
000031.SZ,20260209,3.75,1.2193,0.53,,,1.5862,1607367.5021,1607364.2629
000031.SZ,20260206,3.73,1.3368,0.43,,,1.5777,1598794.8754,1598791.6535
000031.SZ,20260205,3.73,1.6092,0.5,,,1.5777,1598794.8754,1598791.6535
000031.SZ,20260204,3.78,2.1898,0.67,,,1.5989,1620226.4421,1620223.177
000031.SZ,20260203,3.69,2.567,0.88,,,1.5608,1581649.6221,1581646.4347
000031.SZ,20260202,3.65,3.7181,1.6,,,1.5439,1564504.3687,1564501.2159
000031.SZ,20260130,3.91,5.4453,3.68,,,1.6539,1675948.5155,1675945.1381
000031.SZ,20260129,3.73,2.1207,1.43,,,1.5777,1598794.8754,1598791.6535
000031.SZ,20260128,3.39,2.5948,1.84,,,1.4339,1453060.2219,1453057.2936
000031.SZ,20260127,3.2,0.7135,0.45,,,1.3536,1371620.2685,1371617.5043
000031.SZ,20260126,3.24,0.7685,0.48,,,1.3705,1388765.5218,1388762.7231
000031.SZ,20260123,3.34,1.2006,0.78,,,1.4128,1431628.6552,1431625.7701
000031.SZ,20260122,3.4,2.1631,1.66,,,1.4382,1457346.5353,1457343.5983
000031.SZ,20260121,3.26,2.2118,2.04,,,1.3789,1397338.1485,1397335.3325
000031.SZ,20260120,3.25,1.5423,1.67,,,1.3747,1393051.8352,1393049.0278
000031.SZ,20260119,2.95,0.864,1.01,,,1.2478,1264462.435,1264459.8868
000031.SZ,20260116,2.92,0.9009,1.17,,,1.2351,1251603.495,1251600.9727
000031.SZ,20260115,2.97,1.0025,1.52,,,1.2563,1273035.0617,1273032.4962
000031.SZ,20260114,2.94,1.1246,2.19,,,1.2436,1260176.1217,1260173.5821
000031.SZ,20260113,2.9,0.7127,1.62,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20260112,2.89,0.5399,1.35,,,1.2224,1238744.555,1238742.0586
000031.SZ,20260109,2.91,0.455,1.22,,,1.2309,1247317.1816,1247314.668
000031.SZ,20260108,2.93,0.4561,1.33,,,1.2393,1255889.8083,1255887.2774
000031.SZ,20260107,2.87,0.4041,1.25,,,1.214,1230171.9283,1230169.4492
000031.SZ,20260106,2.9,0.3508,1.06,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20260105,2.89,0.3351,1.02,,,1.2224,1238744.555,1238742.0586
000031.SZ,20251231,2.82,0.3113,0.98,,,1.1928,1208740.3616,1208737.9257
000031.SZ,20251230,2.82,0.3072,0.96,,,1.1928,1208740.3616,1208737.9257
000031.SZ,20251229,2.87,0.3109,0.92,,,1.214,1230171.9283,1230169.4492
000031.SZ,20251226,2.9,0.3922,1.13,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20251225,2.93,0.3147,0.9,,,1.2393,1255889.8083,1255887.2774
000031.SZ,20251224,2.9,0.2714,0.74,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20251223,2.9,0.3107,0.81,,,1.2267,1243030.8683,1243028.3633
000031.SZ,20251222,2.95,0.3941,1.08,,,1.2478,1264462.435,1264459.8868
000031.SZ,20251219,2.96,0.4519,1.19,,,1.252,1268748.7483,1268746.1915
000031.SZ,20251218,2.88,0.3133,0.72,,,1.2182,1234458.2416,1234455.7539
000031.SZ,20251217,2.85,0.3674,0.75,,,1.2055,1221599.3016,1221596.8398
000031.SZ,20251216,2.85,0.3889,0.74,,,1.2055,1221599.3016,1221596.8398
000031.SZ,20251215,2.85,0.3042,0.57,,,1.2055,1221599.3016,1221596.8398
000031.SZ,20251212,2.85,0.5251,1.04,,,1.2055,1221599.3016,1221596.8398
