ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000002.SZ,20260515,3.78,1.2394,0.82,,,0.408,4509808.18,3673001.757
000002.SZ,20260514,3.87,1.2905,0.86,,,0.4177,4617184.5653,3760454.1798
000002.SZ,20260513,3.99,1.3469,0.84,,,0.4307,4760353.0789,3877057.4101
000002.SZ,20260512,4.1,1.8248,1.16,,,0.4425,4891590.8831,3983943.7047
000002.SZ,20260511,4.09,1.9866,1.34,,,0.4415,4879660.1736,3974226.7688
000002.SZ,20260508,4.0,1.1421,0.79,,,0.4317,4772283.7884,3886774.346
000002.SZ,20260507,3.98,1.1678,0.85,,,0.4296,4748422.3695,3867340.4743
000002.SZ,20260506,4.01,1.8815,1.6,,,0.4328,4784214.4979,3896491.2819
000002.SZ,20260430,3.91,1.7079,1.62,,,0.422,4664907.4032,3799321.9232
000002.SZ,20260429,3.87,1.4946,1.63,,,0.395,4617184.5653,3760454.1798
000002.SZ,20260428,3.75,0.9418,1.07,,,0.3827,4474016.0516,3643850.9494
000002.SZ,20260427,3.73,0.8226,0.94,,,0.3807,4450154.6327,3624417.0776
000002.SZ,20260424,3.75,0.9308,1.04,,,0.3827,4474016.0516,3643850.9494
000002.SZ,20260423,3.81,1.0913,1.33,,,0.3888,4545600.3085,3702152.5646
000002.SZ,20260422,3.88,0.7869,0.87,,,0.396,4629115.2747,3770171.1156
000002.SZ,20260421,3.9,0.7501,0.67,,,0.398,4652976.6937,3789604.9874
000002.SZ,20260420,3.93,0.8293,0.74,,,0.4011,4688768.8221,3818755.7949
000002.SZ,20260417,3.96,1.0131,0.94,,,0.4041,4724560.9505,3847906.6025
000002.SZ,20260416,3.96,0.7091,0.63,,,0.4041,4724560.9505,3847906.6025
000002.SZ,20260415,3.97,1.2054,1.07,,,0.4052,4736491.66,3857623.5384
000002.SZ,20260414,4.02,1.8759,2.08,,,0.4103,4796145.2073,3906208.2177
000002.SZ,20260413,3.91,0.8346,0.88,,,0.399,4664907.4032,3799321.9232
000002.SZ,20260410,3.89,0.7848,0.75,,,0.397,4641045.9842,3779888.0515
000002.SZ,20260409,3.87,0.8828,0.81,,,0.395,4617184.5653,3760454.1798
000002.SZ,20260408,3.95,1.2558,1.21,,,0.4031,4712630.241,3838189.6667
000002.SZ,20260407,3.81,0.7543,0.69,,,0.3888,4545600.3085,3702152.5646
000002.SZ,20260403,3.82,1.0656,1.06,,,0.3898,4557531.0179,3711869.5004
000002.SZ,20260402,3.92,1.2675,1.36,,,0.4001,4676838.1126,3809038.8591
000002.SZ,20260401,4.04,1.0996,1.24,,,0.4123,4820006.6263,3925642.0895
000002.SZ,20260331,3.99,1.0185,1.17,,,0.2709,4760353.0789,3876843.452
000002.SZ,20260330,4.01,0.9762,0.88,,,0.2722,4784214.4979,3896276.2512
000002.SZ,20260327,4.06,0.6764,0.5,,,0.2756,4843868.0452,3944858.2494
000002.SZ,20260326,4.04,0.873,0.59,,,0.2742,4820006.6263,3925425.4501
000002.SZ,20260325,4.12,0.8904,0.59,,,0.2797,4915452.3021,4003156.6471
000002.SZ,20260324,4.09,0.942,0.57,,,0.2776,4879660.1736,3974007.4483
000002.SZ,20260323,4.02,2.1825,1.56,,,0.2729,4796145.2073,3905992.6509
000002.SZ,20260320,4.34,1.8773,1.49,,,0.2946,5177927.9104,4216917.439
000002.SZ,20260319,4.5,1.4478,1.29,,,0.3055,5368819.262,4372379.8331
