ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
000032.SZ,20260515,18.39,1.8425,0.78,,,3.0254,2234714.7529,2092707.0313
000032.SZ,20260514,18.35,2.1625,0.96,,,3.0188,2229854.0357,2088155.1944
000032.SZ,20260513,19.25,2.6396,1.18,,,3.1669,2339220.1737,2190571.5255
000032.SZ,20260512,18.82,1.8984,0.86,,,3.0961,2286967.4633,2141639.2784
000032.SZ,20260511,19.06,3.6845,2.14,,,3.1356,2316131.7668,2168950.3
000032.SZ,20260508,18.29,1.4667,0.83,,,3.0089,2222562.9598,2081327.439
000032.SZ,20260507,18.22,1.6185,0.93,,,2.9974,2214056.7046,2073361.7243
000032.SZ,20260506,17.84,2.5337,1.62,,,2.9349,2167879.8908,2030119.2735
000032.SZ,20260430,17.34,1.7415,1.17,,,2.8526,2107120.9253,1973221.3118
000032.SZ,20260429,17.79,1.2288,0.79,,,2.9267,2161803.9943,2024429.4773
000032.SZ,20260428,17.87,1.7162,1.09,,,2.9398,2171525.4288,2033533.1512
000032.SZ,20260427,17.98,1.4884,0.95,66.2638,138.7074,2.9853,2184892.4012,2046050.7027
000032.SZ,20260424,17.92,1.663,1.05,66.0427,138.2445,2.9753,2177601.3253,2039222.9473
000032.SZ,20260423,18.32,1.3421,0.77,67.5169,141.3303,3.0417,2226208.4978,2084741.3167
000032.SZ,20260422,18.43,1.5522,0.81,67.9223,142.1789,3.06,2239575.4702,2097258.8683
000032.SZ,20260421,18.18,1.8557,0.86,67.0009,140.2503,3.0185,2209195.9874,2068809.8874
000032.SZ,20260420,18.76,1.419,0.66,69.1385,144.7247,3.1148,2279676.3874,2134811.523
000032.SZ,20260417,18.55,1.772,0.82,68.3645,143.1046,3.0799,2254157.6219,2110914.3791
000032.SZ,20260416,19.02,2.141,1.03,70.0967,146.7305,3.1579,2311271.0495,2164398.4631
000032.SZ,20260415,18.6,2.446,1.08,68.5488,143.4904,3.0882,2260233.5185,2116604.1752
000032.SZ,20260414,18.67,3.0399,1.54,68.8068,144.0304,3.0998,2268739.7736,2124569.8899
000032.SZ,20260413,18.08,1.2749,0.64,66.6324,139.4788,3.0019,2197044.1943,2057430.2951
000032.SZ,20260410,17.89,1.8849,0.92,65.9321,138.0131,2.9703,2173955.7874,2035809.0696
000032.SZ,20260409,17.68,1.7828,0.84,65.1582,136.393,2.9355,2148437.0218,2011911.9257
000032.SZ,20260408,18.3,3.3154,1.64,67.4432,141.176,3.0384,2223778.1391,2082465.3982
000032.SZ,20260407,16.83,1.6204,0.66,62.0256,129.8356,2.7943,2045146.7804,1915185.3908
000032.SZ,20260403,17.14,1.3991,0.54,63.1681,132.2271,2.8458,2082817.3391,1950462.1271
000032.SZ,20260402,17.5,2.1488,0.77,64.4948,135.0044,2.9056,2126563.7943,1991428.6595
000032.SZ,20260401,18.3,2.0997,0.73,67.4432,141.176,3.0384,2223778.1391,2082465.3982
000032.SZ,20260331,18.06,2.824,0.93,66.5587,139.3245,2.9986,2194613.8357,2055154.3766
000032.SZ,20260330,19.07,3.7301,1.28,70.2809,147.1162,3.1662,2317346.9461,2170088.2592
000032.SZ,20260327,18.76,2.0378,0.61,69.1385,144.7247,3.1148,2279676.3874,2134811.523
000032.SZ,20260326,18.43,3.2162,0.78,67.9223,142.1789,3.06,2239575.4702,2097258.8683
000032.SZ,20260325,18.42,2.5513,0.63,67.8854,142.1018,3.0583,2238360.2909,2096120.909
000032.SZ,20260324,18.15,3.6547,1.02,66.8903,140.0188,3.0135,2205550.4495,2065396.0097
000032.SZ,20260323,17.18,3.0946,0.97,63.3155,132.5357,2.8524,2087678.0563,1955013.964
000032.SZ,20260320,18.13,4.1869,1.48,66.8166,139.8645,3.0102,2203120.0908,2063120.0912
000032.SZ,20260319,18.96,7.1071,4.14,69.8755,146.2676,3.148,2303979.9737,2157570.7077
000032.SZ,20260318,18.09,2.1315,1.26,66.6692,139.556,3.0035,2198259.3736,2058568.2543
