ts_code,name,industry,list_date,market
000563.SZ,陕国投Ａ,多元金融,19940110,主板
000564.SZ,供销大集,百货,19940110,主板
000565.SZ,渝三峡Ａ,染料涂料,19940408,主板
000566.SZ,海南海药,化学制药,19940525,主板
000567.SZ,海德股份,多元金融,19940525,主板
000568.SZ,泸州老窖,白酒,19940509,主板
000570.SZ,苏常柴Ａ,农用机械,19940701,主板
000571.SZ,新大洲A,煤炭开采,19940525,主板
000572.SZ,海马汽车,汽车整车,19940808,主板
000573.SZ,粤宏远Ａ,区域地产,19940815,主板
000576.SZ,甘化科工,电气设备,19940907,主板
000581.SZ,威孚高科,汽车配件,19980924,主板
000582.SZ,北部湾港,港口,19951102,主板
000586.SZ,汇源通信,通信设备,19951220,主板
000589.SZ,贵州轮胎,汽车配件,19960308,主板
000590.SZ,古汉医药,中成药,19960119,主板
000591.SZ,太阳能,新型电力,19960208,主板
000592.SZ,平潭发展,林业,19960327,主板
000593.SZ,德龙汇能,供气供热,19960312,主板
000596.SZ,古井贡酒,白酒,19960927,主板
000597.SZ,东北制药,化学制药,19960523,主板
000598.SZ,兴蓉环境,水务,19960529,主板
000599.SZ,青岛双星,汽车配件,19960430,主板
000600.SZ,建投能源,火力发电,19960606,主板
000601.SZ,韶能股份,水力发电,19960830,主板
000603.SZ,盛达资源,铅锌,19960823,主板
000605.SZ,渤海股份,水务,19960913,主板
000607.SZ,华媒控股,广告包装,19960830,主板
000612.SZ,焦作万方,铝,19960926,主板
000617.SZ,中油资本,多元金融,19961022,主板
000619.SZ,海螺新材,其他建材,19961023,主板
000620.SZ,盈新发展,全国地产,19961029,主板
000623.SZ,吉林敖东,中成药,19961028,主板
000625.SZ,长安汽车,汽车整车,19970610,主板
000626.SZ,远大控股,商贸代理,19961128,主板
000628.SZ,高新发展,建筑工程,19961118,主板
000629.SZ,钒钛股份,小金属,19961115,主板
000630.SZ,铜陵有色,铜,19961120,主板
000631.SZ,顺发恒能,综合类,19961122,主板
000633.SZ,合金投资,小金属,19961112,主板
000635.SZ,英力特,化工原料,19961120,主板
000636.SZ,风华高科,元器件,19961129,主板
000637.SZ,茂化实华,石油加工,19961114,主板
000650.SZ,仁和药业,中成药,19961210,主板
000651.SZ,格力电器,家用电器,19961118,主板
000652.SZ,泰达股份,批发业,19961128,主板
000655.SZ,金岭矿业,普钢,19961128,主板
000657.SZ,中钨高新,小金属,19961205,主板
000659.SZ,珠海中富,广告包装,19961203,主板
000661.SZ,长春高新,生物制药,19961218,主板
000663.SZ,永安林业,林业,19961206,主板
000665.SZ,湖北广电,影视音像,19961210,主板
000670.SZ,盈方微,元器件,19961217,主板
000672.SZ,上峰水泥,水泥,19961218,主板
000676.SZ,智度股份,互联网,19961224,主板
000678.SZ,襄阳轴承,汽车配件,19970106,主板
000679.SZ,大连友谊,百货,19970124,主板
000680.SZ,山推股份,工程机械,19970122,主板
000681.SZ,视觉中国,互联网,19970121,主板
000682.SZ,东方电子,电气设备,19970121,主板
000683.SZ,博源化工,化工原料,19970131,主板
000685.SZ,中山公用,水务,19970123,主板
000686.SZ,东北证券,证券,19970227,主板
000688.SZ,国城矿业,铅锌,19970120,主板
000690.SZ,宝新能源,火力发电,19970128,主板
000692.SZ,惠天热电,供气供热,19970227,主板
000695.SZ,滨海能源,化工原料,19970218,主板
001696.SZ,宗申动力,摩托车,19970306,主板
000697.SZ,炼石航空,航空,19970325,主板
000700.SZ,模塑科技,汽车配件,19970228,主板
000701.SZ,厦门信达,商贸代理,19970226,主板
000702.SZ,正虹科技,饲料,19970318,主板
000703.SZ,恒逸石化,化纤,19970328,主板
000705.SZ,浙江震元,医药商业,19970410,主板
000707.SZ,双环科技,化工原料,19970415,主板
000708.SZ,中信特钢,特种钢,19970326,主板
000709.SZ,河钢股份,普钢,19970416,主板
000710.SZ,贝瑞基因,医疗保健,19970422,主板
000712.SZ,锦龙股份,证券,19970415,主板
000713.SZ,国投丰乐,种植业,19970422,主板
000715.SZ,中兴商业,百货,19970508,主板
000716.SZ,黑芝麻,食品,19970418,主板
000717.SZ,中南股份,普钢,19970508,主板
000718.SZ,苏宁环球,区域地产,19970408,主板
000719.SZ,中原传媒,出版业,19970331,主板
000720.SZ,新能泰山,电气设备,19970509,主板
000721.SZ,西安饮食,酒店餐饮,19970430,主板
000722.SZ,湖南发展,水力发电,19970522,主板
000723.SZ,美锦能源,焦炭加工,19970515,主板
000725.SZ,京东方Ａ,元器件,20010112,主板
000726.SZ,鲁泰Ａ,纺织,20001225,主板
000727.SZ,冠捷科技,元器件,19970520,主板
000728.SZ,国元证券,证券,19970616,主板
000729.SZ,燕京啤酒,啤酒,19970716,主板
000731.SZ,四川美丰,农药化肥,19970617,主板
000733.SZ,振华科技,元器件,19970703,主板
000735.SZ,罗牛山,农业综合,19970611,主板
000737.SZ,北方铜业,铜,19970428,主板
000738.SZ,航发控制,航空,19970626,主板
000739.SZ,普洛药业,化学制药,19970509,主板
000750.SZ,国海证券,证券,19970709,主板
000751.SZ,锌业股份,铅锌,19970626,主板
000753.SZ,漳州发展,综合类,19970626,主板
000755.SZ,山西高速,路桥,19970627,主板
000756.SZ,新华制药,化学制药,19970806,主板
000757.SZ,浩物股份,汽车服务,19970627,主板
000758.SZ,中色股份,铅锌,19970416,主板
000759.SZ,中百集团,超市连锁,19970519,主板
000761.SZ,本钢板材,普钢,19980115,主板
