ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
000021.SZ,20260429,20260331,0.1539,0.1539,2.3654,2.3654,1.7145,0.7032,4.7833,99412789.09,142765477.92,635506193.12,1.3966,1.1429,1.1124,0.8773,0.2492,0.5841,0.135,197674921.63,352283800.16,,263063244.8288,1811087250.1388,5252384080.53,380303069.4,6230511650.72,-1870689376.54,12455874449.62,4482390455.85,2316035723.95,22827907460.26,8637045824.23,0.1538,8.4868,0.0725,5.4864,0.2052,0.2238,0.1671,1.1504,7.734,17.0662,82.9338,11.1161,7.734,1.3042,6.6964,3.1155,-0.0169,94.6915,9.5259,9.4604,1.8307,1.83,1.0792,1.2774,1.0443,1.2862,7.3228,5.1096,41.6829,1.7148,2.0848,55.4625,44.5375,43.7653,27.2934,58.5263,95.2742,4.7258,0.0101,0.7148,1.1262,2.1443,1.05,1.9992,,0.0096,179.7546,4.1772,0.8781,10410016673.17,9.4861,1.3042,94.6915,1.8307,1.0792,1.0443,3.0644,34.1761,34.1761,-83.0766,26.4794,25.7448,35.3487,14.93,-82.9333,23.1313,1.9791,6.6027,2.013,10.6739,10.6739,10.6739,-34.1508,9.9222
000021.SZ,20260429,20251231,0.7252,0.7252,10.0064,10.0064,1.7013,0.7034,4.631,167748202.05,967930805.0,2885524785.52,1.4332,1.1865,1.1539,3.8474,1.099,2.6285,0.589,1877579647.24,1656997328.74,2538246155.14,783664058.5621,-1461447357.5879,4479675865.85,383799394.73,5546063784.93,-1281979521.08,12183689456.17,4263414897.18,2691318923.13,21834353246.03,8394867557.22,0.7216,8.3221,1.1213,5.3344,1.3383,1.0529,0.498,-0.9287,9.1948,18.3238,81.6762,5.4901,9.1948,1.1684,6.9736,-2.6519,-0.262,88.0769,10.8823,10.5224,9.0951,9.09,7.7517,6.1977,5.4158,6.4238,9.0951,6.1977,38.9902,1.6391,2.1411,52.8335,47.1665,45.6355,25.4006,59.9821,94.5476,5.4524,0.1793,0.6391,1.2581,2.3614,1.1704,2.1968,,0.1695,164.3578,5.4158,4.2478,10338387765.75,10.9021,1.1746,86.9367,2.9418,3.0311,1.6935,-6.0157,21.637,21.637,-27.9416,38.5174,33.6106,22.0707,7.48,-27.3342,10.7003,9.3502,-0.2815,10.2713,6.2064,6.2064,12.4279,22.1609,10.2713
000021.SZ,20251030,20250930,0.4833,0.4833,7.1757,7.1757,1.6713,0.7043,4.3896,179289694.26,576439580.83,1907276882.03,1.3905,1.165,1.1003,2.9392,0.7618,1.907,0.4152,1293708946.78,1129991650.94,,317183479.8878,-1212392938.5722,4968221207.99,365788991.1,6374658951.73,-1538709559.25,12005767988.58,4228461242.46,2071687760.72,22222880517.54,8006038181.05,0.4808,8.1027,1.2938,5.0939,1.4549,0.719,0.2018,-0.7714,8.7654,16.9117,83.0883,4.7609,8.7654,1.166,6.9353,-3.3404,0.0014,88.5288,10.4185,10.0196,6.1412,6.16,4.6843,4.1597,3.639,4.3349,8.1883,5.5463,42.4891,1.7388,2.2075,54.6357,45.3643,43.5672,28.6851,57.3049,92.4736,7.5264,0.1878,0.7388,1.0876,1.9977,1.0254,1.8834,,0.1737,164.9275,4.852,2.782,10183567890.55,10.4099,1.245,88.8714,2.4253,2.0659,1.3774,16.3123,14.0396,14.0396,5.2983,23.3349,21.2783,14.2659,-6.58,6.0493,3.7595,6.4674,2.9272,7.2241,3.9271,3.9271,-6.8191,-2.7766,10.1256
000021.SZ,20251030,20250930,0.4833,0.4833,7.1757,7.1757,1.6713,0.7043,4.3896,179289694.26,576439580.83,1907276882.03,1.3905,1.165,1.0959,2.9392,0.7618,1.907,0.4152,1293708946.78,1129991650.94,,,,4968221207.99,365788991.1,6374658951.73,-1538709559.25,12005767988.58,4228461242.46,2174300512.6,22222880517.54,8006038181.05,0.4808,8.1027,1.2938,5.0939,1.4549,0.719,,,8.7654,16.9117,83.0883,4.7609,8.7654,1.166,6.9353,-3.3404,0.0014,88.5288,10.4185,10.0196,6.1412,6.16,4.6843,4.1597,3.639,4.3349,8.1883,5.5463,42.4891,1.7388,2.2075,54.6357,45.3643,43.5672,28.6851,57.3049,92.4736,7.5264,0.1878,0.7388,1.0876,1.9977,1.0254,1.8834,,0.1737,164.9275,4.852,2.782,10183567890.55,10.4099,1.245,88.8714,2.4253,2.0659,1.3774,16.3123,14.0396,14.0396,5.2983,23.3349,21.2783,14.2659,-6.58,6.0493,3.7595,6.4674,2.9272,7.2241,3.9271,3.9271,-6.8191,-2.7766,10.1256
000021.SZ,20250828,20250630,0.2893,0.2893,4.9383,4.9383,1.6538,0.7063,4.1838,134248402.5,317569007.26,1218852236.44,1.2887,1.0992,1.0658,1.987,0.5025,1.3142,0.2784,899958895.94,747073987.87,1144242063.4,1127454431.6329,1155833928.5229,5141687862.35,377533623.85,7949937739.66,-1377724693.74,11607173052.36,3640901008.94,1663499645.52,23305770246.4,7664179371.76,0.2883,7.8651,0.9292,4.8901,1.9701,0.4767,0.7194,0.7375,7.7553,15.7482,84.2518,3.3716,7.7553,1.1298,6.5713,-4.3296,0.0011,88.3721,9.4839,9.6526,3.7335,4.04,2.6241,2.6874,2.1592,2.7155,7.467,5.3748,46.7274,1.8771,2.2971,56.3862,43.6138,40.2677,34.1115,52.8917,93.6392,6.3608,0.1155,0.8771,0.9152,1.5506,0.8618,1.46,,0.1081,159.8729,4.3184,1.6253,10156579313.11,9.4865,1.1304,87.0598,2.2294,1.5796,1.287,18.0048,25.2923,25.2923,7.1247,30.7161,28.3111,25.3945,-7.87,7.5812,12.3193,3.3454,7.6637,3.789,9.7113,9.7113,11.375,61.7209,11.641
000021.SZ,20250430,20250331,0.1147,0.1147,2.156,2.156,1.5938,0.7093,4.1954,54713906.8,124215262.69,546342515.37,1.4246,1.2093,1.1731,0.8609,0.2159,0.5892,0.1206,333823299.54,275516063.8,,333684417.0896,1165575694.1296,5006907804.57,385016445.37,8590413808.28,-1073932812.67,11462023144.77,4953057990.29,1945391028.14,23640738955.49,7654276645.15,0.1147,7.7883,0.4284,4.9047,1.547,0.1765,0.2138,0.7469,6.7735,16.2378,83.7622,5.5473,6.7735,1.1291,7.6747,-3.2564,0.0199,90.0785,8.3355,8.1886,1.4891,1.5,1.0338,0.9874,0.8168,0.9865,5.9564,3.9496,48.1607,1.929,2.3222,57.241,42.759,39.4798,36.3373,51.4128,83.4304,16.5696,0.0573,0.929,0.8693,1.4149,0.8198,1.3343,,0.0478,186.6286,3.2672,0.6413,9898628187.39,8.3492,1.1291,90.0785,1.4891,1.0338,0.8168,19.8719,47.0513,47.0513,47.8261,28.5809,28.6945,46.9115,18.67,47.8312,33.0773,2.3362,8.4393,2.337,7.6209,7.6209,7.6209,-1.4119,10.3956
000021.SZ,20250425,20241231,0.5962,0.5962,9.501,9.501,1.5144,0.7093,4.0808,29768018.1,900577554.08,2517570789.82,1.3673,1.1202,1.0708,3.8858,0.9798,2.8262,0.5476,1273163030.29,1267059888.42,1968009634.06,849442102.9931,-231772229.5769,4743292908.73,354031426.77,7817857636.55,495910891.46,11205882273.08,3908909919.0,2469678627.73,21675862113.32,7475347475.66,0.5962,7.6105,1.5561,4.7901,-0.1062,0.8119,0.5443,-0.1485,7.3345,16.9794,83.0206,7.2603,7.3345,1.151,6.8734,-0.7642,-0.5764,91.4133,8.3438,8.5455,8.147,8.14,7.8863,4.6793,4.0162,4.9321,8.147,4.6793,48.2392,1.932,2.3712,54.3494,45.6506,41.8549,36.0671,54.7927,82.4003,17.5997,0.2282,0.932,0.9196,1.5192,0.8677,1.4334,22.5966,0.188,182.6585,4.0162,3.4358,9784895363.22,8.666,1.6257,91.246,2.2949,2.419,0.9848,12.8514,44.3234,44.3234,21.286,27.8488,29.6427,44.3289,33.77,21.2847,33.2137,8.3438,-2.2257,8.3438,3.9434,3.9434,20.7162,-27.2707,8.3438
000021.SZ,20241030,20240930,0.4238,0.4238,6.9536,6.9536,1.4975,0.7093,3.8949,44318211.83,617059789.4,1801536008.8,1.2625,1.0364,0.9609,2.9519,0.6691,2.207,0.3839,925147820.65,958672863.47,,206057301.2624,983551121.9024,5381578146.47,436214767.32,9799190159.41,768534666.2,10868105451.54,3477474957.05,2311624864.67,23336536534.33,7185355292.6,0.4238,7.4099,1.2287,4.6043,0.0175,0.6143,0.132,0.6302,7.4838,16.6014,83.3986,7.2997,7.4838,0.9771,6.5785,-0.2559,-0.1738,91.4746,8.7791,8.8343,5.8721,5.81,5.4786,3.3913,2.8729,3.5629,7.8295,4.5217,53.5666,2.1536,2.5099,57.3632,42.6368,37.2778,41.9908,49.5527,84.8204,15.1796,0.1448,1.1536,0.7405,1.1801,0.6959,1.1091,14.1413,0.1228,188.7393,3.8305,2.3396,9736226050.2,8.9206,1.1915,89.7081,2.6636,2.4097,1.1998,14.8479,48.13,48.13,142.4906,35.9124,37.4468,48.1181,64.96,142.4713,39.0269,5.488,6.4701,5.4892,-1.0912,-1.0912,17.5276,13.8969,6.5391
000021.SZ,20241030,20240930,0.4238,0.4238,6.9536,6.9536,1.4975,0.7093,3.8949,44318211.83,617059789.4,1801536008.8,1.2625,1.0364,0.9609,2.9519,0.6691,2.207,0.3839,925147820.65,958672863.47,,,,5381578146.47,436214767.32,9799190159.41,768534666.2,10868105451.54,3477474957.05,2311624864.67,23336536534.33,7185355292.6,0.4238,7.4099,1.2287,4.6043,0.0175,0.6143,,,7.4838,16.6014,83.3986,7.2997,7.4838,0.9771,6.5785,-0.2559,-0.1738,91.4746,8.7791,8.8343,5.8721,5.81,5.4786,3.3913,2.8729,3.5629,7.8295,4.5217,53.5666,2.1536,2.5099,57.3632,42.6368,37.2778,41.9908,49.5527,84.8204,15.1796,0.1448,1.1536,0.7405,1.1801,0.6959,1.1091,14.1413,0.1228,188.7393,3.8305,2.3396,9736226050.2,8.9206,1.1915,89.7081,2.6636,2.4097,1.1998,14.8479,48.13,48.13,142.4906,35.9124,37.4468,48.1181,64.96,142.4713,39.0269,5.488,6.4701,5.4892,-1.0912,-1.0912,17.5276,13.8969,6.5391
000021.SZ,20240830,20240630,0.2309,0.2309,4.5205,4.5205,1.4755,0.7093,3.702,15612971.47,344703931.96,1178054769.3,1.2816,1.0559,0.9811,1.9774,0.4401,1.4409,0.2541,534351003.97,586007257.3,938333368.92,705726534.8547,1540714174.9447,4842275917.56,473096970.23,9847167715.06,822769535.71,10302714980.93,3590985364.51,2475312485.39,22820347336.03,6884294194.8,0.2309,7.0752,0.8674,4.4113,0.3866,0.3755,0.4522,0.9873,6.6404,16.6992,83.3008,8.453,6.6404,0.8618,6.8304,0.7608,-0.0284,92.4255,7.9599,8.3068,3.2751,3.25,3.1332,2.111,1.6876,2.1498,6.5502,4.222,53.8907,2.1688,2.5231,58.0827,41.9173,36.6179,43.1508,48.3843,84.0954,15.9046,0.1062,1.1688,0.7282,1.1213,0.6795,1.0463,12.522,0.0893,189.0999,3.3752,1.298,9222610534.39,8.1114,0.8508,91.2751,2.1633,2.177,1.0343,22.9475,21.3985,21.3985,-12.6749,21.0719,23.4867,21.3849,30.06,-12.6697,14.4124,0.7232,2.7502,0.7237,-8.8625,-8.8625,3.1888,57.4457,6.0942
