ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
000042.SZ,20260430,20260430,20260331,1,1,1,-0.0996,-0.0996,352467667.28,352467667.28,0.0,0.0,0.0,,,,,,,,,,,,0.0,8403155.27,5074039.11,0.0,375109958.13,210613113.23,0.0,0.0,33340856.13,12946163.27,35756488.35,82095620.84,59175.32,0.0,0.0,0.0,0.0,0.0,,,,,,-12130891.44,1086399.94,43897917.0,,-54942408.5,10998534.11,-65940942.61,-66227016.62,286074.01,0.0,-65940942.61,-66227016.62,286074.01,,,,,,0.0,87935759.57,6077167.65,,,,,,,,,,,,,,,-65940942.61,0
000042.SZ,20260430,20260430,20260331,1,1,1,-0.0996,-0.0996,352467667.28,352467667.28,0.0,0.0,0.0,,,,,,,,,,,,0.0,8403155.27,5074039.11,0.0,375109958.13,210613113.23,0.0,0.0,33340856.13,12946163.27,35756488.35,82095620.84,59175.32,0.0,0.0,0.0,0.0,0.0,,,,,,-12130891.44,1086399.94,43897917.0,,-54942408.5,10998534.11,-65940942.61,-66227016.62,286074.01,0.0,-65940942.61,-66227016.62,286074.01,59808924.42,,,,,0.0,87935759.57,6077167.65,,,,,,,,,,,,,,,-65940942.61,1
000042.SZ,20260418,20260418,20251231,1,1,4,-1.3573,-1.3573,2594482776.47,2594482776.47,,,,,,,,,,,,,,,,277068278.57,,,3676730783.19,1630808098.76,,,103384000.3,215631587.75,193627217.23,373796432.56,-984163429.72,,,,,,,,,,,-802874749.05,45542559.59,216332381.12,,-973664570.58,179283007.06,-1152947577.64,-902407022.03,-250540555.61,,-1152947577.64,-902407022.03,-250540555.61,-683394128.48,-449095406.32,,,,4450315.43,395798548.04,24304905.93,,,,,,,,,,,,,,,-1154173129.54,1
000042.SZ,20251028,20251028,20250930,1,1,3,0.0925,0.0925,2047177975.97,2047177975.97,0.0,0.0,0.0,,,,,,,,,,,,89809.29,240525629.09,21666719.31,0.0,2023097382.4,1213307335.86,0.0,0.0,185618025.96,166870044.58,119515403.26,289010295.15,-43421884.58,0.0,0.0,0.0,0.0,0.0,,,,,,266024502.48,2655652.4,150235481.74,,118444673.14,62485140.59,55959532.55,61506722.93,-5547190.38,0.0,55959532.55,61506722.93,-5547190.38,357083778.7,,,,,4028283.71,304804305.69,17672812.58,,,,,,,,,,,,,,,55959532.55,1
000042.SZ,20251028,20251028,20250930,1,1,3,0.0925,0.0925,2047177975.97,2047177975.97,0.0,0.0,0.0,,,,,,,,,,,,89809.29,240525629.09,21666719.31,0.0,2023097382.4,1213307335.86,0.0,0.0,185618025.96,166870044.58,119515403.26,289010295.15,-43421884.58,0.0,0.0,0.0,0.0,0.0,,,,,,266024502.48,2655652.4,150235481.74,,118444673.14,62485140.59,55959532.55,61506722.93,-5547190.38,0.0,55959532.55,61506722.93,-5547190.38,,,,,,4028283.71,304804305.69,17672812.58,,,,,,,,,,,,,,,55959532.55,0
000042.SZ,20250822,20250822,20250630,1,1,2,0.285,0.285,1677287618.17,1677287618.17,,,,,,,,,,,,,,,134677.72,231642032.22,14714487.2,,1560666807.25,944465202.09,,,156737019.46,125234861.77,86869957.68,199694610.35,-43421884.58,,,,,,,,,,,349536601.53,1596291.25,93662159.66,,257470733.12,71839165.72,185631567.4,189495896.19,-3864328.79,,185631567.4,189495896.19,-3864328.79,360291902.74,486685201.03,,,,2708174.26,210542943.21,12200745.04,,,,,,,,,,,,,,,185631567.4,1
000042.SZ,20250429,20250429,20250331,1,1,1,0.2087,0.2087,1050310413.82,1050310413.82,0.0,0.0,0.0,,,,,,,,,,,,0.0,6750390.73,6257008.43,0.0,810053853.83,488212275.86,0.0,0.0,118184727.98,52583519.67,42868128.25,106222652.96,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,247333968.24,944550.26,30209004.46,,218069514.04,77643890.26,140425623.78,138754958.09,1670665.69,0.0,140425623.78,138754958.09,1670665.69,346777793.58,,,,,1306629.49,112467999.79,7015192.93,,,,,,,,,,,,,,,140425623.78,1
000042.SZ,20250426,20250426,20241231,1,1,4,-3.0454,-3.0454,4323648747.25,4323648747.25,,,,,,,,,,,,,,,,-42706639.75,,,6373098074.19,2775263264.13,,,503156417.66,313115842.48,233422003.29,682357333.96,-1771611741.33,,,,,,,,,,,-2088539124.87,8471993.35,174175417.15,,-2254242548.67,251374152.27,-2505616700.94,-2024703774.39,-480912926.55,,-2505616700.94,-2024703774.39,-480912926.55,-1126344076.27,-913500373.12,,,,7127783.1,699538911.41,20257924.17,,,,,,,,,,,,,,,-2505616700.94,1
000042.SZ,20241030,20241030,20240930,1,1,3,-0.7801,-0.7801,3862522827.46,3862522827.46,0.0,0.0,0.0,,,,,,,,,,,,0.0,10149174.83,9709251.1,0.0,4236574713.03,2632517213.92,0.0,0.0,267345795.82,237076632.76,149730725.53,502805641.89,-440542653.8,0.0,0.0,0.0,0.0,0.0,,,,,,-361582242.32,5237132.65,109907818.76,,-466252928.43,72620924.56,-538873852.99,-518648358.32,-20225494.67,0.0,-538873852.99,-518648358.32,-20225494.67,571616077.67,,,,,5558667.19,554085166.43,53453791.74,,,,,,,,,,,,,,,-538873852.99,1
000042.SZ,20240821,20240821,20240630,1,1,2,-0.625,-0.625,2342722332.81,2342722332.81,,,,,,,,,,,,,,,,-7522226.93,-7667683.56,,2702700878.63,1512101874.59,,,179432072.3,133651113.51,96081422.77,336862813.54,-440542653.8,,,,,,,,,,,-366177982.07,1811885.74,66286472.6,,-430652568.93,1156712.72,-431809281.65,-415535979.99,-16273301.66,,-431809281.65,-415535979.99,-16273301.66,-9771580.43,93781847.08,,,,3990254.9,363769244.86,28292770.74,,,,,,,,,,,,,,,-431809281.65,1
000042.SZ,20240430,20240430,20240331,1,1,1,0.1291,0.1291,1702647774.9,1702647774.9,0.0,0.0,0.0,,,,,,,,,,,,0.0,6004412.87,5974200.22,0.0,1542919463.71,1110306834.71,0.0,0.0,138409154.09,75385129.01,49567698.93,166637650.52,-296789.78,0.0,0.0,0.0,0.0,0.0,,,,,,166144336.56,292739.61,34416108.16,,132020968.01,50152504.26,81868463.75,85845683.73,-3977219.98,0.0,81868463.75,85845683.73,-3977219.98,327001830.89,,,,,1957230.05,178930878.28,13024338.58,,,,,,,,,,,,,,,81868463.75,1
