ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000055.SZ,20260428,20260428,20260331,1,1,1,,,944170191.97,9436424.25,,,,,,,,,,,,23852218.54,977458834.76,749148553.64,141168260.75,51809779.5,,,,,,121548689.03,1063675282.92,-86216448.16,,215614598.58,314462.14,1435500.0,,217364560.72,10064882.58,269735199.55,,484870.0,,280284952.13,-62920391.41,446105946.5,,2547451.57,448653398.07,-46369648.2806,660549524.46,17465968.4,,17499140.68,695514633.54,-246861235.47,-2505515.11,-398503590.15,1090965547.89,692461957.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000055.SZ,20260428,20260428,20260331,1,1,1,,,944170191.97,9436424.25,,,,,,,,,,,,23852218.54,977458834.76,749148553.64,141168260.75,51809779.5,,,,,,121548689.03,1063675282.92,-86216448.16,,215614598.58,314462.14,1435500.0,,217364560.72,10064882.58,269735199.55,,484870.0,,280284952.13,-62920391.41,446105946.5,,2547451.57,448653398.07,,660549524.46,17465968.4,,17499140.68,695514633.54,-246861235.47,-2505515.11,-398503590.15,1090965547.89,692461957.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000055.SZ,20260408,20260408,20251231,1,1,4,-515433229.81,77563351.94,3736526691.18,87812070.8,,,,,,,,,,,,153978372.04,3978317134.02,2964314842.23,483554744.62,186348404.4,,,,,,156686242.9,3790904234.15,187412899.87,,1089745926.15,1426386.6,52154307.71,,1143326620.46,98345774.8,1089326003.52,,,,1187671778.32,-44345157.86,2516692628.24,,100842000.0,2617534643.1,-13451067.29,2563323480.12,126024225.73,,12963429.49,2702311135.34,-84776492.24,949081.78,59240331.55,1031725216.34,1090965547.89,14.86,14.86,,283170951.98,37176212.95,5155196.09,4393633.54,,,3032277.77,882302.15,280735167.15,25773481.21,-60882106.65,-89260452.7,-2698224.56,387051651.84,-302520409.58,,187412899.87,,,,59240331.55,,,,4389525.88,,1090965547.89,1031725216.34,,,1
000055.SZ,20251029,20251029,20250930,1,1,3,,,2623086160.52,21966383.06,,,,,,,,,,,,93665690.8,2738718234.38,2106742925.86,379222390.72,119290400.77,,,,,,327723438.9,2932979156.25,-194260921.87,,543662788.73,589535.74,52150555.21,,596402879.68,45390590.1,723108011.96,,,,768498602.06,-172095722.38,2336123504.68,,191000000.0,2527123519.74,-293815194.63,2341980500.0,107736329.08,,148168341.5,2597885170.58,-70761650.84,575624.56,-436542670.53,1031725216.34,595182545.81,15.06,15.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000055.SZ,20250823,20250823,20250630,1,1,2,17306590.06,42289425.66,1644864672.27,3765227.06,,,,,,,,,,,,76539611.68,1725169511.01,1406952767.91,266473149.48,87939225.95,,,,,,230151595.52,1991516738.86,-266347227.85,,,54562.28,47639388.99,,47693951.27,15143990.05,,,,,15143990.05,32549961.22,1893093229.99,,191000000.0,2084093245.05,-263645453.41,1947980500.0,88294367.1,,89650891.23,2125925758.33,-41832513.28,3502591.55,-272127188.36,1031725216.34,759598027.98,15.06,,,54416588.01,18240913.35,3339231.01,2516462.04,,,1522602.22,20260.37,-2766545.64,-16508.91,-18354312.72,-7697073.63,-39908231.42,23553621.51,-367876286.41,,-266347227.85,,,,-272127188.36,,,,3753092.34,,759598027.98,1031725216.34,,,1
000055.SZ,20250422,20250422,20250331,1,1,1,,,774177214.67,1954537.13,,,,,,,,,,,,43055530.39,819187282.19,804725355.41,156959596.91,35581625.68,,,,,,128046657.17,1125313235.17,-306125952.98,,,,7716254.0,,7716254.0,9811977.62,,,,,9811977.62,-2095723.62,494093229.99,,43942000.0,538035229.99,,580000000.0,14912334.07,,3154500.89,598066834.96,-60031604.97,-114443.42,-368367724.99,1031725216.34,663357491.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000055.SZ,20250422,20250422,20250331,1,1,1,,,774177214.67,1954537.13,,,,,,,,,,,,43055530.39,819187282.19,804725355.41,156959596.91,35581625.68,,,,,,128046657.17,1125313235.17,-306125952.98,,,,7716254.0,,7716254.0,9811977.62,,,,,9811977.62,-2095723.62,494093229.99,,43942000.0,538035229.99,-339088028.858,580000000.0,14912334.07,,3154500.89,598066834.96,-60031604.97,-114443.42,-368367724.99,1031725216.34,663357491.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000055.SZ,20250422,20250422,20241231,1,1,4,146168290.32,62507793.94,4480307796.77,20223216.89,,,,,,,,,,,,115024150.76,4615555164.42,3476800439.66,500142274.75,187032846.31,,,,,,180685510.27,4344661070.99,270894093.43,,1785649.27,214188.46,8161249.68,,10161087.41,229651090.29,27416773.3,,1787676.3,,258855539.89,-248694452.48,3503675536.37,,463600944.44,3967291354.43,412309210.2681,3451800000.0,167473899.5,6962732.02,119400311.19,3738674210.69,228617143.74,1247313.23,252064097.92,779661118.42,1031725216.34,14873.62,14873.62,,145947431.74,32873765.23,7362948.39,3854633.92,,,500192.81,601531.09,18394198.42,1855001.49,-34722077.39,-6409546.15,42960388.63,-288233573.56,93985965.94,,270894093.43,,,,252064097.92,,,,15038434.25,,1031725216.34,779661118.42,,,1
000055.SZ,20250422,20250422,20241231,1,1,4,146168290.32,62507793.94,4480307796.77,20223216.89,,,,,,,,,,,,115024150.76,4615555164.42,3476800439.66,500142274.75,187032846.31,,,,,,180685510.27,4344661070.99,270894093.43,,1785649.27,214188.46,8161249.68,,10161087.41,229651090.29,27416773.3,,1787676.3,,258855539.89,-248694452.48,3503675536.37,,463600944.44,3967291354.43,,3451800000.0,167473899.5,6962732.02,119400311.19,3738674210.69,228617143.74,1247313.23,252064097.92,779661118.42,1031725216.34,14873.62,14873.62,,145947431.74,32873765.23,7362948.39,3854633.92,,,500192.81,601531.09,18394198.42,1855001.49,-34722077.39,-6409546.15,42960388.63,-288233573.56,93985965.94,,270894093.43,,,,252064097.92,,,,15038434.25,,1031725216.34,779661118.42,,,0
000055.SZ,20241029,20241029,20240930,1,1,3,,,3132581238.4,16996508.35,,,,,,,,,,,,75649762.78,3225227509.53,2409203650.15,381942059.01,127423375.56,,,,,,459903005.98,3378472090.7,-153244581.17,,1785649.27,102026.76,3232065.48,,5119741.51,214200443.48,800047.59,,1240147.0,,216240638.07,-211120896.56,2945000000.0,,330600944.44,3275600944.44,-157244240.3659,2564800000.0,150260023.65,6983927.27,243852262.55,2958912286.2,316688658.24,1449044.32,-46227775.17,779661118.42,733433343.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
