ts_code,ann_date,end_date,eps,dt_eps,total_revenue_ps,revenue_ps,capital_rese_ps,surplus_rese_ps,undist_profit_ps,extra_item,profit_dedt,gross_margin,current_ratio,quick_ratio,cash_ratio,ar_turn,ca_turn,fa_turn,assets_turn,op_income,ebit,ebitda,fcff,fcfe,current_exint,noncurrent_exint,interestdebt,netdebt,tangible_asset,working_capital,networking_capital,invest_capital,retained_earnings,diluted2_eps,bps,ocfps,retainedps,cfps,ebit_ps,fcff_ps,fcfe_ps,netprofit_margin,grossprofit_margin,cogs_of_sales,expense_of_sales,profit_to_gr,saleexp_to_gr,adminexp_of_gr,finaexp_of_gr,impai_ttm,gc_of_gr,op_of_gr,ebit_of_gr,roe,roe_waa,roe_dt,roa,npta,roic,roe_yearly,roa2_yearly,debt_to_assets,assets_to_eqt,dp_assets_to_eqt,ca_to_assets,nca_to_assets,tbassets_to_totalassets,int_to_talcap,eqt_to_talcapital,currentdebt_to_debt,longdeb_to_debt,ocf_to_shortdebt,debt_to_eqt,eqt_to_debt,eqt_to_interestdebt,tangibleasset_to_debt,tangasset_to_intdebt,tangibleasset_to_netdebt,ocf_to_debt,turn_days,roa_yearly,roa_dp,fixed_assets,profit_to_op,q_saleexp_to_gr,q_gc_to_gr,q_roe,q_dt_roe,q_npta,q_ocf_to_sales,basic_eps_yoy,dt_eps_yoy,cfps_yoy,op_yoy,ebt_yoy,netprofit_yoy,dt_netprofit_yoy,ocf_yoy,roe_yoy,bps_yoy,assets_yoy,eqt_yoy,tr_yoy,or_yoy,q_sales_yoy,q_op_qoq,equity_yoy
000025.SZ,20260428,20260331,0.0772,0.0772,0.4187,0.4187,0.9996,0.215,2.1179,5027880.02,28249000.52,63647366.11,1.197,1.1159,0.8381,2.6854,0.3127,2.9616,0.0681,42791866.82,46342665.44,,18895167.7224,-27094832.2776,500081100.49,40551449.81,82951811.21,-159200551.86,1818724206.85,100428519.29,-224934321.91,2113599132.54,1005602668.27,0.0772,4.3148,0.2658,2.3329,0.2816,0.1075,0.0438,-0.0629,19.1296,35.2631,64.7369,9.229,19.1296,0.9707,7.8166,0.4416,,76.2917,24.0799,25.6756,1.8053,1.81,1.5325,1.7473,1.3018,1.6696,7.2212,6.9892,23.494,1.3071,1.4388,22.9921,77.0079,68.5217,3.9247,87.9978,81.7589,18.2411,0.2248,0.3071,2.9826,22.4217,2.9166,21.9251,,0.1838,72.4201,5.2072,1.2547,1108400678.34,25.244,0.9707,76.2917,1.8053,1.5325,1.3018,63.4877,-2.7708,-2.7708,31.1945,7.7459,10.2467,-2.7789,-9.1,31.2048,-7.9438,1.8218,0.1537,1.8217,-45.0553,-45.0553,-45.0553,86.3192,5.6106
000025.SZ,20260422,20251231,0.3314,0.3314,3.3907,3.3907,0.9996,0.215,2.0407,4461917.37,138403760.4,249566751.86,1.0105,0.8997,0.7002,27.1739,2.0032,22.0502,0.5574,155388152.47,179054254.61,255417438.05,339679416.0045,230679416.0045,516923138.05,40089754.23,97025703.71,-52203453.14,1783064479.93,5628949.75,-239426945.42,2093145550.25,972325787.73,0.3314,4.2376,0.7603,2.2557,-0.5171,0.4154,0.788,0.5351,9.6811,17.0749,82.9251,5.6131,9.6811,1.072,4.2344,0.3067,-0.0058,89.3687,11.7795,12.2505,8.0408,8.06,7.7897,6.8281,5.396,6.898,8.0408,6.8281,24.6792,1.3277,1.4759,20.5322,79.4678,67.2814,4.6354,87.2679,82.3357,17.6643,0.6086,0.3277,2.7929,18.8264,2.7262,18.3772,,0.5011,41.0329,5.396,5.4481,1120889347.69,11.9774,1.6799,94.266,1.0603,1.1973,0.8643,53.1794,4.5426,4.5426,-16.0261,6.5506,7.2096,4.564,9.44,-16.0227,-1.1466,5.776,2.1469,5.7769,-44.0787,-44.0787,-46.0495,-48.3834,5.7769
000025.SZ,20251028,20250930,0.2867,0.2867,2.707,2.707,0.9996,0.1722,2.0388,6951631.79,116648273.84,204553909.95,1.2256,0.9534,0.565,37.1326,1.4535,17.2794,0.4449,138488271.93,156401777.86,,109378302.67,40877663.78,492442831.99,34314801.04,150951933.11,-30834405.19,1757478279.41,127109836.18,-88835755.23,2124162948.04,953060015.59,0.2867,4.1929,0.3967,2.211,-0.4277,0.3628,0.2537,0.0948,10.1631,17.5301,82.4699,5.0402,10.1631,0.9185,3.8322,0.2896,,88.1317,12.7557,13.4035,6.9944,6.98,6.601,5.9634,4.5217,5.7243,9.3259,7.9512,25.5651,1.3435,1.4842,26.0494,73.9506,66.2969,7.1064,85.0866,83.1388,16.8612,0.3035,0.3435,2.6669,11.9732,2.5933,11.6426,,0.2523,46.6602,6.0289,4.7127,1141460681.17,13.1377,1.4437,86.4697,2.2145,2.2474,1.3749,5.6175,14.3598,14.3598,314.0919,6.3684,10.1589,14.3552,17.35,314.2132,7.4743,4.6603,2.1762,4.6612,-43.5579,-43.5579,-40.7825,-28.6199,6.4024
000025.SZ,20250822,20250630,0.1949,0.1949,2.0375,2.0375,0.9996,0.1722,1.947,7540027.81,76473401.54,141608003.5,1.2936,1.1981,0.859,12.2759,0.9775,12.8425,0.3302,99439663.55,109062711.58,146252596.94,89092931.2963,121992931.2963,469007248.12,35168285.2,285016632.29,7048886.78,1712659799.63,200156539.32,-62203134.66,2221267430.96,913473539.31,0.1949,4.1011,0.3591,2.1191,-0.2132,0.253,0.2067,0.283,9.2945,16.1235,83.8765,4.1658,9.2945,0.7459,3.1594,0.2605,,88.6778,11.8016,12.4179,4.8081,4.77,4.3766,4.1002,3.0689,3.8481,9.6162,8.2004,28.9565,1.4076,1.5223,32.3583,67.6417,62.8397,12.8313,79.5848,86.3858,13.6142,0.2271,0.4076,2.24,6.2024,2.1701,6.009,242.9688,0.1962,38.1846,6.1378,3.1585,1149950090.31,12.1833,0.5176,90.0966,2.8216,2.5729,1.8911,12.2721,9.6175,9.6175,44.2748,5.584,7.8947,9.5887,8.54,44.2615,3.3531,2.3688,5.0486,2.3689,-44.414,-44.414,-33.0937,56.9553,6.0333
000025.SZ,20250822,20250630,0.1949,0.1949,2.0375,2.0375,0.9996,0.1722,1.947,7540027.81,76473401.54,141608003.5,1.2936,1.1981,0.859,12.2759,0.9775,12.8425,0.3302,99439663.55,109062711.58,146252596.94,150209647.0763,183109647.0763,469007248.12,35168285.2,285016632.29,7048886.78,1712659799.63,200156539.32,134931823.4,2221267430.96,913473539.31,0.1949,4.1011,0.3591,2.1191,-0.2132,0.253,0.3485,0.4248,9.2945,16.1235,83.8765,4.1658,9.2945,0.7459,3.1594,0.2605,,88.6778,11.8016,12.4179,4.8081,4.77,4.3766,4.1002,3.0689,3.8481,9.6162,8.2004,28.9565,1.4076,1.5223,32.3583,67.6417,62.8397,12.8313,79.5848,86.3858,13.6142,0.2271,0.4076,2.24,6.2024,2.1701,6.009,242.9688,0.1962,38.1846,6.1378,3.1585,1149950090.31,12.1833,0.5176,90.0966,2.8216,2.5729,1.8911,12.2721,9.6175,9.6175,44.2748,5.584,7.8947,9.5887,8.54,44.2615,3.3531,2.3688,5.0486,2.3689,-44.414,-44.414,-33.0937,56.9553,6.0333
000025.SZ,20250425,20250331,0.0794,0.0794,0.7621,0.7621,0.9996,0.1722,1.9315,3152678.38,31075381.77,66140604.41,1.266,1.0781,0.8592,4.0488,0.4086,4.7166,0.1271,44993664.86,42244510.49,,19132494.682,-57967505.318,419308541.01,41612707.06,186240282.35,-13906521.86,1701527554.49,145575455.4,-72325704.0,2115466132.44,906794002.11,0.0794,4.0856,0.2026,2.1036,-0.3609,0.098,0.0444,-0.1345,9.589,20.1342,79.8658,5.6633,9.589,1.1281,4.2421,0.293,,86.3033,12.2795,12.8599,1.9626,1.96,1.7818,1.6339,1.2184,1.5265,7.8504,6.5356,25.119,1.3355,1.4825,26.8918,73.1082,66.0432,8.8037,83.2494,84.5633,15.4367,0.1596,0.3355,2.7213,9.4561,2.6292,9.1362,,0.135,61.7215,4.8736,1.3239,1162810113.05,12.5811,1.1281,86.3033,1.9626,1.7818,1.2184,26.5868,-2.934,-2.934,477.9851,-6.5544,-4.791,-2.8924,-4.4,478.0524,-9.6173,1.9819,-0.6966,1.9821,-56.6805,-56.6805,-56.6805,86.2885,7.4404
000025.SZ,20250328,20241231,0.317,0.317,6.0634,6.0634,0.9996,0.1722,1.8521,10158983.4,126470887.4,236913904.31,1.5689,1.3505,1.0257,35.7549,2.855,34.9339,1.0458,146084661.38,169401515.36,234079106.54,604946354.8258,579946354.8258,454481820.34,36933146.44,205318299.38,-172653060.31,1669516606.96,331843044.83,-83274913.09,2103044271.11,872565941.96,0.317,4.0062,0.9054,2.0242,0.3272,0.393,1.4034,1.3454,5.3194,9.0644,90.9356,3.1853,5.3194,0.8506,2.0902,0.2444,,94.4108,6.1823,6.4813,8.2041,8.21,7.594,6.7784,5.5631,7.0137,8.2041,6.7784,26.8547,1.3671,1.5006,35.2714,64.7286,64.3493,9.7629,82.1136,83.7133,16.2867,0.6692,0.3671,2.4785,8.4108,2.3962,8.1314,,0.5602,33.2322,5.5631,5.467,1173867957.54,6.2475,1.2871,94.1623,1.6666,1.5802,1.085,63.8849,15.5669,15.5669,749.0323,6.6896,6.3605,15.5382,39.92,748.967,7.3102,7.6675,7.9293,7.6675,41.5294,41.5294,-12.7529,-48.1513,7.6675
000025.SZ,20241024,20240930,0.2507,0.2507,4.7961,4.7961,0.9996,0.1484,1.8096,8678663.89,99405584.52,183282628.51,1.7554,1.5991,1.3694,11.3899,2.1601,27.3422,0.8413,114193381.72,143359024.78,,59077650.2424,106875506.2424,427332506.07,52806630.3,201403397.55,-19668009.77,1602617591.13,429592322.93,349856546.46,2030450112.6,844020319.57,0.2507,3.9406,0.0958,1.958,-0.035,0.3326,0.1371,0.2479,5.3854,8.8654,91.1346,2.8891,5.3854,0.7353,1.9351,0.2187,,94.4764,6.7685,6.9343,6.5455,6.49,6.02,5.8342,4.531,5.6774,8.7273,7.7789,27.1467,1.3726,1.4881,39.762,60.238,63.8343,9.9192,83.6576,83.4384,16.5616,0.0726,0.3726,2.4923,8.434,2.3515,7.9573,,0.0606,42.8596,6.0413,4.3986,1062028682.16,6.7314,0.9328,93.1407,1.8671,1.7203,1.2721,-13.5469,46.6082,46.6082,156.9899,45.9045,44.0336,46.6449,56.15,156.9946,35.305,5.9045,4.4403,5.9057,69.3756,69.3756,-5.5056,-24.0695,8.381
000025.SZ,20240821,20240630,0.1778,0.1778,3.6655,3.6655,0.9996,0.1484,1.7368,6207693.38,70454786.31,128097758.09,1.6926,1.5333,1.4344,10.6379,1.6674,20.543,0.6453,80763849.28,102258024.2,130923911.01,217068883.7273,260068883.7273,374441028.82,53246703.21,268322095.3,39716873.01,1586792686.14,400718369.11,376246328.42,2065540949.44,812598550.85,0.1778,3.8677,0.2489,1.8851,-0.01,0.2372,0.5036,0.6033,5.0322,8.1073,91.8927,2.497,5.0322,0.6744,1.5893,0.2333,,94.8884,6.2131,6.4719,4.6872,4.66,4.3077,4.1763,3.2472,4.0232,9.3744,8.3526,27.916,1.3873,1.4971,39.2781,60.7219,63.6441,12.9904,80.7152,83.1273,16.8727,0.1855,0.3873,2.3954,6.2134,2.2798,5.9138,39.9526,0.1542,33.6919,6.4944,3.1309,1082141383.89,6.2767,0.7646,94.7991,2.5052,2.2955,1.7214,15.8708,73.6328,73.6328,1145.7983,71.452,72.3114,73.6804,87.13,1147.7455,60.1903,3.9453,3.7181,3.9466,124.1689,124.1689,125.1263,27.4146,8.4213
000025.SZ,20240425,20240331,0.0818,0.0818,1.7592,1.7592,0.9996,0.1484,1.6717,2741770.74,32505801.08,63996204.4,1.5386,1.3726,1.3205,4.1737,0.8369,9.7219,0.3111,38028122.98,45353317.83,,8948383.1797,88948383.1797,311706337.32,53788142.85,337386246.38,76278381.47,1556293867.23,313776760.0,323539337.26,2105241920.09,784546450.9,0.0818,3.8026,-0.0536,1.82,0.1293,0.1052,0.0208,0.2063,4.8507,8.4392,91.5608,2.4186,4.8507,0.5767,1.5512,0.2906,-0.2219,94.9852,5.6925,5.9808,2.1737,2.17,2.0046,1.8608,1.5092,1.8678,8.6948,7.4432,28.4482,1.3976,1.5031,36.2788,63.7212,62.9891,16.026,77.8605,82.8842,17.1158,-0.0397,0.3976,2.332,4.8584,2.2142,4.6128,20.4028,-0.0329,39.3956,6.0368,1.4462,1088021758.96,5.7243,0.5767,94.9852,2.1737,2.0046,1.5092,-3.0465,39.5904,39.5904,46.7726,39.0921,38.8386,39.4613,59.43,46.7673,30.2521,2.1957,2.7824,2.1976,123.1406,123.1406,123.1406,-22.2872,7.0703
