ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000028.SZ,20260430,20260430,20260331,1,1,1,,,17195099250.3,,,,,,,,,,,,,153266121.8,17348365372.1,18626877356.76,797322261.09,421484768.59,,,,,,438014462.06,20283698848.5,-2935333476.4,,2327084.68,767164.19,660709.06,,3754957.93,26970163.32,,,,,26970163.32,-23215205.39,749054989.35,,18103821.3,767158810.65,,152311155.11,50600494.35,13313975.45,231852652.73,434764302.19,332394508.46,-566.2,-2626154739.53,7297008417.55,4670853678.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000028.SZ,20260430,20260430,20260331,1,1,1,,,17195099250.3,,,,,,,,,,,,,153266121.8,17348365372.1,18626877356.76,797322261.09,421484768.59,,,,,,438014462.06,20283698848.5,-2935333476.4,,2327084.68,767164.19,660709.06,,3754957.93,26970163.32,,,,,26970163.32,-23215205.39,749054989.35,,18103821.3,767158810.65,-2573154261.6481,152311155.11,50600494.35,13313975.45,231852652.73,434764302.19,332394508.46,-566.2,-2626154739.53,7297008417.55,4670853678.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000028.SZ,20260402,20260402,20251231,1,1,4,1128348677.76,194497657.99,78140337898.35,3681379.09,,,,,,,,,,,,690056086.9,78834075364.34,70018086293.73,3223726221.65,1739622028.72,,,,,,2214051894.97,77195486439.07,1638588925.27,61800.83,21418327.56,99180621.55,,1815131.0,122475880.94,217347683.01,480000.0,7415683.18,157335.53,,225400701.72,-102924820.78,1672489123.02,,82391696.58,1761780819.6,2217176706.1434,1531322545.46,477097339.49,90808325.7,1115587136.01,3124007020.96,-1362226201.36,-74016.45,173363886.68,7123644530.87,7297008417.55,6900000.0,6900000.0,,290177026.92,1197864066.99,63316723.92,168172386.31,,,-7956341.59,1550354.65,-3128755.42,-291250467.53,-60019381.15,-20635610.4,-721590981.71,-1484400432.78,1308619104.31,,1638588925.27,,,,173363886.68,,,88647612.06,,,7297008417.55,7123644530.87,,,1
000028.SZ,20251031,20251031,20250930,1,1,3,,,55095736377.3,3635067.14,,,,,,,,,,,,541664883.96,55641036328.4,50834224228.62,2414309062.07,1257341788.57,,,,,,1598237669.55,56104112748.81,-463076420.41,,3912324.06,98930230.73,1256021.6,,104098576.39,173166529.73,480000.0,7415683.18,114345.33,,181176558.24,-77077981.85,1496109982.71,,63280877.43,1566290860.14,,1186666726.73,381174391.92,,1312302642.93,2880143761.58,-1313852901.44,-73715.79,-1854081019.49,7123644530.87,5269563511.38,6900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000028.SZ,20251031,20251031,20250930,1,1,3,,,55095736377.3,3635067.14,,,,,,,,,,,,541664883.96,55641036328.4,50834224228.62,2414309062.07,1257341788.57,,,,,,1598237669.55,56104112748.81,-463076420.41,,3912324.06,98930230.73,1256021.6,,104098576.39,173166529.73,480000.0,7415683.18,114345.33,,181176558.24,-77077981.85,1496109982.71,,63280877.43,1566290860.14,-2283136773.1732,1186666726.73,381174391.92,39623253.96,1312302642.93,2880143761.58,-1313852901.44,-73715.79,-1854081019.49,7123644530.87,5269563511.38,6900000.0,6900000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000028.SZ,20250830,20250830,20250630,1,1,2,712593802.45,91098772.3,36305841030.95,3574848.22,,,,,,,,,,,,432329310.11,36741745189.28,33253061022.81,1722958625.3,858556250.0,,,,,,892102600.89,36726678499.0,15066690.28,,3912324.06,46021170.13,797830.82,,50731325.01,114399722.07,400000.0,,,,114799722.07,-64068397.06,1019035644.36,,58433568.97,1077469213.33,,858727794.62,317389250.32,18307308.84,564191865.61,1740308910.55,-662839697.22,-74564.57,-711915968.57,7123644530.87,6411728562.3,,,,93738902.35,91398240.73,31743440.14,99503790.44,,,-4116939.6,1230693.2,,-180244712.09,-29861240.48,-7098328.96,-671057153.44,-3374451275.03,2665316045.23,,15066690.28,,,,-711915968.57,,,,616292440.25,,6411728562.3,7123644530.87,,,0
000028.SZ,20250830,20250830,20250630,1,1,2,712593802.45,91098772.3,36305841030.95,3574848.22,,,,,,,,,,,,432329310.11,36741745189.28,33253061022.81,1722958625.3,858556250.0,,,,,,892102600.89,36726678499.0,15066690.28,,3912324.06,46021170.13,797830.82,,50731325.01,114399722.07,400000.0,,,,114799722.07,-64068397.06,1019035644.36,,58433568.97,1077469213.33,-1087628445.7829,858727794.62,317389250.32,18307308.84,564191865.61,1740308910.55,-662839697.22,-74564.57,-711915968.57,7123644530.87,6411728562.3,,,,93738902.35,91398240.73,31743440.14,99503790.44,,,-4116939.6,1230693.2,,-180244712.09,-29861240.48,-7098328.96,-671057153.44,-3374451275.03,2665316045.23,,15066690.28,,,,-711915968.57,,,,616292440.25,,6411728562.3,7123644530.87,,,1
000028.SZ,20250425,20250425,20250331,1,1,1,,,15787668453.64,447835.04,,,,,,,,,,,,436687408.25,16224803696.93,16306738764.83,937887158.61,396466631.28,,,,,,400981140.05,18042073694.77,-1817269997.84,,3912324.06,274170.13,175990.4,,4362484.59,64305655.73,,,,,64305655.73,-59943171.14,637467206.84,,23717178.29,661184385.13,-3624483002.6237,274275700.35,48258090.01,1133521.23,246589548.15,569123338.51,92061046.62,873.42,-1785151248.94,7123644530.87,5338493281.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000028.SZ,20250425,20250425,20250331,1,1,1,,,15787668453.64,447835.04,,,,,,,,,,,,436687408.25,16224803696.93,16306738764.83,937887158.61,396466631.28,,,,,,400981140.05,18042073694.77,-1817269997.84,,3912324.06,274170.13,175990.4,,4362484.59,64305655.73,,,,,64305655.73,-59943171.14,637467206.84,,23717178.29,661184385.13,,274275700.35,48258090.01,1133521.23,246589548.15,569123338.51,92061046.62,873.42,-1785151248.94,7123644530.87,5338493281.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000028.SZ,20250408,20250408,20241231,1,1,4,237003526.49,258301906.01,79383613590.36,7735047.12,,,,,,,,,,,,1017351924.13,80408700561.61,69771420769.44,3488147660.18,1779197158.42,,,,,,2098466676.54,77137232264.58,3271468297.03,8034149.27,20614176.96,187595964.62,1197954.34,,217442245.19,282695594.62,14032260.0,71400000.0,,,368127854.62,-150685609.43,1560135333.4,,262104595.31,1824239928.71,1876706454.8439,1575149262.99,671211382.94,67445717.47,1409115430.8,3655476076.73,-1831236148.02,-1196465.06,1288350074.52,5835294456.35,7123644530.87,2000000.0,2000000.0,,994531638.52,1478078694.0,67270966.46,198395234.03,,,-11871648.1,1916115.87,20675083.9,-379677806.48,-23679443.18,-31548737.84,559597921.71,-965326601.2,463053069.7,,3271468297.03,,,,1288350074.52,,,99325818.13,,,7123644530.87,5835294456.35,,,1
000028.SZ,20241029,20241029,20240930,1,1,3,,,56070519821.74,7333548.3,,,,,,,,,,,,548142791.98,56625996162.02,49894816260.95,2674232305.27,1354888198.4,,,,,,1420967289.31,55344904053.93,1281092108.09,8034149.27,20614176.96,187595964.62,744371.41,,216988662.26,203338759.36,13482260.0,71400000.0,,,288221019.36,-71232357.1,986511176.5,,422241981.18,1410753157.68,,1158578369.7,592161511.07,42672810.66,1646236678.21,3396976558.98,-1986223401.3,-1200190.66,-777563840.97,5835294456.35,5057730615.38,2000000.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000028.SZ,20241029,20241029,20240930,1,1,3,,,56070519821.74,7333548.3,,,,,,,,,,,,548142791.98,56625996162.02,49894816260.95,2674232305.27,1354888198.4,,,,,,1420967289.31,55344904053.93,1281092108.09,8034149.27,20614176.96,187595964.62,744371.41,,216988662.26,203338759.36,13482260.0,71400000.0,,,288221019.36,-71232357.1,986511176.5,,422241981.18,1410753157.68,-3507322427.6478,1158578369.7,592161511.07,42672810.66,1646236678.21,3396976558.98,-1986223401.3,-1200190.66,-777563840.97,5835294456.35,5057730615.38,2000000.0,2000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000028.SZ,20240829,20240829,20240630,1,1,2,770054628.11,131085697.1,37138131730.83,4394851.24,,,,,,,,,,,,349499524.04,37492026106.11,32848602917.1,1869263752.25,948439053.91,,,,,,896342874.07,36562648597.33,929377508.78,4884814.32,16060380.38,25409794.35,238528.87,,46593517.92,139171544.19,5429360.0,71400000.0,,,216000904.19,-169407386.27,777490495.31,,485490847.47,1264981342.78,,899425920.93,506017372.55,22477357.66,906326346.67,2311769640.15,-1046788297.37,-1224255.9,-288042430.76,5835294456.35,5547252025.59,2000000.0,2000000.0,,37101805.55,91058865.45,34247093.69,81480370.72,,,-4032827.99,118912.39,-3149334.95,-215396248.05,-15565610.13,-6430315.06,-400847107.65,-3651680554.77,3316133743.13,,929377508.78,,,,-288042430.76,,,,659305151.04,,5547252025.59,5835294456.35,,,0
