ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
000007.SZ,20260429,20260429,20260331,1,1,1,-0.0063,-0.0063,123755254.21,123755254.21,,,,,,,,,,,,,,,,208725.48,,,126882345.87,112021001.09,,,538637.33,5780108.55,7585070.78,912020.41,,,,,,,,,,,,-2918366.18,51904.05,101050.55,,-2967512.68,169355.26,-3136867.94,-2170683.41,-966184.53,,-3136867.94,-2170683.41,-966184.53,-2215071.25,,,,,,817514.79,180814.36,,,,,,,,,,,,,,,-3136867.94,1
000007.SZ,20260429,20260429,20251231,1,1,4,0.0056,0.0056,395737287.76,395737287.76,,,,,,,,,,,,,,,,148480.89,,,391830060.13,346774845.72,,,1515314.95,16811796.17,22482815.81,1557217.99,-2175082.09,,,,,,,,,,,4381713.23,809833.98,2279996.98,,2911550.23,2283291.66,628258.57,1927223.06,-1298964.49,81256.78,709515.35,2008479.84,-1298964.49,5577064.46,15731926.89,,,,,2013819.5,682157.32,,,,,,,,,,,,,,,628258.57,1
000007.SZ,20251031,20251031,20250930,1,1,3,0.0099,0.0099,299846720.85,299846720.85,,,,,,,,,,,,,,,,113878.98,,,297082085.74,265912372.4,,,1000044.98,11916934.69,16800990.56,1182650.0,,,,,,,,,,,,2807956.99,895063.51,138692.15,,3564328.35,1100279.73,2464048.62,3417961.92,-953913.3,,2464048.62,3417961.92,-953913.3,,,,,,,1658365.11,485380.81,,,,,,,,,,,,,,,2464048.62,0
000007.SZ,20251031,20251031,20250930,1,1,3,0.0099,0.0099,299846720.85,299846720.85,,,,,,,,,,,,,,,,113878.98,,,297082085.74,265912372.4,,,1000044.98,11916934.69,16800990.56,1182650.0,,,,,,,,,,,,2807956.99,895063.51,138692.15,,3564328.35,1100279.73,2464048.62,3417961.92,-953913.3,,2464048.62,3417961.92,-953913.3,3966458.02,,,,,,1658365.11,485380.81,,,,,,,,,,,,,,,2464048.62,1
000007.SZ,20250830,20250830,20250630,1,1,2,0.0098,0.0098,193380855.42,193380855.42,,,,,,,,,,,,,,,,80135.16,,,190669816.88,172238470.38,,,632158.11,6425523.69,10931486.18,472270.98,,,,,,,,,,,,2750816.69,877403.3,828.96,,3627391.03,792438.92,2834952.11,3388288.42,-553336.31,,2834952.11,3388288.42,-553336.31,3201482.43,8619543.04,,,,,876301.24,308474.75,,,,,,,,,,,,,,,2834952.11,1
000007.SZ,20250430,20250430,20250331,1,1,1,0.0051,0.0051,95400658.4,95400658.4,,,,,,,,,,,,,,,,41850.0,,,94289119.18,84372095.56,,,310416.64,3507910.8,5764592.32,395375.82,,,,,,,,,,,,1131900.88,778149.98,259.15,,1909791.71,309268.37,1600523.34,1772378.55,-171855.21,,1600523.34,1772378.55,-171855.21,1510873.51,,,,,,532340.38,41443.44,,,,,,,,,,,,,,,1600523.34,1
000007.SZ,20250425,20250425,20241231,1,1,4,0.16,0.16,307276011.84,307276011.84,,,,,,,,,,,,,,,,184143.15,,,266926858.91,261729200.49,,,1414772.16,11502971.67,21933694.98,-1222516.3,,,,,,,,,,,,40706635.88,26245286.24,8785169.89,,58166752.23,1710523.21,56456229.02,56421651.57,34577.45,-2926997.23,53529231.79,53494654.34,34577.45,39143934.02,49524426.06,,,,,960368.72,2457875.07,,,,,,,,,,,,,,,56456229.02,1
000007.SZ,20241031,20241031,20240930,1,1,3,0.0092,0.0092,154225694.46,154225694.46,,,,,,,,,,,,,,,,146401.41,,,148972082.24,124964955.22,,,1049408.01,7674034.71,16107847.87,-940396.78,,,,,,,,,,,,5485766.97,253216.01,1745121.26,,3993861.72,2354426.4,1639435.32,3176090.93,-1536655.61,,1639435.32,3176090.93,-1536655.61,4314215.44,,,,,,1420366.24,2142552.94,,,,,,,,,,,,,,,1639435.32,1
000007.SZ,20240831,20240831,20240630,1,1,2,0.0089,0.0089,78530287.39,78530287.39,,,,,,,,,,,,,,,,96274.41,,,75226763.64,60182363.71,,,561054.08,4475981.46,11474051.02,-1430105.3,,,,,,,,,,,,3444199.1,246015.89,6136.84,,3684078.15,1692420.21,1991657.94,3096026.42,-1104368.48,,1991657.94,3096026.42,-1104368.48,1874418.45,6757274.33,,,,,628542.92,1717719.78,,,,,,,,,,,,,,,1991657.94,1
000007.SZ,20240429,20240429,20240331,1,1,1,0.0018,0.0018,43283050.18,43283050.18,,,,,,,,,,,,,,,,59037.01,,,42452331.74,33402800.93,,,272740.32,2350277.44,6422345.57,-29010.45,,,,,,,,,,,,895426.56,2521.05,6107.5,,891840.11,526991.9,364848.21,640801.15,-275952.94,,364848.21,640801.15,-275952.94,807379.1,,,,,,217569.63,126926.06,,,,,,,,,,,,,,,364848.21,1
000007.SZ,20240429,20240429,20231231,1,1,4,0.1038,0.1038,216387969.48,216387969.48,,,,,,,,,,,,,,,327723.06,12833686.06,,,184029401.59,169758197.08,,,1183189.52,9344740.84,19874151.92,-979294.81,,,,,,,,,,,,46092034.91,99321.09,6789784.26,,39401571.74,2904878.85,36496692.89,35969277.16,527415.73,-680000.0,35816692.89,35289277.16,527415.73,31523598.34,41443764.83,,,,,1125934.28,2611001.59,,,,,,,,,,,,,,,36496692.89,1
000007.SZ,20231031,20231031,20230930,1,1,3,0.0313,0.0313,153301309.11,153301309.11,,,,,,,,,,,,,,,327723.06,12779854.11,,,148405026.4,125908272.72,,,819756.1,7246946.1,15482835.06,-946747.08,,,,,,,,,,,,18278481.27,35274.45,8294741.76,,10019013.96,2006530.05,8012483.91,10847119.51,-2834635.6,,8012483.91,10847119.51,-2834635.6,4033691.65,,,,,,707267.89,1921510.44,,,,,,,,,,,,,,,8012483.91,1
000007.SZ,20230830,20230830,20230630,1,1,2,0.035,0.035,103851971.66,103851971.66,,,,,,,,,,,,,,,327723.06,12735825.65,,,100690589.87,85283555.84,,,733126.69,4913770.2,10890681.76,-1063363.87,,,,,,,,,,,,16371323.3,13485.21,5493818.57,,10890989.94,1012778.4,9878211.54,12136746.88,-2258535.34,,9878211.54,12136746.88,-2258535.34,2166627.86,7137004.8,,,,,480712.53,1259179.4,,,,,,,,,,,,,,,9878211.54,1
000007.SZ,20230429,20230429,20230331,1,1,1,-0.0007,-0.0007,49531240.17,49531240.17,,,,,,,,,,,,,,,327723.06,76327.83,,,47615508.38,38680746.7,,,274812.45,2608042.56,6445975.52,-228374.44,,,,,,,,,,,,2342693.65,42601.88,2732229.21,,-346933.68,291301.97,-638235.65,-232199.04,-406036.61,,-638235.65,-232199.04,-406036.61,1710268.32,,,,,,370169.31,621423.56,,,,,,,,,,,,,,,-638235.65,1
