ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
000055.SZ,20260428,20260428,20260331,1,1,1,1073874227.0,4357948.33,4262839064.51,85368328.0,,1040136320.34,54121011.03,93618257.75,785868313.87,,53149646.4,,,669816375.67,,,,,,,,,300785989.39,5005217387.85,,,32977739.15,5554187099.4,,,,,,,,,,81383138.25,,,6596394.45,269951537.35,,166711299.89,7069067819.63,,,,4845273.84,,,,,,,,,,,,,12074285207.48,1270000000.0,990882448.02,,,,,511270322.99,1703780379.65,1757235.29,,,35132560.98,28635931.25,,,,,,,,,,,378250150.88,73602536.68,4189851717.34,,,,1312957.03,939258505.6,25715819.2,,2246509416.6,,,,,,,,,,,,,,,,,6436361133.94,,,,,48349103.57,5589574969.97,5637924073.54,12074285207.48,,163135402.13,,,,,,,,,,,1867357808.92,347989721.56,879486571.62,2215050702.64,123860459.45,933395954.19,767608.57,118550430.04,,,,0
000055.SZ,20260408,20260408,20251231,1,1,4,1073874227.0,4357948.33,4234637792.91,85368328.0,,1401292102.72,410.06,121778063.0,885516557.23,120173307.7,20407968.16,,,685058418.56,,,,,,,,,296646964.92,5530424893.78,,,32988644.63,5548371426.5,,,,940980113.9,1214530.34,,,,,82258834.99,,,6562494.97,266869033.36,,145743957.24,7044975173.97,,,,1459950.0,,,,,,,,,,,,,12575400067.75,1290000000.0,1202846497.03,,,,,429110637.53,2040691220.16,3517539.83,,,67812846.09,40439297.75,,,125372728.24,,,,,,,,379089194.66,60918938.51,4699954777.41,,,,1455390.21,941080689.22,26304277.69,,2267819903.99,,,,,,,,,,,,,,,,,6967774681.4,,,,,48340255.61,5559285130.74,5607625386.35,12575400067.75,,161046834.5,,,,,,,,,,,1998091151.43,350155877.61,1007294620.23,2469801857.69,120173307.7,940980113.9,1214530.34,125372728.24,,,,0
000055.SZ,20251029,20251029,20250930,1,1,3,1073874227.0,4357948.33,4767388620.1,83974716.22,,977918292.65,134070978.92,77678898.62,985167962.02,,25138111.01,,,752277363.65,,,,,,,,,327211331.41,5709653082.03,,,56638191.0,5817380213.58,,,,,,,,,,83483483.05,,,6820750.03,237346621.36,,261053371.95,7417713834.72,,,,,,,,,,,,,,,,,13127366916.75,1305000000.0,1273700370.46,,,,,492600860.27,1887611279.84,3912860.04,,,35455067.14,58557835.88,,,,,,,,,,,371713946.68,79046483.74,4624314160.98,,,,2932524.47,1021552929.37,26892736.18,,2365267039.38,,87112.14,,,,,,,,,,,,,,,6989581200.36,,,,,48328192.15,6089457524.24,6137785716.39,13127366916.75,,159862012.59,,,,,,,,,,,2274119600.09,299989878.58,1062846860.64,2380212140.11,153535922.05,928232921.55,4561640.41,121638466.21,,,,0
000055.SZ,20250823,20250823,20250630,1,1,2,1073874227.0,4357948.33,4768787887.16,83974716.22,,1111019576.8,,76607851.56,963449533.0,159021678.1,30675952.37,,,745574640.16,,,,,,,,,335210547.69,5703388208.31,,,56655809.72,5825827116.96,,,,932515821.46,4883219.33,,,,,84772216.52,,,7266036.25,224341239.43,,257954632.36,7414493470.06,,,,77600.0,,,,,,,,,,,,,13117881678.37,1325000000.0,1210526332.23,,,,,603861371.35,1873559610.98,3669703.07,,,35101505.56,43963840.71,,,120776692.65,,,,,,,,370920660.14,73433099.23,4592901683.73,,,,1733574.95,1022644068.29,27481194.67,,2385396859.52,,,,,,,,,,,,,,,,,6978298543.25,,,,,48324320.96,6091258814.16,6139583135.12,13117881678.37,,160264035.45,,,,,,,,,,,2281362840.37,257088867.81,1040057384.56,2477420982.33,159021678.1,932515821.46,4883219.33,120776692.65,,,,0
000055.SZ,20250422,20250422,20250331,1,1,1,1073874227.0,4357948.33,4838218527.25,83974716.22,,1055325162.05,,118777550.17,918071290.08,,33917264.24,,,702358155.73,,,,,,,,,317924779.28,5642779965.51,,,56673389.83,5827759620.96,,,,,,,,,,126518264.89,,,7549158.47,212375869.65,,217577261.67,7411122408.34,,,,,,,,,,,,,,,,,13053902373.85,1097000000.0,1572695886.4,,,,,609266500.83,1811221178.16,3163911.98,,,33836439.81,51707246.32,,,,,,,,,,,170685766.8,54952384.87,4689272869.1,,,,684902.03,1028579435.49,20474398.78,,2156211287.34,,,,,,,,,,,,,,,,,6845484156.44,,,,,48318855.19,6160099362.22,6208418217.41,13053902373.85,,159673943.42,,,,,,,,,,,2332863125.67,259007999.76,1036848840.25,2420487678.99,162908841.1,932465225.5,7973212.28,122735554.17,,,,0
000055.SZ,20250422,20250422,20241231,1,1,4,1073874227.0,4357948.33,4805192000.28,83974716.22,,1491777341.84,,73887694.24,1123506196.98,168322524.8,23355036.11,,,705666408.74,,,,,,,,,307777143.14,6146558825.91,,,56690973.97,5835036098.2,,,,939548074.59,7265104.44,,1346269.8,,,124052394.79,,,4041025.7,205986926.71,,212658669.89,7408828399.3,,,,,,,,,,,,,,,,,13555387225.21,1137000000.0,1663696422.48,,,,,681188127.97,2146594890.57,1513398.39,,,76243647.97,48847117.19,,,120918002.02,,,,,,,,131374661.05,50835559.67,5191326493.57,,,,1286391.72,1030341141.92,10669612.13,,2189949753.25,,1520625.0,,,,,,,,,,,,,,,7381276246.82,,,,,48307072.04,6125803906.35,6174110978.39,13555387225.21,,158405014.52,,,,,,,,,,,2247698479.96,268594041.26,1197393891.22,2827783018.54,168322524.8,940894344.39,7265104.44,120918002.02,,,,0
000055.SZ,20241029,20241029,20240930,1,1,3,1073874227.0,3209802.44,4836161192.99,79324940.43,,1451158865.61,,52405699.86,1072877496.0,,57663537.6,,,735243864.1,,,,,,,,,305440475.49,6345306229.6,,,54704352.68,5682076625.55,,,,,,,,,,135117176.74,,,4151799.9,193308758.38,,118079711.66,7206422761.92,,,,,,,,,,,,,,,,,13551728991.52,890000000.0,2274710231.99,,,,,834009006.82,1875107004.09,3141197.35,,,32699846.73,50612417.97,,,,,,,,,,,80505855.89,60634508.55,5521033713.68,,,,4134966.61,1018480334.47,10832502.48,,1937419839.49,,118758.24,,,,,,,,,,,,,,,7458453553.17,,,,,48290723.74,6044984714.61,6093275438.35,13551728991.52,,52414551.75,,,,,,,,,,,2517625542.46,189979945.8,1125283195.86,2709116010.91,149241379.25,741955453.35,247564781.87,119514940.25,,,,0
000055.SZ,20240828,20240828,20240630,1,1,2,1073874227.0,11397609.25,4803245119.91,79324940.43,,1685006677.59,,35745717.64,1022698982.69,151311534.99,40683545.08,,,752777729.07,,,,,,,,,281266692.03,6590021957.02,,,54722057.88,5684258283.56,,,,723454635.28,242897579.6,,,,,136750123.83,,,5074172.96,189628993.91,,99449614.04,7166594000.91,,,,,,,,,,,,,,,,,13756615957.93,880000000.0,2428741196.99,,,,,930323177.19,1871295313.2,1799054.73,,,33499836.34,50598844.92,0.0,6962732.02,110240797.47,,,,,,,,44012088.95,47206729.29,5742690744.4,,,,4325637.41,1019250955.77,10987372.47,,1926686553.54,,628367.0,,,,,,,,,,,,,,,7669377297.94,,,,,67681999.55,6019556660.44,6087238659.99,13756615957.93,,51714763.85,,,,,,,,,,,2615862223.46,217382606.3,1058444700.33,2801618490.39,151311534.99,723454635.28,242897579.6,117203529.49,,,,0
000055.SZ,20240427,20240427,20240331,1,1,1,1073874227.0,11459588.4,4823827936.68,79324940.43,,1344437140.16,,45654470.87,797112793.23,,41260130.78,,,785343032.16,,329660966.95,,,,,,,274989732.03,6372490758.43,,,54747169.92,5678766608.57,,,,,,,,,,138299557.55,,,6034907.25,187666980.71,,93483291.25,7039317537.42,,,,,,,,,,,,,,,,,13411808295.85,910000000.0,2355477340.18,,,,,881321775.41,1671270869.78,1398057.03,,,32482818.81,46397348.49,,,,,,,,,,,13256508.4,43998100.46,5343581344.23,,,,4303899.02,1019767632.78,8821215.14,,1954351630.25,,825726.8,,,,,,,,,,,,,,,7297932974.48,,,,,75233574.81,6038641746.56,6113875321.37,13411808295.85,,50155054.05,,,,,,,,,,,2600934731.89,182817758.24,842767264.1,2552592645.19,148671382.43,731094058.92,118247663.99,114335040.63,,,,0
000055.SZ,20240402,20240402,20231231,1,1,4,1073874227.0,11459588.4,4772359940.45,79324940.43,,1425151116.24,,47372881.27,911486914.19,145113323.33,33976569.36,,,755624486.51,,327120273.54,,,,,,,248401322.8,6389829854.85,,,54757017.4,5756809168.26,,,,620828178.38,109414347.33,,,,,140073209.88,,,6749314.04,182858549.07,,86799770.9,6986522002.01,,,,173737.06,,,,,,,,,,,,,13376351856.86,660000000.0,2208055039.21,,,,,868886946.79,1972293782.27,1432885.03,,,74063112.26,42375068.55,,,117581764.15,,,,,,,,64135136.46,53524655.05,5600512599.24,,48400000.0,0.0,4842411.47,1012146459.12,8978678.72,,1741043419.35,,,,,,,,,,,,,,,,,7341556018.59,,,,,74655271.2,5960140567.07,6034795838.27,13376351856.86,,23121870.79,,,,,,,,,,,2488429802.41,198164209.47,958859795.46,2841180729.06,145113323.33,620828178.38,109414347.33,117581764.15,48400000.0,,,0
