ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
000035.SZ,20260429,20260429,20260331,1,1,1,0.05,0.05,1162062941.09,1162062941.09,,,,,,,,,,,,,,,,62621.0,,,1002717970.18,736907742.23,,,12471543.75,8222366.52,93859498.49,133596015.65,-1177332.35,,,,,,,,,,,155413989.26,2380879.13,1638224.53,,156156643.86,35089777.01,121066866.85,110716961.45,10349905.4,-95528086.72,25538780.13,15195773.17,10343006.96,306028359.99,,,,,13112763.49,112664684.12,7184427.06,,,,,,,,,,,,,,,121066866.85,1
000035.SZ,20260429,20260429,20251231,1,1,4,0.12,0.12,5283464987.58,5283464987.58,,,,,,,,,,,,,,,-13862519.34,-29217960.02,-3333628.24,,4921944055.28,3742379673.59,,,55064391.51,41708184.41,517131277.12,525907920.06,-78008440.31,,,,,,,,,,,409003137.02,3258220.64,5797249.89,,406464107.77,111008570.34,295455537.43,283949932.62,11505604.81,-21391232.55,274064304.88,226682764.73,47381540.15,1055796746.2,1941956094.74,,,,66502388.78,465167136.4,36536010.28,,,,,,,,,,,,,,,295455537.43,1
000035.SZ,20251031,20251031,20250930,1,1,3,0.13,0.13,3942265178.09,3942265178.09,,,,,,,,,,,,,,,-3928256.19,-2824115.91,,,3571244568.71,2695916127.74,,,39501620.36,29624153.16,362953564.36,379341380.48,2597181.91,,,,,,,,,,,424750620.51,4071109.47,722228.27,,428099501.71,101498886.23,326600615.48,313347692.85,13252922.63,-40475093.75,286125521.73,264214050.88,21911470.85,808094925.23,,,,,73129087.22,333393415.75,22088447.71,,,,,,,,,,,,,,,326600615.48,1
000035.SZ,20250822,20250822,20250630,1,1,2,0.09,0.09,2576771813.52,2576771813.52,,,,,,,,,,,,,,,-3928256.19,3471030.36,,,2324585563.35,1780998938.61,,,25278720.17,22066981.44,238816784.69,214550799.85,-497074.73,,,,,,,,,,,280602275.75,2724082.52,1525898.59,,281800459.68,66766003.02,215034456.66,211544500.77,3489955.89,-57175406.19,157859050.47,181586200.52,-23727150.05,496172036.11,1017117914.21,,,,48502048.38,224834688.27,18549233.36,,,,,,,,,,,,,,,215034456.66,1
000035.SZ,20250429,20250429,20250331,1,1,1,0.04,0.04,1206020654.12,1206020654.12,,,,,,,,,,,,,,,,6039736.54,,,1084020388.4,790641762.14,,,12198669.46,12261530.22,106942678.82,138615253.23,-1369440.29,,,,,,,,,,,149190439.34,3134572.88,1157006.39,,151168005.83,36652357.22,114515648.61,105597228.92,8918419.69,21222078.29,135737726.9,152074486.33,-16336759.43,283119506.83,,,,,22330046.63,119023834.0,6903992.89,,,,,,,,,,,,,,,114515648.61,1
000035.SZ,20250429,20250429,20241231,1,1,4,0.12,0.12,5667336235.45,5667336235.45,,,,,,,,,,,,,,,6572940.26,420541.97,229389.79,,5311567296.96,4004723646.56,,,51879957.59,47211145.92,499401352.65,479205423.91,-25929762.12,,,,,,,,,,,488567874.97,673503.32,28969126.21,,460272252.08,149863362.1,310408889.98,279979308.66,30429581.32,-118818348.79,191590541.19,170930428.39,20660112.8,986774299.72,1779821870.26,,,,94947053.08,491745352.72,30788860.21,,,,,,,,,,,,,,,310408889.98,1
000035.SZ,20241031,20241031,20240930,1,1,3,0.1522,0.1522,4269514199.62,4269514199.62,,,,,,,,,,,,,,,,-4120301.04,,,3743344961.41,2860313072.97,,,37317652.4,31896751.47,331530293.82,375691329.81,-932048.39,,,,,,,,,,,570256188.83,31707139.97,23900182.94,,578063145.86,194786689.89,383276455.97,363457641.67,19818814.3,-35263168.4,348013287.57,348232286.76,-218999.19,951208913.46,,,,,78001562.2,345682783.7,30747723.28,,,,,,,,,,,,,,,383276455.97,1
000035.SZ,20240814,20240814,20240630,1,1,2,0.15,0.15,2648838297.03,2648838297.03,,,,,,,,,,,,,,,,-4264384.89,,,2295318893.57,1738987723.2,,,24242242.97,18606775.9,231458494.57,213353353.85,-863148.59,,,,,,,,,,,377342980.14,26680653.81,793978.28,,403229655.67,29576948.48,373652707.19,360070015.53,13582691.66,-158237934.16,215414773.03,218510325.73,-3095552.7,596130870.52,1008453598.36,,,,50651706.51,215894544.57,21839014.34,,,,,,,,,,,,,,,373652707.19,0
000035.SZ,20240430,20240430,20240331,1,1,1,0.08,0.08,1251525141.72,1251525141.72,,,,,,,,,,,,,,,,3222.05,,,1060489865.67,792688258.91,,,11341246.45,8510724.97,109105925.62,118418273.28,-1296638.75,,,,,,,,,,,207913825.29,21498006.88,474982.63,,228936849.54,18710768.18,210226081.36,201632023.67,8594057.69,-120923850.17,89302231.19,93909624.78,-4607393.59,327743761.69,,,,,19828345.27,115710873.97,10601638.27,,,,,,,,,,,,,,,210226081.36,1
000035.SZ,20240430,20240430,20240331,1,1,1,0.08,0.08,1251525141.72,1251525141.72,,,,,,,,,,,,,,,,3222.05,,,1060489865.67,792688258.91,,,11341246.45,8510724.97,109105925.62,118418273.28,-1296638.75,,,,,,,,,,,207913825.29,21498006.88,474982.63,,228936849.54,18710768.18,210226081.36,201632023.67,8594057.69,-120923850.17,89302231.19,93909624.78,-4607393.59,,,,,,,,,,,,,,,,,,,,,,,,0
