ts_code,ann_date,f_ann_date,end_date,comp_type,report_type,end_type,net_profit,finan_exp,c_fr_sale_sg,recp_tax_rends,n_depos_incr_fi,n_incr_loans_cb,n_inc_borr_oth_fi,prem_fr_orig_contr,n_incr_insured_dep,n_reinsur_prem,n_incr_disp_tfa,ifc_cash_incr,n_incr_disp_faas,n_incr_loans_oth_bank,n_cap_incr_repur,c_fr_oth_operate_a,c_inf_fr_operate_a,c_paid_goods_s,c_paid_to_for_empl,c_paid_for_taxes,n_incr_clt_loan_adv,n_incr_dep_cbob,c_pay_claims_orig_inco,pay_handling_chrg,pay_comm_insur_plcy,oth_cash_pay_oper_act,st_cash_out_act,n_cashflow_act,oth_recp_ral_inv_act,c_disp_withdrwl_invest,c_recp_return_invest,n_recp_disp_fiolta,n_recp_disp_sobu,stot_inflows_inv_act,c_pay_acq_const_fiolta,c_paid_invest,n_disp_subs_oth_biz,oth_pay_ral_inv_act,n_incr_pledge_loan,stot_out_inv_act,n_cashflow_inv_act,c_recp_borrow,proc_issue_bonds,oth_cash_recp_ral_fnc_act,stot_cash_in_fnc_act,free_cashflow,c_prepay_amt_borr,c_pay_dist_dpcp_int_exp,incl_dvd_profit_paid_sc_ms,oth_cashpay_ral_fnc_act,stot_cashout_fnc_act,n_cash_flows_fnc_act,eff_fx_flu_cash,n_incr_cash_cash_equ,c_cash_equ_beg_period,c_cash_equ_end_period,c_recp_cap_contrib,incl_cash_rec_saims,uncon_invest_loss,prov_depr_assets,depr_fa_coga_dpba,amort_intang_assets,lt_amort_deferred_exp,decr_deferred_exp,incr_acc_exp,loss_disp_fiolta,loss_scr_fa,loss_fv_chg,invest_loss,decr_def_inc_tax_assets,incr_def_inc_tax_liab,decr_inventories,decr_oper_payable,incr_oper_payable,others,im_net_cashflow_oper_act,conv_debt_into_cap,conv_copbonds_due_within_1y,fa_fnc_leases,im_n_incr_cash_equ,net_dism_capital_add,net_cash_rece_sec,credit_impa_loss,use_right_asset_dep,oth_loss_asset,end_bal_cash,beg_bal_cash,end_bal_cash_equ,beg_bal_cash_equ,update_flag
000019.SZ,20260428,20260428,20260331,1,1,1,,,1413928954.45,60858.05,,,,,,,,,,,,70865042.09,1484854854.59,1009406290.85,112797194.89,13534349.38,,,,,,114392154.74,1250129989.86,234724864.73,,,2000000.0,46410.0,,2046410.0,31890380.92,,,6329.62,,31896710.54,-29850300.54,612699211.75,,1406285.43,614105497.18,,796385440.85,5774073.1,,3008397.5,805167911.45,-191062414.27,-118196.95,13693952.97,69926342.31,83620295.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000019.SZ,20260428,20260428,20260331,1,1,1,,,1413928954.45,60858.05,,,,,,,,,,,,70865042.09,1484854854.59,1009406290.85,112797194.89,13534349.38,,,,,,114392154.74,1250129989.86,234724864.73,,,2000000.0,46410.0,,2046410.0,31890380.92,,,6329.62,,31896710.54,-29850300.54,612699211.75,,1406285.43,614105497.18,39423331.5012,796385440.85,5774073.1,,3008397.5,805167911.45,-191062414.27,-118196.95,13693952.97,69926342.31,83620295.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000019.SZ,20260428,20260428,20251231,1,1,4,243257844.62,32943044.17,5761113889.62,2722965.17,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,479860256.07,6243697110.86,4147634955.92,344851787.18,151394252.46,0.0,0.0,0.0,0.0,0.0,499376011.4,5143257006.96,1100440103.9,0.0,440087.36,0.0,78314607.5,2384111.71,81138806.57,115194556.43,64105.0,0.0,0.0,0.0,115258661.43,-34119854.86,1675756479.4,,5249428.86,1681005908.26,355679107.29,2604050302.98,201054569.83,0.0,31120836.59,2836225709.4,-1155219801.14,-109448.44,-89009000.54,158935342.85,69926342.31,0.0,0.0,,121690077.25,109318531.43,30794544.71,8370268.7,,,-18960030.78,110858.95,,536315.86,-1467697.24,-3789055.78,157997592.42,1560904864.65,-1167756453.46,,1100440103.9,,,,-89009000.54,0.0,0.0,,27731173.16,,69926342.31,158935342.85,0.0,0.0,1
000019.SZ,20260428,20260428,20251231,1,1,4,243257844.62,32943044.17,5761113889.62,2722965.17,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,479860256.07,6243697110.86,4147634955.92,344851787.18,151394252.46,0.0,0.0,0.0,0.0,0.0,499376011.4,5143257006.96,1100440103.9,0.0,440087.36,0.0,78314607.5,2384111.71,81138806.57,115194556.43,64105.0,0.0,0.0,0.0,115258661.43,-34119854.86,1675756479.4,,5249428.86,1681005908.26,,2604050302.98,201054569.83,0.0,31120836.59,2836225709.4,-1155219801.14,-109448.44,-89009000.54,158935342.85,69926342.31,0.0,0.0,,121690077.25,109318531.43,30794544.71,8370268.7,,,-18960030.78,110858.95,,536315.86,-1467697.24,-3789055.78,157997592.42,1560904864.65,-1167756453.46,,1100440103.9,,,,-89009000.54,0.0,0.0,,27731173.16,,69926342.31,158935342.85,0.0,0.0,0
000019.SZ,20251028,20251028,20250930,1,1,3,,,4426705676.43,723108.64,,,,,,,,,,,,299318676.43,4726747461.5,2680921928.34,234933166.7,124009276.13,,,,,,421725911.85,3461590283.02,1265157178.48,7560.0,,,77673142.5,2384111.71,80064814.21,81063638.15,,,400.0,,81064038.15,-999223.94,1259977677.19,,,1259977677.19,836503502.3156,2295866744.38,194300885.52,,1966780.79,2492134410.69,-1232156733.5,-56578.4,31944642.64,158935342.85,190879985.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000019.SZ,20251028,20251028,20250930,1,1,3,,,4426705676.43,723108.64,,,,,,,,,,,,299318676.43,4726747461.5,2680921928.34,234933166.7,124009276.13,,,,,,421725911.85,3461590283.02,1265157178.48,7560.0,,,77673142.5,2384111.71,80064814.21,81063638.15,,,400.0,,81064038.15,-999223.94,1259977677.19,,,1259977677.19,,2295866744.38,194300885.52,,1966780.79,2492134410.69,-1232156733.5,-56578.4,31944642.64,158935342.85,190879985.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000019.SZ,20250820,20250820,20250630,1,1,2,175978271.28,19134024.49,2515459297.68,2001200.56,,,,,,,,,,,,173603846.0,2691064344.24,1443488394.47,171799129.01,107439103.32,,,,,,231059150.63,1953785777.43,737278566.81,,,,77797545.09,1718711.71,79516256.8,31884430.85,,,,,31884430.85,47631825.95,1077015327.03,,,1077015327.03,563181062.6281,1653752375.98,188876399.22,,5323196.47,1847951971.67,-770936644.64,-59820.3,13913927.82,158935342.85,172849270.67,,,,41283621.1,56850288.74,15713200.6,4257789.16,,,-19952880.86,15786.79,,4462721.92,-1882996.58,-184876.57,526841580.03,162945770.18,-269427740.89,,737278566.81,,,,13913927.82,,,,21244007.42,,172849270.67,158935342.85,,,1
000019.SZ,20250429,20250429,20250331,1,1,1,,,1439995653.28,175653.79,,,,,,,,,,,,377492458.56,1817663765.63,868129985.73,118154124.17,12559641.86,,,,,,417667033.57,1416510785.33,401152980.3,,,,77794822.5,,77794822.5,13768372.51,,,,,13768372.51,64026449.99,877647141.67,,,877647141.67,,1180485394.4,8615458.34,,2857411.47,1191958264.21,-314311122.54,-12188.3,150856119.45,158935342.85,309791462.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
000019.SZ,20250429,20250429,20250331,1,1,1,,,1439995653.28,175653.79,,,,,,,,,,,,377492458.56,1817663765.63,868129985.73,118154124.17,12559641.86,,,,,,417667033.57,1416510785.33,401152980.3,,,,77794822.5,,77794822.5,13768372.51,,,,,13768372.51,64026449.99,877647141.67,,,877647141.67,278105501.9382,1180485394.4,8615458.34,,2857411.47,1191958264.21,-314311122.54,-12188.3,150856119.45,158935342.85,309791462.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
000019.SZ,20250429,20250429,20241231,1,1,4,324143607.16,76139497.95,5740779445.44,2979376.42,,,,,,,,,,,,265985560.0,6009744381.86,5403858690.85,340520836.42,146884244.82,,,,,,133798229.15,6025062001.24,-15317619.38,0.0,400281319.81,6078274.34,17413889.42,18619360.2,442392843.77,95475079.77,345009000.0,3151787.39,7559395.68,,451195262.84,-8802419.07,3395816991.96,,,3395816991.96,-113569095.0978,3140732951.95,258068059.21,,50811877.4,3449612888.56,-53795896.6,105610.8,-77810324.25,236745667.1,158935342.85,0.0,0.0,,103280186.26,132209130.59,32504390.74,7307115.11,,,-5294363.8,50779.47,,-14559424.88,-419064.89,-413717.4,761631627.99,1167426765.77,-2605796038.83,,-15317619.38,,,,-77810324.25,,,,5228150.97,,158935342.85,236745667.1,,,1
