ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
000027.SZ,20260430,20260430,20260331,1,1,1,4757389916.0,5210414559.78,17421809580.83,3548727281.3,267932627.86,10870032844.04,3742859498.8,18018254.31,15338465700.41,578883506.86,1459730634.56,4321114.71,0.0,1273153030.86,,65668902.15,0.0,0.0,0.0,0.0,0.0,0.0,1345034055.09,44353665252.39,,,7456743882.85,1016742625.62,,,1535100155.07,,,,,0.0,0.0,22432202500.14,280092548.19,2951090488.79,149192582.21,846011770.73,0.0,4749442902.76,130531080751.97,,,,0.0,,,,,,,,,,,,,174884746004.36,42241859023.71,3426965592.53,0.0,0.0,0.0,0.0,315814675.4,3212679071.91,0.0,0.0,0.0,2263187028.43,748139105.45,0.0,17283271.38,10297902304.98,,,,0.0,0.0,0.0,0.0,8787885701.81,6775346106.7,36841339673.07,15310000000.0,,,187298474.99,1625820368.85,67218671.74,722225334.79,69656279737.3,,0.0,,,,,,,,,,,,,,,106497619410.37,0.0,0.0,,,15432475987.77,52954650606.22,68387126593.99,174884746004.36,97032932.4,2248565319.69,19499811320.76,0.0,,,,,0.0,0.0,,,207179571.73,996136814.48,15356483954.72,3528493747.31,583204621.57,72217960987.85,10140535864.25,10315185576.36,8792538372.8,0.0,0.0,0
000027.SZ,20260417,20260417,20251231,1,1,4,4757389916.0,5211844404.12,16250367372.43,3548727281.3,236758887.44,8620976110.4,2349520390.05,17308699.04,14205531982.75,525216564.51,1534793951.15,4321103.18,,1119348592.12,,64602727.54,,,,,,,1036344138.34,40852653170.33,,,7315351752.26,1029388517.44,,,1542821410.31,71200320881.2,10091584955.25,54722032.95,9581181.77,,,22574272177.02,252254119.15,2951090488.79,157012943.72,826145485.14,,5139720847.57,131093601106.87,,,,,,,,,,,,,,,,,171946254277.2,41025207142.01,3439685683.71,,,,,286824167.03,2824670614.72,,,,2329704826.59,600153891.9,,13220993.01,12383684364.59,,,,,,,,10296042073.31,4876941222.32,38085321044.49,15310000000.0,8701496656.14,,187396228.85,1758035364.13,57706243.88,736401282.45,68507332848.34,,,,,,,,,,,,,,,,,106592653892.83,,,,,15024195666.35,50329404718.02,65353600384.37,171946254277.2,97032932.4,2824505535.97,17499811320.76,,,,,,,,,,116032221.66,1034393207.31,14222840681.79,3111494781.75,529537667.69,71209902062.97,10146306988.2,12396905357.6,8701496656.14,,,0
000027.SZ,20251031,20251031,20250930,1,1,3,4757389916.0,5208376552.95,16460340422.07,3548727281.3,233905405.44,8109138904.92,2640982726.59,23785084.46,15056871282.29,647793479.31,1676897079.22,18962732.18,0.0,1310691370.6,,68444319.15,0.0,0.0,0.0,0.0,0.0,0.0,1157907661.06,41258849239.45,,,7527674241.42,1072652211.36,,,1552950883.69,,,,,0.0,0.0,21731743372.56,226386971.03,2951090488.79,148862838.89,821373455.07,0.0,5525118724.6,129723563454.77,,,,0.0,,,,,,,,,,,,,170982412694.22,42793142669.42,2136378698.29,0.0,0.0,0.0,0.0,561185484.84,3185511120.45,171206887.51,0.0,0.0,1842151594.86,918073969.16,0.0,3138735.18,13812042290.27,,,,0.0,0.0,0.0,0.0,9733469558.37,4610597553.02,38272697713.25,12304059119.36,,,186327169.89,1711982917.45,130786963.01,677968292.69,67484953598.93,,0.0,,,,,,,,,,,,,,,105757651312.18,0.0,0.0,,,14985920214.99,50238841167.05,65224761382.04,170982412694.22,97032932.4,2530384608.15,17499716981.14,,,,,,0.0,0.0,,,151914031.56,1298941821.3,15080656366.75,3746696605.29,666756211.49,71415501564.33,9277716151.56,13815181025.45,8883475751.56,0.0,0.0,0
000027.SZ,20250828,20250828,20250630,1,1,2,4757389916.0,5210766352.64,16396912275.97,3548727281.3,227614212.55,9569672689.98,2362308040.6,24809219.21,17183295750.25,,1567837673.29,63876935.5,,1431954114.56,,68219496.8,,,,,,,787353089.73,40951816783.9,,,7402194261.02,995787967.76,,,1505715590.55,70417566773.06,8642177679.8,690793195.66,80780693.24,,,21460958211.25,310150208.37,3053835505.18,182276010.04,887512846.84,,5939842508.7,128772750096.32,,,,,,,,,,,,,,,,,169724566880.22,42424912245.01,2276915968.65,,,,,327643143.44,3429009837.77,171206887.51,,,2529983259.11,759594474.31,,122426801.43,,,,,,,,,6572574500.48,5573185653.96,34904773362.95,15327774667.87,8822298128.36,,187491244.87,1738179066.45,118985032.83,680142274.48,70092280430.6,,,,,,,,,,,,,,,,,104997053793.55,,,,,14763623773.33,49963889313.34,64727513086.67,169724566880.22,97032932.4,2322762293.74,17499716981.14,,,,,,,,,,149754543.76,1038617467.7,17208104969.46,3756652981.21,684519053.43,70498347466.3,9332970875.46,12226042170.02,8822298128.36,,,0
000027.SZ,20250828,20250828,20250630,1,1,2,4757389916.0,5210766352.64,16396912275.97,3548727281.3,227614212.55,9569672689.98,2362308040.6,24809219.21,17183295750.25,620642117.93,1567837673.29,63876935.5,,1431954114.56,,68219496.8,,,,,,,787353089.73,40951816783.9,,,7402194261.02,995787967.76,,,1505715590.55,70417566773.06,8642177679.8,690793195.66,80780693.24,,,21460958211.25,310150208.37,3053835505.18,182276010.04,887512846.84,,5939842508.7,128772750096.32,,,,,,,,,,,,,,,,,169724566880.22,42424912245.01,2276915968.65,,,,,327643143.44,3429009837.77,171206887.51,,,2529983259.11,759594474.31,,122426801.43,12103615368.59,,,,,,,,6572574500.48,5573185653.96,34904773362.95,15327774667.87,8822298128.36,,187491244.87,1738179066.45,118985032.83,680142274.48,70092280430.6,,,,,,,,,,,,,,,,,104997053793.55,,,,,14763623773.33,49963889313.34,64727513086.67,169724566880.22,97032932.4,2322762293.74,17499716981.14,,,,,,,,,,149754543.76,1038617467.7,17208104969.46,3756652981.21,684519053.43,70498347466.3,9332970875.46,12226042170.02,8822298128.36,,,1
000027.SZ,20250430,20250430,20250331,1,1,1,4757389916.0,5208848251.06,16561240231.8,3548727281.3,180564168.37,14608409293.25,1814961151.91,33957418.31,16247186592.72,,1259578573.32,5521086.93,,1035963892.48,,55326031.69,,,,,,,1294338543.97,45775520709.64,,,7307028678.24,1023274064.82,,,1194478574.92,,,,,,,21404018598.85,306801794.81,3053835505.18,184775055.28,911506154.45,,5521970021.31,126659353665.21,,,,,,,,,,,,,,,,,172434874374.85,43828725157.18,2706005068.96,,,,,463132977.44,4268523827.48,171206887.51,,,2070334452.66,835662264.13,,9717212.96,,,,,,,,,7444150849.73,6517682855.63,36519484427.1,15303129025.1,,,188095665.87,1780160150.66,96723829.49,681963719.98,71285927133.7,,,,,,,,,,,,,,,,,107805411560.8,,,,,14477825422.82,50151637391.23,64629462814.05,172434874374.85,97032932.4,2395150561.56,17499716981.14,,,,,,,,,,102549852.06,970118668.64,16281144011.03,4731656804.92,793875447.51,66660988826.67,11838029011.6,11072666574.92,8385893121.88,,,0
000027.SZ,20250418,20250418,20241231,1,1,4,4757389916.0,4732129763.65,15289576247.02,3548727281.3,166004571.13,7794501866.13,2305502760.57,24639439.78,14450260150.6,401646701.58,1322361273.43,5521118.65,,1207070348.18,,70174113.57,,,,,,,985898128.05,34233116190.9,,,7164519395.77,1025564678.49,,,1529045715.56,66293858707.57,11845490292.64,529072438.11,76166942.09,,,21359309416.1,315493519.06,3053835505.18,188132158.16,895549125.69,,5448587643.46,127137750797.56,,,,,,,,,,,,,,,,,161370866988.46,41981382253.6,3060296999.69,,,,,312410330.74,3317746214.53,171206887.51,,,2153623589.71,627660112.77,,11601578.26,11702211861.21,,,,,,,,10661679935.39,3390140464.82,36424852468.45,12305338978.09,8749472300.87,,188523370.39,1813650160.37,105125456.76,690714603.57,66741109669.2,,,,,,,,,,,,,,,,,103165962137.65,,,,,9789193665.93,48415711184.88,58204904850.81,161370866988.46,97032932.4,2422166424.64,17499716981.14,,,,,,,,,,115377674.65,1016274493.82,14474899590.38,3630156545.27,407167820.23,66370025649.66,12374562730.75,11713813439.47,8749472300.87,,,0
000027.SZ,20241031,20241031,20240930,1,1,3,4757389916.0,4659105777.62,14943802534.43,3548727281.3,124268774.93,9277975831.05,1400679209.14,19270952.6,14834413642.82,716651653.69,1665544753.42,31809112.68,0.0,1482897337.74,,88608234.92,,,,,,0.0,1568754753.64,40025995346.99,,,7326700655.35,1014729850.24,,,1135739331.74,,,,,0.0,0.0,20376260548.57,327229595.52,3120782612.95,157544059.45,1002672979.66,,5388005294.13,123540716899.6,,,,,,,,,,,,,,,,,163566712246.59,42481280276.74,3527683201.76,0.0,0.0,0.0,0.0,85128332.13,3832541123.03,0.0,0.0,0.0,2387902977.35,750353357.17,0.0,29964077.04,10756290757.28,,,,0.0,0.0,0.0,0.0,5940592125.11,6737832603.78,35343242963.17,15676096439.08,,,162245716.16,1788664287.23,64871401.56,608813091.62,70570124079.31,,0.0,,,,,,,,,,,,,,,105913367042.48,0.0,0.0,,,10026151317.71,47627193886.4,57653345204.11,163566712246.59,97032932.4,2094276960.6,17499622641.52,,,,,,0.0,0.0,,,54440015.99,1294954408.52,14853684595.42,3917669455.16,748460766.37,63198124189.34,13682545137.7,10786254834.32,8943308560.77,0.0,0.0,0
000027.SZ,20240823,20240823,20240630,1,1,2,4757389916.0,4659105777.62,14767297663.87,3548727281.3,126797977.42,9253291307.69,2171479235.11,30460982.89,14329566396.95,825956921.88,1237249767.89,1758333.18,,1837336006.18,,54687846.48,,,,,,,542123171.84,38530280218.83,,,7233732353.32,1027073992.61,,,985915874.34,61598486169.06,14695313824.76,374442645.52,10740507.35,,,20658388428.04,317943437.17,3130427120.16,165615252.22,935435057.62,,6230655929.11,123935002853.37,,,,,,,,,,,,,,,,,162465283072.2,43470883005.51,3414291114.22,,,,,204864937.07,3428149738.26,,,,2466196895.54,790313145.95,,128044352.81,,,,,,,,,4512452557.32,6398332232.21,32684221612.28,16906225777.77,8844876016.89,,183857124.3,1740786459.96,75631964.18,618932486.01,72694138357.41,,,,,,,,,,,,,,,,,105378359969.69,,,,,9769321511.15,47317601591.36,57086923102.51,162465283072.2,97032932.4,1958660333.63,17499622641.52,,,,,,,,,,48967622.64,1021455420.43,14360027379.84,3633014675.33,827715255.06,61609226676.41,15069756470.28,10448165571.28,8844876016.89,,,1
000027.SZ,20240823,20240823,20240630,1,1,2,4757389916.0,4659105777.62,14767297663.87,3548727281.3,126797977.42,9253291307.69,2171479235.11,30460982.89,14329566396.95,,1237249767.89,1758333.18,,1837336006.18,,54687846.48,,,,,,,542123171.84,38530280218.83,,,7233732353.32,1027073992.61,,,985915874.34,61598486169.06,14695313824.76,374442645.52,10740507.35,,,20658388428.04,317943437.17,3130427120.16,165615252.22,935435057.62,,6230655929.11,123935002853.37,,,,,,,,,,,,,,,,,162465283072.2,43470883005.51,3414291114.22,,,,,204864937.07,3428149738.26,,,,2466196895.54,790313145.95,,128044352.81,,,,,,,,,4512452557.32,6398332232.21,32684221612.28,16906225777.77,8844876016.89,,183857124.3,1740786459.96,75631964.18,618932486.01,72694138357.41,,,,,,,,,,,,,,,,,105378359969.69,,,,,9769321511.15,47317601591.36,57086923102.51,162465283072.2,97032932.4,1958660333.63,17499622641.52,,,,,,,,,,48967622.64,1021455420.43,14360027379.84,3633014675.33,827715255.06,61609226676.41,15069756470.28,10448165571.28,8844876016.89,,,0
