ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
000055.SZ,20260428,20260428,20260331,1,1,1,0.0263,0.0263,729005218.84,729005218.84,,,,,,,,,,,,,,,2965623.31,-566634.43,-10905.48,,702808046.18,592030060.36,,,9417540.92,12634448.45,39906392.93,23801522.39,8368679.76,,,,,,,,,,,32535331.9,212890.22,137826.92,,32610395.2,4399747.26,28210647.94,28201271.6,9376.34,2088039.25,30298687.19,30289839.23,8847.96,45588254.44,,,,,25323800.84,19007253.5,1943464.05,,,,,,,,,,,,,,,28210647.94,1
000055.SZ,20260428,20260428,20260331,1,1,1,0.0263,0.0263,729005218.84,729005218.84,,,,,,,,,,,,,,,2965623.31,-566634.43,-10905.48,,702808046.18,592030060.36,,,9417540.92,12634448.45,39906392.93,23801522.39,8368679.76,,,,,,,,,,,32535331.9,212890.22,137826.92,,32610395.2,4399747.26,28210647.94,28201271.6,9376.34,2088039.25,30298687.19,30289839.23,8847.96,,,,,,25323800.84,19007253.5,1943464.05,,,,,,,,,,,,,,,28210647.94,0
000055.SZ,20260408,20260408,20251231,1,1,4,-0.48,-0.48,3377303066.44,3377303066.44,,,,,,,,,,,,,,,-280735167.15,-25773481.21,-23702329.34,,3688818889.09,2921536952.53,,,36011342.42,57404021.17,179347723.55,78533485.32,-30626112.52,,,,,,,,,,,-610486898.93,582660.42,18360766.41,,-628265004.92,-112831775.11,-515433229.81,-515466884.24,33654.43,2641334.26,-512791895.55,-512825064.26,33168.71,-215092589.7,-163978021.24,,,,132814412.12,73451706.21,10685216.12,,,,,,,,,,,,,,,-515433229.81,1
000055.SZ,20251029,20251029,20250930,1,1,3,0.0148,0.0148,2559300222.38,2559300222.38,,,,,,,,,,,,,,,4648107.61,-1211403.82,-52782.97,,2556180164.91,2100436435.21,,,26092595.39,37802621.84,125999546.92,62075884.75,-36823617.09,,,,,,,,,,,14042195.67,313698.76,1284870.17,,13071024.26,-2840616.32,15911640.58,15890331.17,21309.41,1456808.77,17368449.35,17347329.24,21120.11,111813288.06,,,,,96564981.07,54885299.8,8612536.92,,,,,,,,,,,,,,,15911640.58,1
000055.SZ,20250823,20250823,20250630,1,1,2,0.0161,0.0161,1598286450.04,1598286450.04,,,,,,,,,,,,,,,2766545.64,-680394.74,-35164.25,,1590546379.62,1307537649.28,,,16691311.31,22633578.48,90172531.38,37580544.45,4589393.55,,,,,,,,,,,15206578.49,219391.05,576871.24,,14849098.3,-2457491.76,17306590.06,17289598.23,16991.83,1859278.02,19165868.08,19148619.16,17248.92,47634180.71,75483879.45,,,,61514176.71,36331469.54,5980063.68,,,,,,,,,,,,,,,17306590.06,0
000055.SZ,20250422,20250422,20250331,1,1,1,0.03,0.03,754337708.14,754337708.14,,,,,,,,,,,,,,,387691.74,-588930.37,-17584.14,,721245492.71,590776125.95,,,7890833.48,11156032.3,45638710.72,17052489.57,-14133780.55,,,,,,,,,,,36663006.36,59583.31,87538.46,,36635051.21,3596837.52,33038213.69,33026526.97,11686.72,1269025.33,34307239.02,34295455.87,11783.15,68507031.46,,,,,29185097.44,16928541.16,2890127.38,,,,,,,,,,,,,,,33038213.69,1
000055.SZ,20250422,20250422,20241231,1,1,4,0.13,0.13,4424224197.71,4424224197.71,,,,,,,,,,,,,,,-18394198.42,-4547362.6,-70043.43,,4260591012.66,3588142296.48,,,43364391.34,55140153.13,191667435.2,65297933.04,-35260579.49,,,,,,,,,,,159874694.8,1712412.29,2226292.5,,159360814.59,13192524.27,146168290.32,144813705.53,1354584.79,113857440.93,260025731.25,258674917.51,1350813.74,283874961.16,343004742.95,,,,171031371.73,60377020.35,19230549.61,,,,,,,,,,,,,,,146168290.32,1
000055.SZ,20241029,20241029,20240930,1,1,3,0.14,0.14,3206555034.28,3206555034.28,,,,,,,,,,,,,,,1424274.88,-2980103.28,-52664.72,,3050702294.63,2627832378.78,,,31221329.9,38688535.66,128017285.59,52844172.84,-15368316.44,,,,,,,,,,,170536289.61,1607445.57,1168855.8,,170974879.38,19925767.02,151049112.36,149711190.7,1337921.66,29288910.17,180338022.53,179003871.66,1334150.87,240135718.46,,,,,127188017.8,44218831.18,14437787.56,,,,,,,,,,,,,,,151049112.36,1
000055.SZ,20240828,20240828,20240630,1,1,2,0.11,0.11,2133845587.76,2133845587.76,,,,,,,,,,,,,,,558364.87,-2082121.2,-34959.52,,2009039439.5,1737599184.98,,,22159952.79,23558271.96,84841558.95,31489983.09,-15876085.85,,,,,,,,,,,134743239.22,178760.55,535703.48,,134386296.29,16519019.26,117867277.03,116795117.62,1072159.41,28588475.4,146455752.43,145388010.68,1067741.75,183634554.71,212357391.29,,,,85639602.88,29211652.87,11466633.99,,,,,,,,,,,,,,,117867277.03,1
000055.SZ,20240427,20240427,20240331,1,1,1,0.05,0.05,915576687.71,915576687.71,,,,,,,,,,,,,,,2493.02,-1251383.08,-9847.48,,861058124.91,739153847.28,,,8881543.45,12697855.53,42537577.77,16042109.65,-11757561.39,,,,,,,,,,,56107316.06,33948.86,101045.78,,56040219.14,3973590.4,52066628.74,51467996.23,598632.51,27012854.36,79079483.1,78501179.49,578303.61,85156934.04,,,,,40124508.24,15095776.03,6084537.57,,,,,,,,,,,,,,,52066628.74,1
