ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,basic_eps,diluted_eps,total_revenue,revenue,int_income,prem_earned,comm_income,n_commis_income,n_oth_income,n_oth_b_income,prem_income,out_prem,une_prem_reser,reins_income,n_sec_tb_income,n_sec_uw_income,n_asset_mg_income,oth_b_income,fv_value_chg_gain,invest_income,ass_invest_income,forex_gain,total_cogs,oper_cost,int_exp,comm_exp,biz_tax_surchg,sell_exp,admin_exp,fin_exp,assets_impair_loss,prem_refund,compens_payout,reser_insur_liab,div_payt,reins_exp,oper_exp,compens_payout_refu,insur_reser_refu,reins_cost_refund,other_bus_cost,operate_profit,non_oper_income,non_oper_exp,nca_disploss,total_profit,income_tax,n_income,n_income_attr_p,minority_gain,oth_compr_income,t_compr_income,compr_inc_attr_p,compr_inc_attr_m_s,ebit,ebitda,insurance_exp,undist_profit,distable_profit,rd_exp,fin_exp_int_exp,fin_exp_int_inc,transfer_surplus_rese,transfer_housing_imprest,transfer_oth,adj_lossgain,withdra_legal_surplus,withdra_legal_pubfund,withdra_biz_devfund,withdra_rese_fund,withdra_oth_ersu,workers_welfare,distr_profit_shrhder,prfshare_payable_dvd,comshare_payable_dvd,capit_comstock_div,continued_net_profit,update_flag
000060.SZ,20260430,20260430,20260331,1,1,1,0.11,0.11,19045590939.6,19013725475.25,6539130.75,,25326333.6,,,,,,,,,,,,135447989.72,41018599.43,28230115.31,,18635308585.94,17996660608.5,2424239.87,19702113.76,159730969.44,35963359.29,171081489.41,113124590.49,-60227377.92,,,,,,,,,,,607742577.3,2122265.6,346768.76,,609518074.14,105600216.32,503917857.82,503606745.23,311112.59,-4906439.91,499011417.91,491654417.0,7357000.91,604627956.56,,,,,78637039.2,99609408.11,14934738.72,,,,,,,,,,,,,,,503917857.82,1
000060.SZ,20260422,20260422,20251231,1,1,4,0.21,0.2,60543580352.45,60474648764.6,17822107.17,,51109480.68,,,,,,,,,,,,6065293.82,121049118.19,49577341.4,,59636445504.35,56538988207.67,4360470.8,39921304.37,447554445.78,162870265.91,796819485.0,642796310.3,-477330196.54,,,,,,,,,,,1140447977.29,5713224.18,25239768.59,,1120921432.88,300859078.25,820062354.63,801756079.53,18306275.1,-85574112.8,734488241.83,724169378.19,10318863.64,1964555520.89,3490757316.02,,,,501654785.99,543654228.01,50176568.95,,,,,,,,,,,,,,,820062354.63,1
000060.SZ,20251029,20251029,20250930,1,1,3,0.22,0.21,48505166039.79,48459291130.98,11461797.81,,34413111.0,,,,,,,,,,,,67715262.9,17366259.04,16194412.33,,47565764291.19,45819584980.55,2593474.87,25883289.05,316245690.04,107038684.08,517848908.17,442961627.15,-8902305.29,,,,,,,,,,,1103469558.38,2857742.74,2613222.39,,1103714078.73,212339710.18,891374368.55,840878476.59,50495891.96,-5715009.14,885659359.41,835858947.35,49800412.06,1470555964.4,,,,,328622752.6,415794975.44,47578230.87,,,,,,,,,,,,,,,891374368.55,1
000060.SZ,20250830,20250830,20250630,1,1,2,0.15,0.14,31113005632.55,31088792748.38,6851756.41,,17361127.76,,,,,,,,,,,,13393793.43,38134919.12,29941093.93,,30467395168.68,29309417499.98,1626697.61,12435243.8,206790525.04,67354168.35,324466957.09,287638248.84,-53315424.71,,,,,,,,,,,752845330.51,1422152.64,1289088.22,,752978394.93,142563610.45,610414784.48,558839618.29,51575166.19,5565902.0,615980686.48,564800260.29,51180426.19,988461845.36,1684625903.99,,,,208490331.33,265952102.51,29863471.06,,,,,,,,,,,,,,,610414784.48,1
000060.SZ,20250430,20250430,20250331,1,1,1,0.07,0.07,16083805285.51,16072114131.47,3463888.89,,8227265.15,,,,,,,,,,,,1846251.22,13516464.63,13389313.62,,15773125825.24,15248685688.75,959051.85,6089565.58,96658155.27,36122710.84,157961265.68,146721791.03,-3361047.49,,,,,,,,,,,366995499.08,576490.89,763577.0,,366808412.97,60520437.86,306287975.11,273025334.39,33262640.72,-11002698.01,295285277.1,262022636.38,33262640.72,,,,,,78116129.22,140922506.34,17962949.09,,,,,,,,,,,,,,,306287975.11,0
000060.SZ,20250430,20250430,20250331,1,1,1,0.07,0.07,16083805285.51,16072114131.47,3463888.89,,8227265.15,,,,,,,,,,,,1846251.22,13516464.63,13389313.62,,15773125825.24,15248685688.75,959051.85,6089565.58,96658155.27,36122710.84,157961265.68,146721791.03,-3361047.49,,,,,,,,,,,366995499.08,576490.89,763577.0,,366808412.97,60520437.86,306287975.11,273025334.39,33262640.72,-11002698.01,295285277.1,262022636.38,33262640.72,501255621.75,,,,,78116129.22,140922506.34,17962949.09,,,,,,,,,,,,,,,306287975.11,1
000060.SZ,20250415,20250415,20241231,1,1,4,0.29,0.27,59862362351.41,59812478789.84,11749244.1,,38134317.47,,,,,,,,,,,,47572429.94,138864704.35,48995836.51,,58585347432.81,56175323655.45,1372457.76,30842404.32,412853531.48,168616605.73,767183283.74,441162079.47,-45856193.81,,,,,,,,,,,1610007819.23,10492024.76,17947258.28,,1602552585.71,281748907.64,1320803678.07,1081867493.96,238936184.11,-42971641.11,1277832036.96,1039301695.85,238530341.11,1869828387.02,3383113292.84,,,,503010185.66,563296879.53,96157434.64,,,,,,,,,,,,,,,1320803678.07,1
000060.SZ,20241029,20241029,20240930,1,1,3,0.21,0.2,45722541115.04,45687727985.67,7402503.94,,27410625.43,,,,,,,,,,,,4830521.15,67140255.14,35410642.58,,44674797140.8,42995138141.4,814590.87,22496979.63,301978677.05,103487526.15,495691385.37,419215788.45,-3640929.0,,,,,,,,,,,1213569534.61,3360702.47,6188597.75,,1210741639.33,224710601.33,986031038.0,799497983.83,186533054.17,-63697143.83,922333894.17,735800840.0,186533054.17,1564005344.18,,,,,335829189.24,437862473.91,76139299.57,,,,,,,,,,,,,,,986031038.0,1
000060.SZ,20241029,20241029,20240930,1,1,3,0.21,0.2,45722541115.04,45687727985.67,7402503.94,,27410625.43,,,,,,,,,,,,4830521.15,67140255.14,35410642.58,,44674797140.8,42995138141.4,814590.87,22496979.63,301978677.05,103487526.15,495691385.37,419215788.45,-3640929.0,,,,,,,,,,,1213569534.61,3360702.47,6188597.75,,1210741639.33,224710601.33,986031038.0,799497983.83,186533054.17,-63697143.83,922333894.17,735800840.0,186533054.17,,,,,,335829189.24,437862473.91,76139299.57,,,,,,,,,,,,,,,986031038.0,0
000060.SZ,20240828,20240828,20240630,1,1,2,0.15,0.13,30640707931.31,30617809216.34,4607180.64,,18291534.33,,,,,,,,,,,,-66254017.33,49886772.68,21443700.12,,29863748305.14,28887955580.45,453692.85,15313623.96,192599992.88,65788048.64,322734694.26,200021766.67,-3342743.88,,,,,,,,,,,824211373.4,1576443.26,4382901.0,,821404915.66,134809784.5,686595131.16,541954240.74,144640890.42,-50942392.4,635652738.76,491011848.34,144640890.42,1041907534.21,1857676910.24,,,,173410714.36,279236407.43,53610626.51,,,,,,,,,,,,,,,686595131.16,1
