ts_code,ann_date,f_ann_date,end_date,report_type,comp_type,end_type,total_share,cap_rese,undistr_porfit,surplus_rese,special_rese,money_cap,trad_asset,notes_receiv,accounts_receiv,oth_receiv,prepayment,div_receiv,int_receiv,inventories,amor_exp,nca_within_1y,sett_rsrv,loanto_oth_bank_fi,premium_receiv,reinsur_receiv,reinsur_res_receiv,pur_resale_fa,oth_cur_assets,total_cur_assets,fa_avail_for_sale,htm_invest,lt_eqt_invest,invest_real_estate,time_deposits,oth_assets,lt_rec,fix_assets,cip,const_materials,fixed_assets_disp,produc_bio_assets,oil_and_gas_assets,intan_assets,r_and_d,goodwill,lt_amor_exp,defer_tax_assets,decr_in_disbur,oth_nca,total_nca,cash_reser_cb,depos_in_oth_bfi,prec_metals,deriv_assets,rr_reins_une_prem,rr_reins_outstd_cla,rr_reins_lins_liab,rr_reins_lthins_liab,refund_depos,ph_pledge_loans,refund_cap_depos,indep_acct_assets,client_depos,client_prov,transac_seat_fee,invest_as_receiv,total_assets,lt_borr,st_borr,cb_borr,depos_ib_deposits,loan_oth_bank,trading_fl,notes_payable,acct_payable,adv_receipts,sold_for_repur_fa,comm_payable,payroll_payable,taxes_payable,int_payable,div_payable,oth_payable,acc_exp,deferred_inc,st_bonds_payable,payable_to_reinsurer,rsrv_insur_cont,acting_trading_sec,acting_uw_sec,non_cur_liab_due_1y,oth_cur_liab,total_cur_liab,bond_payable,lt_payable,specific_payables,estimated_liab,defer_tax_liab,defer_inc_non_cur_liab,oth_ncl,total_ncl,depos_oth_bfi,deriv_liab,depos,agency_bus_liab,oth_liab,prem_receiv_adva,depos_received,ph_invest,reser_une_prem,reser_outstd_claims,reser_lins_liab,reser_lthins_liab,indept_acc_liab,pledge_borr,indem_payable,policy_div_payable,total_liab,treasury_share,ordin_risk_reser,forex_differ,invest_loss_unconf,minority_int,total_hldr_eqy_exc_min_int,total_hldr_eqy_inc_min_int,total_liab_hldr_eqy,lt_payroll_payable,oth_comp_income,oth_eqt_tools,oth_eqt_tools_p_shr,lending_funds,acc_receivable,st_fin_payable,payables,hfs_assets,hfs_sales,cost_fin_assets,fair_value_fin_assets,contract_assets,contract_liab,accounts_receiv_bill,accounts_pay,oth_rcv_total,fix_assets_total,cip_total,oth_pay_total,long_pay_total,debt_invest,oth_debt_invest,update_flag
000048.SZ,20260430,20260430,20260331,1,1,1,530282250.0,165558547.2,3083619404.34,265141125.0,,790272290.03,,,90963401.96,,62958430.76,,617022.1,1411420012.04,,,,,,,,,129333071.34,2534801230.27,,,,793937258.48,,,,5139086871.08,132727587.92,,,262530865.31,,38823744.35,,,85451993.96,823292510.68,,55404950.16,7601601463.46,,,,,,,,,,,,,,,,,10136402693.73,722240745.17,662942897.62,,,,,,485964679.07,506302.6,,,91267291.44,20262589.08,27720192.14,6136861.04,3468266048.55,,,,,,,,628520078.52,49539072.16,5473437002.38,,,,,18605113.75,8935770.43,4450000.0,846547593.1,,,,,,,,,,,,,,,,,6319984595.48,280503606.36,,,,60748371.17,3755669727.08,3816418098.25,10136402693.73,,-8348493.1,,,,,,,,,,,,32310990.16,90963401.96,485964679.07,49854024.14,5139086871.08,132727587.92,3502123101.73,,,,1
000048.SZ,20260430,20260430,20260331,1,1,1,530202750.0,165558547.2,3083619404.34,265141125.0,,790272290.03,,,90963401.96,,62958430.76,,617022.1,1411420012.04,,,,,,,,,129333071.34,2534801230.27,,,,793937258.48,,,,,,,,262530865.31,,38823744.35,,,85451993.96,823292510.68,,55404950.16,7601601463.46,,,,,,,,,,,,,,,,,10136402693.73,722240745.17,662942897.62,,,,,,485964679.07,506302.6,,,91267291.44,20262589.08,27720192.14,6136861.04,3468266048.55,,,,,,,,628520078.52,49539072.16,5473437002.38,,,,,18605113.75,8935770.43,4450000.0,846547593.1,,,,,,,,,,,,,,,,,6319984595.48,280503606.36,,,,60748371.17,3755669727.08,3816418098.25,10136402693.73,,-8348493.1,,,,,,,,,,,,32310990.16,90963401.96,485964679.07,49854024.14,5139086871.08,132727587.92,3502123101.73,,,,0
000048.SZ,20260410,20260410,20251231,1,1,4,530282250.0,166328902.2,3314619404.14,265141125.0,,496811375.81,0.0,0.0,47723047.42,19286499.02,33983829.09,0.0,1175670.89,1668963584.03,,,,,,,,,121955882.57,2389899888.83,,,0.0,798479806.34,,,,5194319341.62,126446071.21,,,300606712.44,,39524014.03,,,88131880.86,823292510.68,,53278953.49,7703291456.48,,,,,,,,,,,,,,,,,10093191345.31,478636718.54,564966960.51,,,,0.0,22265937.11,498901843.46,512112.6,,,90330085.03,21741873.18,28503333.57,6136861.04,3459449527.98,,,,,,,,563485358.55,49868726.35,5346993918.06,,,,,18605113.75,9174089.56,4450000.0,604822996.49,,,,,,,,,,,,,,,,,5951816914.55,186801334.36,,,,60952778.03,4080421652.73,4141374430.76,10093191345.31,,-9148694.25,,,,,,,,,,,,40831298.68,47723047.42,521167780.57,20462169.91,5194319341.62,126446071.21,3494089722.59,,,,0
000048.SZ,20251029,20251029,20250930,1,1,3,530282250.0,165788717.39,3459672349.81,265141125.0,,644684186.19,0.0,0.0,109495540.83,,22421682.76,,1175670.89,1742237645.98,,,,,,,,,141191783.5,2678365099.12,,,,803022354.2,,,,5301966401.02,132388234.65,,,296624425.42,,40297272.85,,,84340801.1,811877681.07,,57615887.6,7813161664.91,,,,,,,,,,,,,,,,,10491526764.03,602270838.22,532305119.87,,,,,9044802.49,552458851.27,506023.6,,,85504162.2,39196296.01,27340029.45,6136861.04,3457621626.06,,,,,,,,687618033.37,50159291.55,5475342149.14,,,,,19413290.28,10154732.69,4500000.0,736003068.93,,,,,,,,,,,,,,,,,6211345218.07,186801334.36,,,,55632429.03,4224549116.93,4280181545.96,10491526764.03,,-9533990.91,,,,,,,,,,,,27451052.23,109495540.83,561503653.76,18334259.86,5301966401.02,132388234.65,3491098516.55,,,,0
000048.SZ,20250823,20250823,20250630,1,1,2,530282250.0,162253008.02,3585115202.55,265141125.0,,693242442.8,0.0,0.0,101813865.0,15984611.52,25234626.04,0.0,1175670.89,1719810082.35,,,,,,,,,130908089.02,2688169387.62,,,,807564902.06,,,,5342228429.3,136848187.61,,,300517615.4,,41184156.85,,,86649086.94,811877681.07,,58110998.06,7869173244.31,,,,,,,,,,,,,,,,,10557342631.93,556484447.58,533457367.81,,,,,16450044.9,546669045.96,700991.33,,,77700954.69,36642953.11,27300790.2,6136861.04,3465023613.92,,,,,,,,687618033.37,49910388.22,5468601514.76,,,,,19413290.28,9630974.09,4500000.0,689053408.63,,,,,,,,,,,,,,,,,6157654923.39,188139884.36,,,,54529336.81,4345158371.73,4399687708.54,10557342631.93,,-9493329.48,,,,,,,,,,,,20990470.21,101813865.0,563119090.86,17160282.41,5342228429.3,136848187.61,3498461265.16,,,,0
000048.SZ,20250425,20250425,20250331,1,1,1,530282250.0,158717298.65,3652687300.5,265141125.0,,796628412.05,50000000.0,,92907715.05,,26542363.57,,2766672.26,1777342280.89,,,,,,,,,170975343.8,2934827115.32,,,,812107449.92,,,,5438514439.77,120602762.44,,,302643927.46,,42075959.76,,,89634648.73,813517981.87,,50018240.84,7958243340.81,,,,,,,,,,,,,,,,,10893070456.13,865545494.39,434857367.81,,,,,16747856.01,562282457.21,506023.6,,,99144639.35,38547638.31,27808328.09,6136861.04,3465856275.77,,,,,,,,687132263.38,50929207.54,5421197660.9,,,,,19667285.59,10126989.35,4550000.0,1001827539.76,,,,,,,,,,,,,,,,,6423025200.66,189372759.36,,,,62512881.18,4407532374.29,4470045255.47,10893070456.13,,-9922840.5,,,,,,,,,,,,31248742.79,92907715.05,579030313.22,20430999.96,5438514439.77,120602762.44,3499801464.9,,,,0
000048.SZ,20250331,20250331,20241231,1,1,4,530282250.0,155181589.28,3540655520.82,265141125.0,,874059988.78,50000000.0,1000000.0,51058942.54,16387244.88,18530914.42,0.0,2549694.47,1718786404.76,,,,,,,,,168643108.42,2901016298.27,,,0.0,816649997.78,,,,5523182289.66,113764115.97,,,309815208.98,,42922563.96,,,88060550.0,813500493.74,,48525927.97,8049013900.48,,,,,,,,,,,,,,,,,10950030198.75,888967774.66,445401874.81,,,,0.0,19342613.6,647824223.93,553489.15,,,102175530.84,42192305.75,27936780.89,6136861.04,3510437072.43,,,,,,,,687554901.97,50990849.39,5576361219.44,,,,,20211088.55,10643194.11,4550000.0,1021453568.53,,,,,,,,,,,,,,,,,6597814787.97,189372759.36,,,,60377247.09,4291838163.69,4352215410.78,10950030198.75,,-10049562.05,,,,,,,,,,,,35814715.64,52058942.54,667166837.53,18936939.35,5523182289.66,113764115.97,3544510714.36,,,,0
000048.SZ,20241031,20241031,20240930,1,1,3,530569250.0,153659208.45,3432151083.53,261619625.0,,906270959.02,8000000.0,3000000.0,123644558.18,,8116670.51,,1197464.55,1694823876.54,,,,,,,,,159803674.18,2927709770.34,,,13279435.23,821192545.64,,,,5611515625.67,125814751.44,,,320520703.43,,43837428.07,,,76723577.31,819944190.43,,53665967.99,8187221622.72,,,,,,,,,,,,,,,,,11114931393.06,1198089321.37,416149390.32,,,,,10000000.0,575211633.53,506023.6,,,88725406.38,105020100.51,27849630.42,6136861.04,3566175260.07,,,,,,,,683213214.24,52148962.62,5580007167.36,,,,,21398689.34,11159398.87,4550000.0,1339878243.2,,,,,,,,,,,,,,,,,6919885410.56,228707884.36,,,,54846941.85,4140199040.65,4195045982.5,11114931393.06,,-9092241.97,,,,,,,,,,,,48870684.63,126644558.18,585211633.53,24050031.91,5611515625.67,125814751.44,3600161751.53,,,,0
000048.SZ,20240827,20240827,20240630,1,1,2,530569250.0,142622977.2,3263072204.05,261619625.0,,593568280.65,4000000.0,3000000.0,100562742.11,21316364.96,18016591.61,0.0,1197464.55,2854737707.72,,,,,,,,,123829574.98,3720228726.58,,,13279435.23,825735093.5,,,,5044840848.48,153707559.29,,,328474910.0,,44767517.21,,,50770968.51,866809907.46,,52994056.31,7687647445.04,,,,,,,,,,,,,,,,,11407876171.62,1213461601.55,425023003.08,,,,,,578480380.02,528388.65,,,77203280.16,84233092.82,28066601.83,6136861.04,3796073068.07,,,,,,,,682236447.51,65649784.15,5941359858.87,,,,,33670455.58,10980954.33,4550000.0,1371173787.19,,,,,,,,,,,,,,,,,7312533646.06,137780227.37,,,,44760844.45,4050581681.11,4095342525.56,11407876171.62,,-9522147.77,,,,,,,,,,,,197728951.54,103562742.11,578480380.02,22513829.51,5044840848.48,153707559.29,3830276530.94,,,,0
000048.SZ,20240430,20240430,20240331,1,1,1,530569250.0,131586745.95,3081745323.6,261619625.0,,898645180.2,,4000000.0,87396309.2,,23650487.78,,1197464.55,2914382549.27,,,,,,,,,119195839.69,4076455812.46,,,13994004.87,11159852.8,,,,5948336945.53,185823740.02,,,332639701.33,,45692215.51,,,26223577.1,860967145.11,,49623896.3,7780413112.08,,,,,,,,,,,,,,,,,11856868924.54,1522072648.41,407839659.47,,,,,,556452589.51,,,,76000588.25,388028747.75,28359111.78,6136861.04,3780249429.32,,,,,,,,680850103.52,66990880.57,6204133342.05,,,,,38058709.79,11665840.55,4500000.0,1677444386.82,,,,,,,,,,,,,,,,,7881577728.87,78357700.0,,,,57408104.16,3917883091.51,3975291195.67,11856868924.54,,-9280153.04,,,,,,,,,,,,213225370.84,91396309.2,556452589.51,29185446.32,5948336945.53,185823740.02,3814745402.14,,,,0
000048.SZ,20240320,20240320,20231231,1,1,4,530569250.0,120550514.7,3027620174.17,261619625.0,,1106729723.96,,5000000.0,27669272.42,28819177.36,45294773.47,0.0,11736353.43,2872707801.35,,,,,,,,,135862442.11,4233819544.1,,,13994004.87,11446556.08,,,,6051793916.85,176166585.0,,,343786143.9,,46661505.82,,,26422896.73,858894522.51,,53191360.44,7894129519.92,,,,,,,,,,,,,,,,,12127949064.02,1472304928.58,384839659.47,,,,,,531016777.31,508073.6,,,83818872.84,460062733.91,28833866.85,6136861.04,3800954330.06,,,,,,,,674951874.27,93389703.56,6582129372.13,,,,,41192395.54,12455976.81,4550000.0,1638764523.96,,,,,,,,,,,,,,,,,8220893896.09,78357700.0,,,,54320429.66,3852734738.27,3907055167.93,12127949064.02,,-9267125.6,,,,,,,,,,,,517616619.22,32669272.42,531016777.31,40555530.79,6051793916.85,176166585.0,3835925057.95,,,,1
000048.SZ,20240320,20240320,20231231,1,1,4,530569250.0,120550514.7,3027620174.17,261619625.0,,1106729723.96,,5000000.0,27669272.42,28819177.36,45294773.47,0.0,11736353.43,2872707801.35,,,,,,,,,135862442.11,4233819544.1,,,13994004.87,11446556.08,,,,6051793916.85,176166585.0,,,343786143.9,,46661505.82,,,26422896.73,858894522.51,,53191360.44,7894129519.92,,,,,,,,,,,,,,,,,12127949064.02,1472304928.58,384839659.47,,,,,,531016777.31,508073.6,,,83818872.84,460062733.91,28833866.85,6136861.04,3800954330.06,,,,,,,,674951874.27,93389703.56,6582129372.13,,,,,41192395.54,12455976.81,4550000.0,1638764523.96,,,,,,,,,,,,,,,,,8220893896.09,78357700.0,,,,54320429.66,3852734738.27,3907055167.93,12127949064.02,,-9267125.6,,,,,,,,,,,,517616619.22,32669272.42,531016777.31,40555530.79,6051793916.85,176166585.0,3835925057.95,,,,0
000048.SZ,20231031,20231031,20230930,1,1,3,523239250.0,42165327.2,2539266172.85,261619625.0,,981332479.49,10040000.0,8000000.0,106256323.97,,40245904.14,,10841908.99,3528621360.64,,,,,,,,,258467578.53,4977981122.99,,,14710823.59,11819035.28,,,,6089267143.0,160561072.46,,,365589949.8,,47169839.46,,,25786630.8,924711907.74,,61144459.23,7984800378.39,,,,,,,,,,,,,,,,,12962781501.38,1699373048.24,369007077.22,,,,,,670469464.67,474658.13,,,99698465.98,303171561.22,28389448.24,6136861.04,3806533630.76,,,,,,,,459484452.3,205294284.06,7705269106.73,,,,,46368083.91,12502070.62,4100000.0,1858267121.45,,,,,,,,,,,,,,,,,9563536228.18,,,,,42671273.33,3356573999.87,3399245273.2,12962781501.38,,-9716375.18,,,,,,,,,,,,1756609203.11,114256323.97,670469464.67,45017476.22,6089267143.0,160561072.46,3841059940.04,,,,0
