date,open,high,low,close,volume,amount,pct_chg
20250508,46.19,46.65,46.11,46.52,267159.83,1241304185.0,0.9111
20250509,46.68,47.18,46.53,47.0,317423.61,1492819464.0,1.0318
20250512,47.18,47.3,46.78,46.9,335058.72,1572471336.0,-0.2128
20250513,47.0,47.14,46.81,46.98,248680.39,1167331549.0,0.1706
20250514,47.0,47.22,46.64,46.9,331513.76,1555756470.0,-0.1703
20250515,46.07,46.27,45.75,46.2,288515.08,1328591252.0,0.6536
20250516,46.21,46.31,45.45,45.58,310925.2,1419612106.0,-1.342
20250519,45.7,45.88,45.48,45.71,220714.91,1008131234.0,0.2852
20250520,45.75,47.0,45.68,47.0,470336.8,2189829257.0,2.8221
20250521,46.9,47.27,46.75,46.87,211477.26,993620021.0,-0.2766
20250522,46.88,47.31,46.88,47.08,228984.44,1077781758.0,0.448
20250523,47.01,47.43,46.45,46.56,327488.85,1536083930.0,-1.1045
20250526,46.57,46.7,45.88,46.04,257220.9,1186480284.0,-1.1168
20250527,46.05,46.5,46.05,46.18,178542.91,826245233.0,0.3041
20250528,46.36,46.76,45.93,46.68,231386.83,1075443860.0,1.0827
20250529,46.6,46.79,46.0,46.06,352636.69,1628706117.0,-1.3282
20250530,46.07,46.54,45.86,46.42,318706.76,1474547579.0,0.7816
20250603,46.23,46.34,44.8,44.98,733643.23,3314112394.0,-3.1021
20250604,45.05,45.59,44.99,45.32,305372.64,1382826200.0,0.7559
20250605,45.38,45.5,44.83,44.94,356488.52,1603307536.0,-0.8385
20250606,45.03,45.08,44.85,44.87,222151.71,998633301.0,-0.1558
20250609,45.0,45.15,44.65,44.82,274460.34,1229052587.0,-0.1114
20250610,44.82,45.07,44.56,44.65,339236.02,1518074753.0,-0.3793
20250611,44.62,44.94,44.55,44.77,226642.17,1014722777.0,0.2688
20250612,44.89,44.99,44.54,44.86,270084.11,1208650694.0,0.201
20250613,44.71,45.04,44.65,44.92,352204.51,1579504549.0,0.1337
20250616,44.92,45.15,44.58,44.6,304698.16,1363049192.0,-0.7124
20250617,44.61,44.72,44.34,44.45,256592.89,1142203684.0,-0.3363
20250618,44.49,44.85,44.4,44.48,212106.06,945371392.0,0.0675
20250619,44.46,44.54,44.04,44.08,275096.48,1216983698.0,-0.8993
20250620,44.08,44.66,44.03,44.64,248254.48,1104057156.0,1.2704
20250623,44.6,44.72,44.2,44.42,290723.5,1290335717.0,-0.4928
20250624,44.49,45.0,44.49,44.9,298953.86,1341941177.0,1.0806
20250625,44.93,45.49,44.77,45.37,303185.49,1369156252.0,1.0468
20250626,45.52,45.79,45.37,45.5,252526.54,1151071482.0,0.2865
20250627,45.57,45.92,45.13,45.22,323096.76,1471819552.0,-0.6154
20250630,45.23,45.54,44.87,44.92,321622.11,1448606965.0,-0.6634
20250701,45.05,45.48,44.85,45.45,242453.77,1096683969.0,1.1799
20250702,45.55,46.72,45.49,46.41,542095.94,2510495844.0,2.1122
20250703,46.6,46.67,46.25,46.53,217129.82,1009129138.0,0.2586
20250704,46.53,46.84,46.3,46.74,196169.92,915277878.0,0.4513
20250707,46.9,46.94,46.38,46.49,189802.32,883494027.0,-0.5349
20250708,46.49,46.92,46.38,46.6,256017.61,1195231043.0,0.2366
20250709,46.62,46.68,46.11,46.2,274919.0,1275124561.0,-0.8584
20250710,46.2,46.52,45.95,46.34,209382.69,968829196.0,0.303
20250711,46.5,47.15,46.45,46.95,318347.59,1494825589.0,1.3164
20250714,47.14,47.68,47.02,47.25,305755.44,1449274849.0,0.639
20250715,47.37,48.09,47.15,47.95,397740.68,1899605093.0,1.4815
20250716,48.09,48.09,47.34,47.48,279248.58,1328279572.0,-0.9802
20250717,47.48,48.05,47.4,47.56,225690.1,1076853664.0,0.1685
20250718,47.8,47.9,47.54,47.88,210739.24,1005963291.0,0.6728
20250721,47.89,48.08,47.39,47.55,269500.47,1283868234.0,-0.6892
20250722,47.53,47.92,47.44,47.89,299742.24,1429157496.0,0.715
20250723,47.94,48.47,47.92,48.15,263582.98,1271321139.0,0.5429
