date,open,high,low,close,volume,amount,pct_chg
20250508,129.11,130.0,127.03,127.52,161851.54,2072347893.0,-2.1711
20250509,126.32,126.94,123.71,124.4,165547.9,2066340193.0,-2.4467
20250512,125.51,126.62,123.87,125.48,129130.98,1619539412.0,0.8682
20250513,127.03,128.52,125.16,125.51,175632.57,2231834166.0,0.0239
20250514,125.53,127.64,123.48,124.49,146483.76,1828488646.0,-0.8127
20250515,124.0,124.59,121.5,122.0,124372.69,1528121770.0,-2.0002
20250516,122.03,123.38,121.75,122.29,83634.31,1023691553.0,0.2377
20250519,122.97,127.79,121.86,126.3,223654.34,2808603602.0,3.2791
20250520,125.8,128.55,124.51,126.15,158107.18,2000275092.0,-0.1188
20250521,124.55,124.57,117.08,118.14,316145.37,3768105532.0,-6.3496
20250522,118.0,120.53,117.5,117.66,131298.32,1558622820.0,-0.4063
20250523,117.09,118.21,115.4,115.4,138799.93,1619735729.0,-1.9208
20250526,115.48,117.08,114.63,116.03,112030.11,1298445994.0,0.5459
20250527,115.43,115.87,112.85,112.9,114105.97,1298510725.0,-2.6976
20250528,113.65,115.29,113.23,113.5,112958.66,1287595696.0,0.5314
20250529,113.77,114.44,112.52,113.75,115025.57,1308481622.0,0.2203
20250530,113.2,114.3,111.49,112.3,102838.49,1159624664.0,-1.2747
20250603,111.11,115.14,111.01,112.88,117564.15,1331329201.0,0.5165
20250604,113.26,116.86,112.87,115.58,136629.58,1577982343.0,2.3919
20250605,115.99,118.48,114.78,117.9,146716.63,1714741225.0,2.0073
20250606,117.66,127.78,117.01,123.44,291918.12,3598624287.0,4.6989
20250609,123.0,123.9,121.37,122.63,161339.3,1976852391.0,-0.6562
20250610,122.9,122.91,117.71,119.4,141367.92,1691228022.0,-2.6339
20250611,119.56,121.8,119.0,119.15,103580.03,1243491407.0,-0.2094
20250612,119.88,122.2,119.0,119.95,128926.56,1553021803.0,0.6714
20250613,118.9,119.97,117.78,118.9,112649.07,1337755681.0,-0.8754
20250616,119.0,124.32,119.0,121.01,169117.04,2069980284.0,1.7746
20250617,122.61,125.0,120.18,122.32,144412.68,1768172711.0,1.0826
20250618,121.99,124.62,119.0,122.62,146720.43,1789217731.0,0.2453
20250619,122.38,126.49,122.2,123.21,182639.88,2267192170.0,0.4812
20250620,122.61,123.25,117.5,118.96,165939.17,1984959227.0,-3.4494
20250623,117.71,121.69,117.39,120.21,112579.24,1353675321.0,1.0508
20250624,122.26,124.9,121.9,123.91,167499.54,2074784448.0,3.0779
20250625,124.98,125.79,122.6,125.5,174731.94,2170656894.0,1.2832
20250626,125.2,125.65,123.0,123.25,131304.52,1629284432.0,-1.7928
20250627,124.3,127.5,122.3,126.34,209867.05,2643149187.0,2.5071
20250630,128.37,128.5,125.2,126.53,141433.99,1784229847.0,0.1504
20250701,126.0,126.55,123.51,124.02,142875.87,1781322637.0,-1.9837
20250702,123.28,123.3,120.1,120.98,130681.06,1586895318.0,-2.4512
20250703,120.58,121.55,119.0,119.72,128590.07,1541698795.0,-0.7626
20250704,119.19,120.3,117.51,118.85,141826.95,1683622173.0,-0.7267
20250707,118.98,120.81,117.86,120.81,114584.95,1370153527.0,1.6491
20250708,123.0,123.5,121.01,121.71,151877.86,1854823191.0,0.745
