date,open,high,low,close,volume,amount,pct_chg
20250508,7.09,7.17,7.08,7.11,2837120.76,2017330424.0,0.0
20250509,7.1,7.23,7.1,7.17,3121965.48,2237795766.0,0.8439
20250512,7.15,7.18,7.11,7.16,2702769.88,1932351708.0,-0.1395
20250513,7.16,7.25,7.12,7.23,2767459.46,1994786847.0,0.9777
20250514,7.23,7.28,7.2,7.23,2868697.06,2076209237.0,0.0
20250515,7.23,7.29,7.22,7.27,2702620.63,1961219204.0,0.5533
20250516,7.26,7.3,7.12,7.16,3935141.31,2821005777.0,-1.5131
20250519,7.16,7.2,7.11,7.12,2566690.58,1835179445.0,-0.5587
20250520,7.14,7.16,7.1,7.13,1976912.46,1409121067.0,0.1404
20250521,7.13,7.19,7.11,7.14,2540712.78,1817575023.0,0.1403
20250522,7.15,7.16,7.1,7.12,2940759.11,2095825511.0,-0.2801
20250523,7.12,7.15,7.07,7.08,3169188.22,2250187441.0,-0.5618
20250526,7.08,7.1,7.03,7.05,2876449.99,2031163197.0,-0.4237
20250527,7.05,7.09,7.04,7.06,1825202.33,1290694507.0,0.1418
20250528,7.06,7.08,7.02,7.05,1710175.46,1204153102.0,-0.1416
20250529,7.05,7.07,7.02,7.04,1934698.56,1361048215.0,-0.1418
20250530,7.05,7.12,7.02,7.07,3467599.35,2453474445.0,0.4261
20250603,7.05,7.13,7.04,7.11,2728118.11,1935871377.0,0.5658
20250604,7.11,7.12,7.06,7.08,2118975.5,1501300431.0,-0.4219
20250605,7.08,7.12,7.07,7.09,2255742.17,1598752218.0,0.1412
20250606,7.1,7.12,7.07,7.1,1870299.62,1326482212.0,0.141
20250609,7.1,7.11,7.04,7.08,2913684.55,2060159019.0,-0.2817
20250610,7.08,7.19,7.07,7.1,4161322.02,2968939276.0,0.2825
20250611,7.1,7.15,7.09,7.12,2247733.72,1600489311.0,0.2817
20250612,7.12,7.13,7.09,7.11,2318336.35,1647893541.0,-0.1404
20250613,7.11,7.13,7.08,7.09,2808948.07,1993391253.0,-0.2813
20250616,7.08,7.14,7.02,7.14,2786039.77,1973414702.0,0.7052
20250617,7.13,7.17,7.12,7.17,2279382.64,1631206054.0,0.4202
20250618,7.17,7.25,7.16,7.25,3321322.52,2399282240.0,1.1158
20250619,7.24,7.3,7.2,7.3,2841779.66,2063441901.0,0.6897
20250620,7.29,7.38,7.28,7.37,3106927.74,2278784786.0,0.9589
20250623,7.36,7.56,7.33,7.52,3897378.15,2904803935.0,2.0353
20250624,7.51,7.64,7.5,7.63,3560199.0,2697370670.0,1.4628
20250625,7.61,7.71,7.52,7.67,3495451.55,2670562941.0,0.5242
20250626,7.66,7.75,7.62,7.72,2931890.14,2256598292.0,0.6519
20250627,7.72,7.76,7.48,7.5,4820511.41,3654638053.0,-2.8497
20250630,7.48,7.61,7.42,7.59,3061472.45,2307954197.0,1.2
20250701,7.59,7.74,7.58,7.66,2683319.21,2061516556.0,0.9223
20250702,7.68,7.71,7.65,7.68,2068290.92,1588904790.0,0.2611
