date,open,high,low,close,volume,amount,pct_chg
20250508,61.6,64.3,61.41,63.95,418182.02,2646787090.0,2.9791
20250509,63.58,63.6,62.0,62.52,265778.93,1661546515.0,-2.2361
20250512,65.74,67.64,65.1,67.15,752187.49,5015333203.0,7.4056
20250513,68.44,69.75,67.64,67.8,641200.86,4393721959.0,0.968
20250514,66.79,67.29,65.58,66.07,491386.14,3248815214.0,-2.5516
20250515,65.7,65.71,63.92,64.4,363893.12,2347279249.0,-2.5276
20250516,64.15,67.8,64.0,65.31,441014.66,2913218699.0,1.413
20250519,65.0,65.15,64.22,64.45,189470.18,1223256704.0,-1.3168
20250520,64.5,64.59,62.9,63.66,301308.42,1909751319.0,-1.2258
20250521,63.76,64.77,63.37,64.23,234492.63,1501913495.0,0.8954
20250522,63.6,63.9,62.5,62.51,267432.66,1687307891.0,-2.6779
20250523,61.88,62.03,60.53,60.6,522253.73,3183822028.0,-3.0555
20250526,60.2,61.55,60.2,60.88,204026.33,1245190865.0,0.462
20250527,60.9,61.0,60.36,60.56,139336.33,843939207.0,-0.5256
20250528,60.86,61.08,60.12,60.28,137170.05,830744171.0,-0.4624
20250529,60.92,61.25,60.59,61.04,197672.26,1205593236.0,1.2608
20250530,60.7,60.75,60.13,60.39,171665.76,1035490088.0,-1.0649
20250603,59.98,60.48,59.87,60.2,121817.57,733622877.0,-0.3146
20250604,60.46,61.3,60.45,60.97,176090.11,1073191439.0,1.2791
20250605,61.13,61.5,60.53,61.34,203136.64,1237255733.0,0.6069
20250606,61.56,61.6,60.72,60.8,179972.97,1098158447.0,-0.8803
20250609,60.99,63.19,60.8,62.99,407230.27,2543889854.0,3.602
20250610,63.0,65.5,62.8,64.15,597203.12,3863297617.0,1.8416
20250611,64.05,64.96,63.7,64.19,262466.29,1688234568.0,0.0624
20250612,63.95,64.42,63.03,64.2,219081.93,1399353390.0,0.0156
20250613,62.9,63.6,62.35,62.41,208738.68,1310467343.0,-1.1405
20250616,62.2,64.32,62.07,63.25,218785.18,1387769399.0,1.3459
20250617,63.35,63.46,62.42,62.78,163903.71,1030314393.0,-0.7431
20250618,65.01,65.6,64.02,65.24,481590.47,3134907464.0,3.9184
20250619,64.83,65.2,62.69,62.98,332222.83,2120714245.0,-3.4641
20250620,62.76,64.5,62.56,62.62,252674.4,1605826105.0,-0.5716
20250623,62.2,64.36,62.09,63.95,265369.94,1688645146.0,2.1239
20250624,64.2,65.94,64.2,65.23,292446.77,1904284617.0,2.0016
20250625,65.31,65.92,64.25,65.78,297581.97,1939172561.0,0.8432
20250626,65.51,65.58,64.02,64.12,274239.9,1775341736.0,-2.5236
20250627,64.4,66.66,64.25,65.43,430479.43,2822957721.0,2.043
20250630,66.09,68.29,65.81,67.77,516457.38,3474911272.0,3.5763
20250701,67.5,69.25,66.7,68.69,388974.12,2644557895.0,1.3575
20250702,68.7,69.45,68.1,68.45,347078.63,2380747893.0,-0.3494
20250703,68.45,70.0,67.62,69.77,408961.03,2823688599.0,1.9284
20250704,70.66,70.66,67.63,67.7,455856.81,3119901076.0,-2.9669
20250707,67.4,68.57,67.03,67.4,228959.4,1545025447.0,-0.4431
20250708,67.5,74.6,67.36,73.77,1033123.42,7457368682.0,9.451
20250709,73.78,74.38,72.65,73.35,479074.07,3514072820.0,-0.5693
20250710,73.83,78.09,73.83,76.45,911805.41,6957420735.0,4.2263
20250711,76.11,76.76,75.38,76.16,453635.74,3453625630.0,-0.3793
20250714,75.91,77.16,74.01,75.61,541006.68,4068238284.0,-0.7222
20250715,74.6,76.9,74.1,75.15,458560.24,3445153404.0,-0.6084
20250716,74.5,75.02,73.25,74.51,374271.7,2775187872.0,-0.8516
20250717,75.05,76.54,73.33,74.1,484779.5,3615819816.0,-0.5503
20250718,74.0,74.35,72.2,72.26,468181.72,3406047591.0,-2.4831
20250721,72.49,73.02,72.13,72.75,269286.46,1953759202.0,0.6781
20250722,72.8,74.26,72.2,74.13,476143.58,3495469958.0,1.8969
20250723,74.47,74.68,72.82,73.11,348097.23,2567770219.0,-1.376
20250724,72.87,76.54,72.68,76.38,565165.21,4248339659.0,4.4727
20250725,76.3,76.65,75.7,75.78,283788.88,2158024072.0,-0.7855
20250728,75.04,75.49,73.83,74.2,366090.0,2725433504.0,-2.085
20250729,74.21,76.04,73.6,75.45,336528.02,2514192181.0,1.6846
20250730,75.5,76.45,74.0,74.59,358467.0,2696832618.0,-1.1398
20250731,74.0,75.63,71.55,72.0,464014.86,3398519906.0,-3.4723
20250801,72.03,75.38,71.88,75.3,564925.94,4200899507.0,4.5833
20250804,74.27,74.46,72.6,73.78,340956.76,2497398311.0,-2.0186
20250805,73.57,76.2,72.69,75.41,386697.19,2901611428.0,2.2093
20250806,75.0,77.22,74.96,76.9,406341.78,3102073001.0,1.9759
20250807,76.8,76.89,74.47,74.81,393196.16,2954515508.0,-2.7178
20250808,74.52,85.9,74.5,81.6,1191059.0,9635365192.0,9.0763
20250811,81.66,84.74,81.3,84.52,852355.38,7067735276.0,3.5784
20250812,84.6,88.28,82.8,88.1,779842.95,6681575482.0,4.2357
20250813,88.0,89.88,86.73,89.03,695939.72,6143045369.0,1.0556
20250814,88.18,89.39,86.51,87.95,510081.23,4485250724.0,-1.2131
20250815,87.6,96.0,87.41,94.28,905613.93,8378057092.0,7.1973
20250818,95.5,96.37,93.91,95.38,610163.19,5791417027.0,1.1667
20250819,95.0,99.92,94.57,96.47,730130.99,7105945462.0,1.1428
20250820,95.45,96.7,92.6,95.28,597645.77,5640879765.0,-1.2335
